issue_type,team_id_or_name,player_name_if_applicable,current_value_if_known,suggested_value,source_priority,source_type,evidence_url,source_domain,official_status,confidence,operator_action,notes
source_url_enrichment_needed,nwsl_all_teams,,current in_progress NWSL candidates use www.nwslsoccer.com roster pages for all 443 NWSL rows,"Add official team-site roster/player-profile source candidates as P1 backups alongside NWSL league roster pages; candidate metadata only",P1,official_league_team_index,https://www.nwslsoccer.com/teams/index,www.nwslsoccer.com,official_league,high,add_source_candidates,"NWSL Teams index lists the official team-site domain for each current NWSL club."
player_profile_candidate_gap,nwsl_all_players,,current uploaded player source/photo candidate URL is generally the team roster page rather than a player profile page,"Populate public player-profile candidate pages where official team rosters expose Full Bio or Player Profile links; no image-file URLs",P1,official_team_roster_pages,https://www.nwslsoccer.com/teams/index,www.nwslsoccer.com,official_league,high,enrich_review_metadata_only,"Use as source/profile metadata only, not an asset-fetch instruction."
source_domain_change_candidate,Chicago Stars FC,,current uploaded source_domain is www.nwslsoccer.com only,"Add official team roster source candidate https://chicagostars.com/roster/ and avoid stale chicagoredstars.com references",P1,official_team_roster,https://chicagostars.com/roster/,chicagostars.com,official_team,high,add_source_candidate,"Current team branding/domain is Chicago Stars FC / chicagostars.com."
source_domain_change_candidate,Seattle Reign,,current uploaded source_domain is www.nwslsoccer.com only,"Add official team roster source candidate https://www.reignfc.com/roster and avoid stale olreign.com references",P1,official_team_roster,https://www.reignfc.com/roster,www.reignfc.com,official_team,high,add_source_candidate,"Current team site uses reignfc.com."
source_domain_change_candidate,Houston Dash,,current uploaded source_domain is www.nwslsoccer.com only,"Add official team roster source candidate https://www.houstondynamofc.com/houstondash/roster/",P1,official_team_roster,https://www.houstondynamofc.com/houstondash/roster/,www.houstondynamofc.com,official_team,high,add_source_candidate,"Houston Dash official roster lives under the Houston Dynamo FC domain."
source_domain_change_candidate,Utah Royals FC,,current uploaded source_domain is www.nwslsoccer.com only,"Add official team roster source candidate https://www.rsl.com/utahroyals/roster/",P1,official_team_roster,https://www.rsl.com/utahroyals/roster/,www.rsl.com,official_team,high,add_source_candidate,"Utah Royals official roster lives under the RSL domain."
stale_team_assignment_duplicate_identity,Kansas City Current,Ally Sentnor,"duplicate candidate rows on Kansas City Current and Angel City FC","Keep Angel City FC as current-team candidate; hold or mark Kansas City row as prior club",P0,official_team_transaction,https://angelcity.com/acfc-post/acfc-signs-uswnt-midfielder-ally-sentnor-trade-with-kansas-city-current,angelcity.com,official_team,high,reconcile_duplicate_identity,"Official Angel City transaction says Sentnor joined ACFC from Kansas City in June 2026."
stale_team_assignment_duplicate_identity,Angel City FC,Kennedy Fuller,"duplicate candidate rows on Angel City FC and Bay FC","Keep Bay FC as current-team candidate; hold or mark Angel City row as prior club",P0,official_team_transaction,https://bayfc.com/press-releases/bay-fc-acquire-midfielder-kennedy-fuller-from-angel-city-fc-20260612/,bayfc.com,official_team,high,reconcile_duplicate_identity,"Official Bay FC transaction says Fuller was acquired from Angel City."
stale_team_assignment_duplicate_identity,Gotham FC,Lilly Reale,"duplicate candidate rows on Gotham FC and Boston Legacy FC","Keep Boston Legacy FC as current-team candidate; hold or mark Gotham row as prior club",P0,official_team_transaction,https://www.gothamfc.com/news/gotham-fc-trades-defender-lilly-reale-to-boston-legacy-fc,www.gothamfc.com,official_team,high,reconcile_duplicate_identity,"Official Gotham transaction says Reale was traded to Boston Legacy."
loan_duplicate_needs_status_metadata,"Boston Legacy FC / Chicago Stars FC",Sam Cary Angel,"duplicate candidate rows on Boston Legacy FC and Chicago Stars FC","Keep duplicate only with explicit loan metadata: Boston active loan, Chicago parent club, loan through July 30 2026",P0,official_team_transaction,https://bostonlegacyfc.com/blogs/press/boston-legacy-fc-samantha-angel-loan-chicago-stars,bostonlegacyfc.com,official_team,high,add_loan_status_metadata,"This looks like a valid loan duplicate, not a simple identity error."
stale_team_assignment_duplicate_identity,Houston Dash,Yazmeen Ryan,"duplicate candidate rows on Houston Dash and Denver Summit FC","Keep Denver Summit FC as current-team candidate; hold or mark Houston row as prior club",P0,official_team_transaction,https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,www.denversummitfc.com,official_team,high,reconcile_duplicate_identity,"Official Denver transaction says Ryan was acquired from Houston."
stale_team_assignment_duplicate_identity,Houston Dash,Delanie Sheehan,"duplicate candidate rows on Houston Dash and Denver Summit FC","Keep Denver Summit FC as current-team candidate; hold or mark Houston row as prior club",P0,official_team_transaction,https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,www.denversummitfc.com,official_team,high,reconcile_duplicate_identity,"Official Denver transaction says Sheehan was acquired from Houston."
loan_duplicate_needs_status_metadata,"Portland Thorns FC / Utah Royals FC",Alexa Spaanstra,"duplicate candidate rows on Portland Thorns FC and Utah Royals FC","Keep duplicate only with explicit loan metadata: Utah active loan, Portland parent club",P0,official_team_transaction,https://www.thorns.com/news/forward-alexa-spaanstra-loaned-to-utah-royals-fc,www.thorns.com,official_team,high,add_loan_status_metadata,"This looks like a valid loan duplicate, not a simple identity error."
missing_player_profile_candidate,Angel City FC,Maithé López,not present in uploaded Angel City FC candidate rows,"Add review-only candidate row with on-loan status from official Angel City roster/loan page",P0,official_team_roster_and_transaction,https://angelcity.com/acfc-post/angel-city-football-club-loans-forward-maithe-lopez-to-vancouver-rise-fc,angelcity.com,official_team,high,add_candidate_metadata,"Angel City official roster also lists Maithé López as on loan."
expired_replacement_player_candidate,Angel City FC,Rajanah Reed,current uploaded candidate row remains active-looking on Angel City FC,"Hold as expired/short-term candidate unless current Angel City/NWSL roster reconfirms; NTRP term was Feb 24 through Apr 5",P0,official_team_transaction,https://angelcity.com/acfc-post/angel-city-signs-forward-rajanah-reed,angelcity.com,official_team,high,hold_candidate_for_review,"Do not delete automatically, but do not treat as current active roster without recheck."
public_display_alias_review,Angel City FC,"Ariadina Alves Borges; Maiara Carolina Niehues","uploaded display names use longer/full-name forms","Add official_display_name aliases Ary Borges and Maiara Niehues while retaining full identity fields",P1,official_team_roster,https://angelcity.com/club/roster,angelcity.com,official_team,high,add_alias_metadata,"Official public roster uses shorter public display names."
missing_player_profile_candidate,Denver Summit FC,Lindsey Heaps,not present in uploaded Denver Summit FC candidate rows,"Add review-only candidate row from official Denver roster",P0,official_team_roster,https://www.denversummitfc.com/roster/,www.denversummitfc.com,official_team,high,add_candidate_metadata,"Official Denver roster lists Lindsey Heaps."
stale_player_candidate,Denver Summit FC,Jordan Baggett,current uploaded Denver Summit FC candidate row exists,"Hold for operator review; name was not visible on current official Denver roster check",P0,official_team_roster,https://www.denversummitfc.com/roster/,www.denversummitfc.com,official_team,medium,hold_candidate_for_review,"Could be stale, alias-related, or data-source lag; verify before carrying forward."
missing_player_profile_candidate,Houston Dash,Natalie Bain,not present in uploaded Houston Dash candidate rows,"Add review-only candidate row from official Houston roster",P0,official_team_roster,https://www.houstondynamofc.com/houstondash/roster/,www.houstondynamofc.com,official_team,high,add_candidate_metadata,"Official Houston roster lists Natalie Bain."
stale_player_candidate,Houston Dash,Christen Westphal,current uploaded Houston Dash candidate row exists,"Hold or mark as no-longer-current Houston candidate due mutual contract termination",P0,official_team_news,https://www.houstondynamofc.com/houstondash/news/houston-dash-host-north-carolina-courage-for-kids-night,www.houstondynamofc.com,official_team,high,hold_candidate_for_review,"Official Houston match-preview/news page states Dash and Westphal mutually terminated the contract."
missing_player_profile_candidate,Houston Dash,Liz Beardsley,not present in uploaded Houston Dash candidate rows,"Add review-only candidate row with ON LOAN status if loaned-out players are in registry scope",P1,official_team_roster,https://www.houstondynamofc.com/houstondash/roster/,www.houstondynamofc.com,official_team,high,add_candidate_metadata,"Official Houston roster lists Liz Beardsley as ON LOAN."
missing_player_profile_candidate,Houston Dash,Zoe Matthews,not present in uploaded Houston Dash candidate rows,"Add review-only candidate row with ON LOAN status if loaned-out players are in registry scope",P1,official_team_roster,https://www.houstondynamofc.com/houstondash/roster/,www.houstondynamofc.com,official_team,high,add_candidate_metadata,"Official Houston roster lists Zoe Matthews as ON LOAN."
missing_player_profile_candidate,Houston Dash,Amanda West,not present in uploaded Houston Dash candidate rows,"Add review-only candidate row with ON LOAN status if loaned-out players are in registry scope",P1,official_team_roster,https://www.houstondynamofc.com/houstondash/roster/,www.houstondynamofc.com,official_team,high,add_candidate_metadata,"Official Houston roster lists Amanda West as ON LOAN."
loan_status_missing,Houston Dash,Rebeca Costa da Silva,current uploaded candidate row lacks visible on-loan status in candidate display,"Add official_display_name Rebeca and ON LOAN status metadata",P1,official_team_roster,https://www.houstondynamofc.com/houstondash/roster/,www.houstondynamofc.com,official_team,high,add_loan_status_metadata,"Official Houston roster displays Rebeca as ON LOAN."
loan_status_missing,Houston Dash,Jyllissa Harris,current uploaded candidate row lacks visible on-loan status in candidate display,"Add ON LOAN status metadata",P1,official_team_roster,https://www.houstondynamofc.com/houstondash/roster/,www.houstondynamofc.com,official_team,high,add_loan_status_metadata,"Official Houston roster displays Jyllissa Harris as ON LOAN."
missing_player_profile_candidate,Gotham FC,Princess Ademiluyi,not present in uploaded Gotham FC candidate rows,"Add review-only candidate row with ON LOAN status from current official Gotham roster",P1,official_team_roster,https://www.gothamfc.com/roster,www.gothamfc.com,official_team,high,add_candidate_metadata,"Official Gotham roster lists Princess Ademiluyi in the On Loan section."
public_display_alias_review,Gotham FC,Bruna Santos Nhaia,current uploaded display_name=Bruna Santos Nhaia,"Add official_display_name alias Bruninha while retaining full identity fields",P1,official_team_roster,https://www.gothamfc.com/roster,www.gothamfc.com,official_team,high,add_alias_metadata,"Official Gotham roster displays Bruninha."
missing_player_profile_candidate,Kansas City Current,Kaylin Williams-Mosier,not present in uploaded Kansas City Current candidate rows,"Add review-only candidate row with short-term/replacement context",P1,official_team_player_profile,https://www.kansascitycurrent.com/team/kaylin-williams-mosier,www.kansascitycurrent.com,official_team,high,add_candidate_metadata,"Official KC profile says Williams-Mosier joined in June 2026 on a short-term contract."
public_display_alias_review,Kansas City Current,Débora Cristiane de Oliveira,current uploaded display_name=Débora Cristiane de Oliveira,"Add official_display_name alias Debinha while retaining full identity fields",P1,official_team_roster,https://www.kansascitycurrent.com/team,www.kansascitycurrent.com,official_team,high,add_alias_metadata,"Official KC team page uses Debinha."
stale_or_short_term_candidate,Kansas City Current,"Katie Cappelletti; Kyra Carusa; Kelsey Branson; Flora Marta Lacho","candidate rows present; not visible on current KC team page during check","Hold as review-only until current KC/NWSL roster or transaction page reconfirms",P1,official_team_roster_and_roster_announcement,"https://www.kansascitycurrent.com/team; https://www.kansascitycurrent.com/news/kansas-city-current-announces-roster-ahead-of-2026-regular-s",www.kansascitycurrent.com,official_team,medium,hold_candidate_for_review,"KC March roster noted short-term/loan timing for some players; current-team page should be preferred for active display."
missing_player_profile_candidate,San Diego Wave FC,Sandra Paños,not present in uploaded San Diego Wave FC candidate rows,"Add review-only candidate row from current official San Diego roster",P0,official_team_roster,https://sandiegowavefc.com/roster/,sandiegowavefc.com,official_team,high,add_candidate_metadata,"Official San Diego roster lists Sandra Paños."
public_display_alias_review,San Diego Wave FC,"Amelia Donna Van Zanten; Gabrielle Jordão Portilho; Ludmila da Silva; Maria Eduarda Rodrigues Silva","uploaded display names use longer/full-name forms","Add official_display_name aliases Mimi Van Zanten, Gabi Portilho, Ludmila, and Dudinha while retaining full identity fields",P1,official_team_roster,https://sandiegowavefc.com/roster/,sandiegowavefc.com,official_team,high,add_alias_metadata,"Official San Diego roster uses public display names."
missing_player_profile_candidate,Washington Spirit,Heather Stainbrook,not present in uploaded Washington Spirit candidate rows,"Add review-only candidate row with ON LOAN status if loaned-out players are in registry scope",P1,official_team_roster,https://washingtonspirit.com/roster/,washingtonspirit.com,official_team,high,add_candidate_metadata,"Official Washington roster lists Heather Stainbrook as On Loan."
public_display_alias_review,Washington Spirit,Tamara Paranaguá do Carmo,current uploaded display_name=Tamara Paranaguá do Carmo,"Add official_display_name alias Tamara Bolt while retaining full identity fields",P1,official_team_roster,https://washingtonspirit.com/roster/,washingtonspirit.com,official_team,high,add_alias_metadata,"Official Washington roster displays Tamara Bolt."
public_display_alias_review,Orlando Pride,"Angelina Alonso Costantino; Luana Bertolucci Paixão; Marta Marta; Rafaelle Leone Carvalho Souza; Jacqueline Ovalle; Oihane Hernández","uploaded display names use longer/full-name forms","Add official_display_name aliases Angelina, Luana, Marta, Rafaelle, Jacquie Ovalle, and Oihane while retaining full identity fields",P1,official_team_roster,https://www.orlandocitysc.com/pride/roster/,www.orlandocitysc.com,official_team,high,add_alias_metadata,"Official Orlando roster uses shorter public display names."
loan_status_missing,Orlando Pride,Kat Asman,current uploaded candidate row lacks visible loaned-out status in candidate display,"Add Loaned Out status metadata",P1,official_team_roster,https://www.orlandocitysc.com/pride/roster/,www.orlandocitysc.com,official_team,high,add_loan_status_metadata,"Official Orlando roster lists Kat Asman under Loaned Out."
gray_area_public_backup_candidate,Gotham FC,Sam Kerr,not present in uploaded candidates and not visible on current official Gotham roster check,"Park as non-official reputable-media lead only; do not treat as current official roster candidate until Gotham/NWSL confirms",P3,reputable_news_profile,https://www.reuters.com/sports/soccer/reports-gotham-fc-set-reunion-with-f-sam-kerr--flm-2026-06-17/,www.reuters.com,non_official_reputable_media,low,park_gray_area_lead_for_manual_verification,"Useful public lead because official roster may lag reports, but official roster did not confirm at check time."
