research_task_id,researcher_lane,candidate_queue_id,sport,league_entity,target_entity_or_player,source_family,source_category,source_url_or_search_macro,action_moment_type,render_fit_potential,rights_posture_metadata,copy_ready_prompt,paste_back_schema,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required,download_approved,manual_next_action,review_only,publish_ready
APR001,manual_research,APQ001,basketball,WNBA,operator_fill_player_or_team,Getty Images Editorial Sports,editorial_wire,{player_name} WNBA match action site:gettyimages.com,transition_drive|block|rebound|celebration,high_action_fit_if_full_body_or_clean_face,editorial_wire_rights_sensitive,"You are a manual researcher URL/evidence researcher for HSD review-only action-photo candidates. Queue ID: APQ001. Sport/entity: basketball / WNBA. Target: replace operator_fill_player_or_team with the player or team being researched. Source family/category: Getty Images Editorial Sports / editorial_wire. Search macro or source lead: {player_name} WNBA match action site:gettyimages.com. Look for action-photo candidate page URLs and separate identity/evidence anchors for transition_drive|block|rebound|celebration. Return CSV in a code block with exactly these columns: candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required. Use source_url as the candidate page/source page, not a downloaded file. Set operator_verify_required=yes when identity, rights posture, event context, or roster truth needs human confirmation. Do not download images, do not save files, do not claim approval, do not mark render-ready, and do not change download_approved.","candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,no,"Send the copy-ready prompt to ChatGPT Pro, Gemini Pro, or a manual researcher; paste returned CSV rows into a human review worksheet before any download decision.",true,false
APR002,chatgpt_pro,APQ002,basketball,WNBA,operator_fill_player_or_team,WNBA official league/team galleries,official_league_gallery,{player_name} {team} site:wnba.com OR site:{team}.wnba.com photos OR gallery OR recap,game_action|bench_reaction|celebration,high_context_fit_if_captioned_current_event,official_review_needed,"You are a ChatGPT Pro URL/evidence researcher for HSD review-only action-photo candidates. Queue ID: APQ002. Sport/entity: basketball / WNBA. Target: replace operator_fill_player_or_team with the player or team being researched. Source family/category: WNBA official league/team galleries / official_league_gallery. Search macro or source lead: {player_name} {team} site:wnba.com OR site:{team}.wnba.com photos OR gallery OR recap. Look for action-photo candidate page URLs and separate identity/evidence anchors for game_action|bench_reaction|celebration. Return CSV in a code block with exactly these columns: candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required. Use source_url as the candidate page/source page, not a downloaded file. Set operator_verify_required=yes when identity, rights posture, event context, or roster truth needs human confirmation. Do not download images, do not save files, do not claim approval, do not mark render-ready, and do not change download_approved.","candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,no,"Send the copy-ready prompt to ChatGPT Pro, Gemini Pro, or a manual researcher; paste returned CSV rows into a human review worksheet before any download decision.",true,false
APR003,gemini_pro,APQ003,soccer,NWSL,operator_fill_player_or_team,ISI Photos Archive,reputable_newsroom_gallery,{player_name} {club} NWSL isiphotos photoshelter action,dribble|shot|save|celebration,high_action_fit_if_match_context_and_identity_anchor_are_clear,newsroom_photo_rights_sensitive,"You are a Gemini Pro URL/evidence researcher for HSD review-only action-photo candidates. Queue ID: APQ003. Sport/entity: soccer / NWSL. Target: replace operator_fill_player_or_team with the player or team being researched. Source family/category: ISI Photos Archive / reputable_newsroom_gallery. Search macro or source lead: {player_name} {club} NWSL isiphotos photoshelter action. Look for action-photo candidate page URLs and separate identity/evidence anchors for dribble|shot|save|celebration. Return CSV in a code block with exactly these columns: candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required. Use source_url as the candidate page/source page, not a downloaded file. Set operator_verify_required=yes when identity, rights posture, event context, or roster truth needs human confirmation. Do not download images, do not save files, do not claim approval, do not mark render-ready, and do not change download_approved.","candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,no,"Send the copy-ready prompt to ChatGPT Pro, Gemini Pro, or a manual researcher; paste returned CSV rows into a human review worksheet before any download decision.",true,false
APR004,chatgpt_pro,APQ004,soccer,USWNT / U.S. Soccer,operator_fill_player_or_team,ISI Photos / U.S. Soccer,official_federation_or_tournament,{player_name} USWNT match action ISI Photos OR ussoccer photos,national_team_action|goal_celebration|defensive_play,high_fit_for_international_context_if roster_anchor_present,official_review_needed,"You are a ChatGPT Pro URL/evidence researcher for HSD review-only action-photo candidates. Queue ID: APQ004. Sport/entity: soccer / USWNT / U.S. Soccer. Target: replace operator_fill_player_or_team with the player or team being researched. Source family/category: ISI Photos / U.S. Soccer / official_federation_or_tournament. Search macro or source lead: {player_name} USWNT match action ISI Photos OR ussoccer photos. Look for action-photo candidate page URLs and separate identity/evidence anchors for national_team_action|goal_celebration|defensive_play. Return CSV in a code block with exactly these columns: candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required. Use source_url as the candidate page/source page, not a downloaded file. Set operator_verify_required=yes when identity, rights posture, event context, or roster truth needs human confirmation. Do not download images, do not save files, do not claim approval, do not mark render-ready, and do not change download_approved.","candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,no,"Send the copy-ready prompt to ChatGPT Pro, Gemini Pro, or a manual researcher; paste returned CSV rows into a human review worksheet before any download decision.",true,false
APR005,chatgpt_pro,APQ005,basketball,NCAA Women Basketball,operator_fill_player_or_team,NCAA Photos / Clarkson Creative,official_federation_or_tournament,{player_name} NCAA March Madness basketball ncaaphotos photoshelter,drive|jump_shot|celebration|defense,medium_high_fit_if_school_and_event_are_current,official_partner_licensed_manual_review,"You are a ChatGPT Pro URL/evidence researcher for HSD review-only action-photo candidates. Queue ID: APQ005. Sport/entity: basketball / NCAA Women Basketball. Target: replace operator_fill_player_or_team with the player or team being researched. Source family/category: NCAA Photos / Clarkson Creative / official_federation_or_tournament. Search macro or source lead: {player_name} NCAA March Madness basketball ncaaphotos photoshelter. Look for action-photo candidate page URLs and separate identity/evidence anchors for drive|jump_shot|celebration|defense. Return CSV in a code block with exactly these columns: candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required. Use source_url as the candidate page/source page, not a downloaded file. Set operator_verify_required=yes when identity, rights posture, event context, or roster truth needs human confirmation. Do not download images, do not save files, do not claim approval, do not mark render-ready, and do not change download_approved.","candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,no,"Send the copy-ready prompt to ChatGPT Pro, Gemini Pro, or a manual researcher; paste returned CSV rows into a human review worksheet before any download decision.",true,false
APR006,chatgpt_pro,APQ006,softball,NCAA Women Softball,operator_fill_player_or_team,NCAA Photos / Clarkson Creative,official_federation_or_tournament,{player_name} Women College World Series softball ncaaphotos photoshelter,swing|pitch|slide|fielding,high_fit_if_action_shape_is_readable,official_partner_licensed_manual_review,"You are a ChatGPT Pro URL/evidence researcher for HSD review-only action-photo candidates. Queue ID: APQ006. Sport/entity: softball / NCAA Women Softball. Target: replace operator_fill_player_or_team with the player or team being researched. Source family/category: NCAA Photos / Clarkson Creative / official_federation_or_tournament. Search macro or source lead: {player_name} Women College World Series softball ncaaphotos photoshelter. Look for action-photo candidate page URLs and separate identity/evidence anchors for swing|pitch|slide|fielding. Return CSV in a code block with exactly these columns: candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required. Use source_url as the candidate page/source page, not a downloaded file. Set operator_verify_required=yes when identity, rights posture, event context, or roster truth needs human confirmation. Do not download images, do not save files, do not claim approval, do not mark render-ready, and do not change download_approved.","candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,no,"Send the copy-ready prompt to ChatGPT Pro, Gemini Pro, or a manual researcher; paste returned CSV rows into a human review worksheet before any download decision.",true,false
APR007,manual_research,APQ007,hockey,PWHL,operator_fill_player_or_team,Getty / Ice Garden / Inside the Rink,editorial_wire,{player_name} PWHL game action Getty OR Ice Garden OR Inside the Rink gallery,skate|shot|save|celebration,medium_high_fit_if_face_or_number_is_clear,editorial_wire_rights_sensitive,"You are a manual researcher URL/evidence researcher for HSD review-only action-photo candidates. Queue ID: APQ007. Sport/entity: hockey / PWHL. Target: replace operator_fill_player_or_team with the player or team being researched. Source family/category: Getty / Ice Garden / Inside the Rink / editorial_wire. Search macro or source lead: {player_name} PWHL game action Getty OR Ice Garden OR Inside the Rink gallery. Look for action-photo candidate page URLs and separate identity/evidence anchors for skate|shot|save|celebration. Return CSV in a code block with exactly these columns: candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required. Use source_url as the candidate page/source page, not a downloaded file. Set operator_verify_required=yes when identity, rights posture, event context, or roster truth needs human confirmation. Do not download images, do not save files, do not claim approval, do not mark render-ready, and do not change download_approved.","candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,no,"Send the copy-ready prompt to ChatGPT Pro, Gemini Pro, or a manual researcher; paste returned CSV rows into a human review worksheet before any download decision.",true,false
APR008,chatgpt_pro,APQ008,softball,AUSL / Pro Softball,operator_fill_player_or_team,Athletes Unlimited / AUSL Media Hub,official_league_gallery,{player_name} AUSL softball action site:theausl.com OR Jade Hewitt,swing|pitch|fielding|dugout_celebration,high_fit_if official event context is clear,official_review_needed,"You are a ChatGPT Pro URL/evidence researcher for HSD review-only action-photo candidates. Queue ID: APQ008. Sport/entity: softball / AUSL / Pro Softball. Target: replace operator_fill_player_or_team with the player or team being researched. Source family/category: Athletes Unlimited / AUSL Media Hub / official_league_gallery. Search macro or source lead: {player_name} AUSL softball action site:theausl.com OR Jade Hewitt. Look for action-photo candidate page URLs and separate identity/evidence anchors for swing|pitch|fielding|dugout_celebration. Return CSV in a code block with exactly these columns: candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required. Use source_url as the candidate page/source page, not a downloaded file. Set operator_verify_required=yes when identity, rights posture, event context, or roster truth needs human confirmation. Do not download images, do not save files, do not claim approval, do not mark render-ready, and do not change download_approved.","candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,no,"Send the copy-ready prompt to ChatGPT Pro, Gemini Pro, or a manual researcher; paste returned CSV rows into a human review worksheet before any download decision.",true,false
APR009,chatgpt_pro,APQ009,tennis,WTA Tennis,operator_fill_player_or_team,WTA / Getty,official_league_gallery,{player_name} WTA match action site:wtatennis.com OR site:gettyimages.com,serve|forehand|backhand|celebration,high_fit_if ball/racket/body_line_clear,official_review_needed,"You are a ChatGPT Pro URL/evidence researcher for HSD review-only action-photo candidates. Queue ID: APQ009. Sport/entity: tennis / WTA Tennis. Target: replace operator_fill_player_or_team with the player or team being researched. Source family/category: WTA / Getty / official_league_gallery. Search macro or source lead: {player_name} WTA match action site:wtatennis.com OR site:gettyimages.com. Look for action-photo candidate page URLs and separate identity/evidence anchors for serve|forehand|backhand|celebration. Return CSV in a code block with exactly these columns: candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required. Use source_url as the candidate page/source page, not a downloaded file. Set operator_verify_required=yes when identity, rights posture, event context, or roster truth needs human confirmation. Do not download images, do not save files, do not claim approval, do not mark render-ready, and do not change download_approved.","candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,no,"Send the copy-ready prompt to ChatGPT Pro, Gemini Pro, or a manual researcher; paste returned CSV rows into a human review worksheet before any download decision.",true,false
APR010,chatgpt_pro,APQ010,golf,LPGA Golf,operator_fill_player_or_team,LPGA / Getty,official_league_gallery,{player_name} LPGA swing site:lpga.com OR site:gettyimages.com,drive|approach|putt|celebration,medium_fit_if pose is dynamic and athlete identity is anchored,official_review_needed,"You are a ChatGPT Pro URL/evidence researcher for HSD review-only action-photo candidates. Queue ID: APQ010. Sport/entity: golf / LPGA Golf. Target: replace operator_fill_player_or_team with the player or team being researched. Source family/category: LPGA / Getty / official_league_gallery. Search macro or source lead: {player_name} LPGA swing site:lpga.com OR site:gettyimages.com. Look for action-photo candidate page URLs and separate identity/evidence anchors for drive|approach|putt|celebration. Return CSV in a code block with exactly these columns: candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required. Use source_url as the candidate page/source page, not a downloaded file. Set operator_verify_required=yes when identity, rights posture, event context, or roster truth needs human confirmation. Do not download images, do not save files, do not claim approval, do not mark render-ready, and do not change download_approved.","candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,no,"Send the copy-ready prompt to ChatGPT Pro, Gemini Pro, or a manual researcher; paste returned CSV rows into a human review worksheet before any download decision.",true,false
