starter_rank,sport,league_or_entity,expansion_lane,team_or_scope,source_priority,source_category,source_name,source_url_or_search_macro,source_domain,evidence_use,identity_anchor_use,rights_review_note,roster_truth_status,source_confidence,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,download_approved,manual_review_status,manual_reviewer,reviewed_at_utc,allowed_for_download_approved_yes,manual_next_action,review_only,publish_ready,approval_state_change,publish_action
WSAP01,soccer,NWSL,nwsl_first,league,P0_official_league,official_league_gallery,NWSL official site,"""[athlete] [club] site:nwslsoccer.com gallery OR photos OR recap""",nwslsoccer.com,official league action lead; match/date/team context and caption clues,"cross-check NWSL player page, club roster, match report, jersey/uniform context",official_review_needed; no publish-ready rights assumed,not_asserted_manual_verification_required,manual_review_required,,,,,,no,not_reviewed,,,false,"Use this as a manual research prompt only; paste URLs/evidence after human review and keep download_approved=no. Do not assert roster truth, download images, or mark anything approved.",true,false,none,none_artifact_only
WSAP02,soccer,NWSL,nwsl_first,club_sites,P0_official_team,official_team_gallery,NWSL club sites,"""[athlete] [club] site:[club-domain] gallery OR recap OR photos""",operator_fill_required,club-owned gallery or recap lead; current club and match context,"club roster plus NWSL player page, lineup, visible number, and match context",official_review_needed; respect club/media credential limits and partner photo credits,not_asserted_manual_verification_required,manual_review_required,,,,,,no,not_reviewed,,,false,"Use this as a manual research prompt only; paste URLs/evidence after human review and keep download_approved=no. Do not assert roster truth, download images, or mark anything approved.",true,false,none,none_artifact_only
WSAP03,soccer,NWSL,nwsl_first,player_identity_anchor,P0_identity_anchor,verification_only_player_page,NWSL and club roster/player pages,"""[athlete] [club] NWSL roster player profile official""",nwslsoccer.com|club-domain,"identity anchor only; roster status, number, position, current club, and season context",use as required corroboration before treating any image lead as the claimed athlete,verification_only; roster/headshot pages are not action-photo candidates,not_asserted_manual_verification_required,manual_review_required,,,,,,no,not_reviewed,,,false,"Use this as a manual research prompt only; paste URLs/evidence after human review and keep download_approved=no. Do not assert roster truth, download images, or mark anything approved.",true,false,none,none_artifact_only
WSAP04,soccer,NWSL,nwsl_first,editorial_marketplaces,P1_rights_sensitive,editorial_wire,Getty / AP / Reuters / Imagn,"""[athlete]"" ""[club]"" NWSL site:gettyimages.com OR site:newsroom.ap.org OR site:reutersconnect.com OR site:imagn.com",gettyimages.com|newsroom.ap.org|reutersconnect.com|imagn.com,"rights-sensitive detail-page lead; caption, event, photographer/agency, and license clues",caption plus official NWSL/club roster and match context,editorial_wire_rights_sensitive; licensing review required before any later human download approval,not_asserted_manual_verification_required,manual_review_required,,,,,,no,not_reviewed,,,false,"Use this as a manual research prompt only; paste URLs/evidence after human review and keep download_approved=no. Do not assert roster truth, download images, or mark anything approved.",true,false,none,none_artifact_only
WSAP05,soccer,NWSL,nwsl_first,reputable_newsrooms,P2_reputable_public,reputable_newsroom_gallery,newsrooms and local beat outlets,"""[athlete] [club] NWSL photo gallery local news OR sports desk""",operator_fill_required,"supplemental public action lead with caption, credit, and match context",news caption plus official roster/player page and match report,newsroom_photo_rights_sensitive; no reuse assumed,not_asserted_manual_verification_required,manual_review_required,,,,,,no,not_reviewed,,,false,"Use this as a manual research prompt only; paste URLs/evidence after human review and keep download_approved=no. Do not assert roster truth, download images, or mark anything approved.",true,false,none,none_artifact_only
WSAP06,soccer,NWSL,nwsl_first,official_social,P3_social_discovery,official_social,"official NWSL, club, and athlete social accounts","""[athlete] [club] NWSL"" site:instagram.com/p/ OR site:x.com OR site:tiktok.com",instagram.com|x.com|tiktok.com,"current moment discovery lead; account relationship, caption, and event clues",verified account context plus official roster/player/event anchor,"social_uncleared; discovery only, not a rights answer",not_asserted_manual_verification_required,manual_review_required,,,,,,no,not_reviewed,,,false,"Use this as a manual research prompt only; paste URLs/evidence after human review and keep download_approved=no. Do not assert roster truth, download images, or mark anything approved.",true,false,none,none_artifact_only
WSAP07,soccer,NWSL,nwsl_first,creator_public_galleries,P4_creator_public,third_party_creator_public,independent photographers / portfolios / Flickr / SmugMug,"""[athlete] [club] NWSL photographer gallery OR Flickr OR SmugMug""",operator_fill_required,long-tail discovery lead; original creator/credit and match clues,creator caption plus official roster/player/event anchor,third_party_creator_uncleared; provenance and permission review required,not_asserted_manual_verification_required,manual_review_required,,,,,,no,not_reviewed,,,false,"Use this as a manual research prompt only; paste URLs/evidence after human review and keep download_approved=no. Do not assert roster truth, download images, or mark anything approved.",true,false,none,none_artifact_only
WSAP08,soccer,NWSL,nwsl_first,gray_area_public_leads,P5_park_only,gray_area_public_lead,fan archives / reposts / forums / weak-provenance public pages,"""[athlete] [club] NWSL action photo""",operator_fill_required,parking lot for possibly useful leads when official/editorial coverage is thin,must be corroborated against official roster/player and event sources,gray_area_lead_only; not official roster truth and not a download candidate,not_asserted_manual_verification_required,manual_review_required,,,,,,no,not_reviewed,,,false,Park as advisory metadata only unless a human finds a stronger official/reputable source; do not download or approve.,true,false,none,none_artifact_only
WSAP09,soccer,USWNT,future_uswnt,federation_official,P0_official_federation,official_federation_or_tournament,U.S. Soccer official site,"""[athlete] USWNT site:ussoccer.com gallery OR photos OR recap""",ussoccer.com,future federation action lead; national-team event/date/caption context,"USWNT roster/player page, match report, uniform/number context",official_review_needed; federation content still requires rights review,not_asserted_manual_verification_required,manual_review_required,,,,,,no,not_reviewed,,,false,"Use this as a manual research prompt only; paste URLs/evidence after human review and keep download_approved=no. Do not assert roster truth, download images, or mark anything approved.",true,false,none,none_artifact_only
WSAP10,soccer,Europe top flight,future_wsl_liga_f_arkema,official_league_or_club,P0_official_league_or_team,official_league_gallery,WSL / Liga F / Arkema / club official sites,"""[athlete] [club] WSL OR ""Liga F"" OR Arkema gallery OR recap official""",operator_fill_required,future Europe action lead; league/club/match context only,official league/club roster/player page before any intake promotion,official_review_needed; source-candidate only and explicitly not render-ready,not_asserted_manual_verification_required,manual_review_required,,,,,,no,not_reviewed,,,false,"Use this as a manual research prompt only; paste URLs/evidence after human review and keep download_approved=no. Do not assert roster truth, download images, or mark anything approved.",true,false,none,none_artifact_only
