research_lane,operator_bucket,source_priority,league_id,league_name,team_name,player_name,issue_type,operator_action,source_url,source_domain,official_status,confidence,operator_verify_required,safe_next_action,notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,publishing,paid_apis
nwsl_correction_enrichment,p1_metadata_candidate_only,P1,nwsl,National Women's Soccer League,nwsl_all_teams,,source_url_enrichment_needed,add_source_candidates,https://www.nwslsoccer.com/teams/index,www.nwslsoccer.com,official_league,high,yes,Treat as source/profile metadata candidate only; enrich review notes after manual source check.,NWSL Teams index lists the official team-site domain for each current NWSL club.,true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p1_metadata_candidate_only,P1,nwsl,National Women's Soccer League,nwsl_all_players,,player_profile_candidate_gap,enrich_review_metadata_only,https://www.nwslsoccer.com/teams/index,www.nwslsoccer.com,official_league,high,yes,Treat as source/profile metadata candidate only; enrich review notes after manual source check.,"Use as source/profile metadata only, not an asset-fetch instruction.",true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p1_metadata_candidate_only,P1,nwsl,National Women's Soccer League,Chicago Stars FC,,source_domain_change_candidate,add_source_candidate,https://chicagostars.com/roster/,chicagostars.com,official_team,high,yes,Treat as source/profile metadata candidate only; enrich review notes after manual source check.,Current team branding/domain is Chicago Stars FC / chicagostars.com.,true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p1_metadata_candidate_only,P1,nwsl,National Women's Soccer League,Seattle Reign,,source_domain_change_candidate,add_source_candidate,https://www.reignfc.com/roster,www.reignfc.com,official_team,high,yes,Treat as source/profile metadata candidate only; enrich review notes after manual source check.,Current team site uses reignfc.com.,true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p1_metadata_candidate_only,P1,nwsl,National Women's Soccer League,Houston Dash,,source_domain_change_candidate,add_source_candidate,https://www.houstondynamofc.com/houstondash/roster/,www.houstondynamofc.com,official_team,high,yes,Treat as source/profile metadata candidate only; enrich review notes after manual source check.,Houston Dash official roster lives under the Houston Dynamo FC domain.,true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p1_metadata_candidate_only,P1,nwsl,National Women's Soccer League,Utah Royals FC,,source_domain_change_candidate,add_source_candidate,https://www.rsl.com/utahroyals/roster/,www.rsl.com,official_team,high,yes,Treat as source/profile metadata candidate only; enrich review notes after manual source check.,Utah Royals official roster lives under the RSL domain.,true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p0_nwsl_operator_verify_first,P0,nwsl,National Women's Soccer League,Kansas City Current,Ally Sentnor,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,https://angelcity.com/acfc-post/acfc-signs-uswnt-midfielder-ally-sentnor-trade-with-kansas-city-current,angelcity.com,official_team,high,yes,Review official roster/transaction metadata manually before any later human-edited candidate-state change.,Official Angel City transaction says Sentnor joined ACFC from Kansas City in June 2026.,true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p0_nwsl_operator_verify_first,P0,nwsl,National Women's Soccer League,Angel City FC,Kennedy Fuller,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,https://bayfc.com/press-releases/bay-fc-acquire-midfielder-kennedy-fuller-from-angel-city-fc-20260612/,bayfc.com,official_team,high,yes,Review official roster/transaction metadata manually before any later human-edited candidate-state change.,Official Bay FC transaction says Fuller was acquired from Angel City.,true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p0_nwsl_operator_verify_first,P0,nwsl,National Women's Soccer League,Gotham FC,Lilly Reale,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,https://www.gothamfc.com/news/gotham-fc-trades-defender-lilly-reale-to-boston-legacy-fc,www.gothamfc.com,official_team,high,yes,Review official roster/transaction metadata manually before any later human-edited candidate-state change.,Official Gotham transaction says Reale was traded to Boston Legacy.,true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p0_nwsl_operator_verify_first,P0,nwsl,National Women's Soccer League,Boston Legacy FC / Chicago Stars FC,Sam Cary Angel,loan_duplicate_needs_status_metadata,add_loan_status_metadata,https://bostonlegacyfc.com/blogs/press/boston-legacy-fc-samantha-angel-loan-chicago-stars,bostonlegacyfc.com,official_team,high,yes,Review official roster/transaction metadata manually before any later human-edited candidate-state change.,"This looks like a valid loan duplicate, not a simple identity error.",true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p0_nwsl_operator_verify_first,P0,nwsl,National Women's Soccer League,Houston Dash,Yazmeen Ryan,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,www.denversummitfc.com,official_team,high,yes,Review official roster/transaction metadata manually before any later human-edited candidate-state change.,Official Denver transaction says Ryan was acquired from Houston.,true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p0_nwsl_operator_verify_first,P0,nwsl,National Women's Soccer League,Houston Dash,Delanie Sheehan,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,www.denversummitfc.com,official_team,high,yes,Review official roster/transaction metadata manually before any later human-edited candidate-state change.,Official Denver transaction says Sheehan was acquired from Houston.,true,false,false,false,false,false,false,false,false
nwsl_correction_enrichment,p0_nwsl_operator_verify_first,P0,nwsl,National Women's Soccer League,Portland Thorns FC / Utah Royals FC,Alexa Spaanstra,loan_duplicate_needs_status_metadata,add_loan_status_metadata,https://www.thorns.com/news/forward-alexa-spaanstra-loaned-to-utah-royals-fc,www.thorns.com,official_team,high,yes,Review official roster/transaction metadata manually before any later human-edited candidate-state change.,"This looks like a valid loan duplicate, not a simple identity error.",true,false,false,false,false,false,false,false,false
