focus_rank,focus_bucket,focus_reason_flags,priority_label,manual_action_group,source_tier,scope_id,league_id,team_id,team_name,player_name,issue_type,operator_action,source_priority,official_status,confidence,operator_verify_required,source_domain,source_candidate_url,candidate_entity_id,source_proof_status,identity_verification_status,official_profile_url,photo_candidate_status,action_photo_candidate_status,action_photo_starter_intake_file,source_priority_row_ref,triage_row_ref,candidate_action_row_ref,open_next_file,open_next_row_ref,why_row_matters,next_manual_action,do_not_do,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,1_duplicate_transfer_loan_stale_profile_check,p0_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|operator_verify_required,P0,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,angel_city_fc,Angel City FC,Kennedy Fuller,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,bayfc.com,https://bayfc.com/press-releases/bay-fc-acquire-midfielder-kennedy-fuller-from-angel-city-fc-20260612/,angel_city_fc,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=44,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=1,"Kennedy Fuller has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Angel City FC; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
2,1_duplicate_transfer_loan_stale_profile_check,p0_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|operator_verify_required,P0,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,angel_city_fc,Angel City FC,Rajanah Reed,expired_replacement_player_candidate,hold_candidate_for_review,P0,official_team,high,yes,angelcity.com,https://angelcity.com/acfc-post/angel-city-signs-forward-rajanah-reed,angel_city_fc,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=45,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=3,"Rajanah Reed has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Angel City FC; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
3,1_duplicate_transfer_loan_stale_profile_check,p0_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|operator_verify_required,P0,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,boston_legacy_fc_chicago_stars_fc,Boston Legacy FC / Chicago Stars FC,Sam Cary Angel,loan_duplicate_needs_status_metadata,add_loan_status_metadata,P0,official_team,high,yes,bostonlegacyfc.com,https://bostonlegacyfc.com/blogs/press/boston-legacy-fc-samantha-angel-loan-chicago-stars,boston_legacy_fc_chicago_stars_fc,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=4,,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=46,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=4,"Sam Cary Angel has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Boston Legacy FC / Chicago Stars FC; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
4,1_duplicate_transfer_loan_stale_profile_check,p0_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|profile_or_official_page_gap|operator_verify_required,P0,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,denver_summit_fc,Denver Summit FC,Lindsey Heaps; Jordan Baggett,missing_player_profile_candidate; stale_player_candidate,add_candidate_metadata; hold_candidate_for_review,P0,official_team,high; medium,yes,www.denversummitfc.com,https://www.denversummitfc.com/roster/,denver_summit_fc,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=2,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=47,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=5,"Lindsey Heaps; Jordan Baggett has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Denver Summit FC; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
5,1_duplicate_transfer_loan_stale_profile_check,p0_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|operator_verify_required,P0,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,gotham_fc,Gotham FC,Lilly Reale,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,www.gothamfc.com,https://www.gothamfc.com/news/gotham-fc-trades-defender-lilly-reale-to-boston-legacy-fc,gotham_fc,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=6,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=48,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=6,"Lilly Reale has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Gotham FC; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
6,1_duplicate_transfer_loan_stale_profile_check,p0_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|operator_verify_required,P0,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,houston_dash,Houston Dash,Christen Westphal,stale_player_candidate,hold_candidate_for_review,P0,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/news/houston-dash-host-north-carolina-courage-for-kids-night,houston_dash,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=49,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=7,"Christen Westphal has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Houston Dash; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
7,1_duplicate_transfer_loan_stale_profile_check,p1_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|profile_or_official_page_gap|operator_verify_required,P1; P0,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,houston_dash,Houston Dash,Natalie Bain; Liz Beardsley; Zoe Matthews; Amanda West; Rebeca Costa da Silva; Jyllissa Harris,source_domain_change_candidate; missing_player_profile_candidate; loan_status_missing,add_source_candidate; add_candidate_metadata; add_loan_status_metadata,P1; P0,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,houston_dash,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=8,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=50,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=8,"Natalie Bain; Liz Beardsley; Zoe Matthews; Amanda West; Rebeca Costa da Silva; Jyllissa Harris has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Houston Dash; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
8,1_duplicate_transfer_loan_stale_profile_check,p0_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|operator_verify_required,P0,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,houston_dash,Houston Dash,Yazmeen Ryan; Delanie Sheehan,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,www.denversummitfc.com,https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,houston_dash,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=9,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=51,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=9,"Yazmeen Ryan; Delanie Sheehan has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Houston Dash; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
9,1_duplicate_transfer_loan_stale_profile_check,p0_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|operator_verify_required,P0,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,kansas_city_current,Kansas City Current,Ally Sentnor,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,angelcity.com,https://angelcity.com/acfc-post/acfc-signs-uswnt-midfielder-ally-sentnor-trade-with-kansas-city-current,kansas_city_current,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=52,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=10,"Ally Sentnor has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Kansas City Current; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
10,1_duplicate_transfer_loan_stale_profile_check,p1_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|operator_verify_required,P1,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,kansas_city_current,Kansas City Current,Katie Cappelletti; Kyra Carusa; Kelsey Branson; Flora Marta Lacho,stale_or_short_term_candidate,hold_candidate_for_review,P1,official_team,medium,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team; https://www.kansascitycurrent.com/news/kansas-city-current-announces-roster-ahead-of-2026-regular-s,kansas_city_current,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=25,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=53,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=25,"Katie Cappelletti; Kyra Carusa; Kelsey Branson; Flora Marta Lacho has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Kansas City Current; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
11,1_duplicate_transfer_loan_stale_profile_check,p1_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|operator_verify_required,P1,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,orlando_pride,Orlando Pride,Angelina Alonso Costantino; Luana Bertolucci Paixão; Marta Marta; Rafaelle Leone Carvalho Souza; Jacqueline Ovalle; Oihane Hernández; Kat Asman,public_display_alias_review; loan_status_missing,add_alias_metadata; add_loan_status_metadata,P1,official_team,high,yes,www.orlandocitysc.com,https://www.orlandocitysc.com/pride/roster/,orlando_pride,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=27,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=12,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=54,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=27,"Angelina Alonso Costantino; Luana Bertolucci Paixão; Marta Marta; Rafaelle Leone Carvalho Souza; Jacqueline Ovalle; Oihane Hernández; Kat Asman has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Orlando Pride; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
12,1_duplicate_transfer_loan_stale_profile_check,p0_source_or_roster_row|duplicate_transfer_loan_stale_or_short_term_issue|operator_verify_required,P0,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,portland_thorns_fc_utah_royals_fc,Portland Thorns FC / Utah Royals FC,Alexa Spaanstra,loan_duplicate_needs_status_metadata,add_loan_status_metadata,P0,official_team,high,yes,www.thorns.com,https://www.thorns.com/news/forward-alexa-spaanstra-loaned-to-utah-royals-fc,portland_thorns_fc_utah_royals_fc,official_source_candidate_manual_verification_required,current_team_identity_conflict_requires_manual_resolution,,resolve_duplicate_transfer_before_photo_review,no_action_photo_selection_until_team_status_resolved,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=11,,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=55,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=11,"Alexa Spaanstra has duplicate, transfer, loan, stale-profile, expired, or short-term metadata signals for Portland Thorns FC / Utah Royals FC; verify official current status before any photo-review work.","Compare official roster/transaction pages and reconcile duplicate, transfer, loan, stale, or short-term player metadata only.","Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
13,2_p0_roster_or_source_verify,p1_source_or_roster_row|operator_verify_required,P1,roster_source_verify,official_source_candidate,nwsl,nwsl,angel_city_fc,Angel City FC,Ariadina Alves Borges; Maiara Carolina Niehues,public_display_alias_review,add_alias_metadata,P1,official_team,high,yes,angelcity.com,https://angelcity.com/club/roster,angel_city_fc,official_source_candidate_manual_verification_required,player_identity_manual_verification_required,,nwsl_roster_verify_before_photo_review,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=21,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=21,Angel City FC is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
