candidate_queue_id,sport,league_entity,target_entity_or_player,source_family,source_category,source_url_or_search_macro,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,action_moment_type,render_fit_potential,rights_posture_metadata,fair_use_context_note,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,quarantine_target_hint,manual_reviewer,manual_review_status,manual_next_action,review_only,publish_ready
APQ001,basketball,WNBA,operator_fill_player_or_team,Getty Images Editorial Sports,editorial_wire,{player_name} WNBA match action site:gettyimages.com,,,,,transition_drive|block|rebound|celebration,high_action_fit_if_full_body_or_clean_face,editorial_wire_rights_sensitive,fair_use_assumption_for_research_queue_only_not_auto_approval_or_publish_ready,no,,,,,,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq001/operator_fill_required.jpg,,not_reviewed,"Fill candidate_photo_url, evidence_url, evidence_summary, and identity_anchor_url after manual or ChatGPT/Gemini research; keep download_approved=no unless a later human-edited intake satisfies the quarantine law.",true,false
APQ002,basketball,WNBA,operator_fill_player_or_team,WNBA official league/team galleries,official_league_gallery,{player_name} {team} site:wnba.com OR site:{team}.wnba.com photos OR gallery OR recap,,,,,game_action|bench_reaction|celebration,high_context_fit_if_captioned_current_event,official_review_needed,fair_use_assumption_for_research_queue_only_not_auto_approval_or_publish_ready,no,,,,,,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq002/operator_fill_required.jpg,,not_reviewed,"Fill candidate_photo_url, evidence_url, evidence_summary, and identity_anchor_url after manual or ChatGPT/Gemini research; keep download_approved=no unless a later human-edited intake satisfies the quarantine law.",true,false
APQ003,soccer,NWSL,operator_fill_player_or_team,ISI Photos Archive,reputable_newsroom_gallery,{player_name} {club} NWSL isiphotos photoshelter action,,,,,dribble|shot|save|celebration,high_action_fit_if_match_context_and_identity_anchor_are_clear,newsroom_photo_rights_sensitive,fair_use_assumption_for_research_queue_only_not_auto_approval_or_publish_ready,no,,,,,,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/apq003/operator_fill_required.jpg,,not_reviewed,"Fill candidate_photo_url, evidence_url, evidence_summary, and identity_anchor_url after manual or ChatGPT/Gemini research; keep download_approved=no unless a later human-edited intake satisfies the quarantine law.",true,false
APQ004,soccer,USWNT / U.S. Soccer,operator_fill_player_or_team,ISI Photos / U.S. Soccer,official_federation_or_tournament,{player_name} USWNT match action ISI Photos OR ussoccer photos,,,,,national_team_action|goal_celebration|defensive_play,high_fit_for_international_context_if roster_anchor_present,official_review_needed,fair_use_assumption_for_research_queue_only_not_auto_approval_or_publish_ready,no,,,,,,data/assets/quarantine/review_only_candidates/action_photo_candidates/uswnt_u_s_soccer/apq004/operator_fill_required.jpg,,not_reviewed,"Fill candidate_photo_url, evidence_url, evidence_summary, and identity_anchor_url after manual or ChatGPT/Gemini research; keep download_approved=no unless a later human-edited intake satisfies the quarantine law.",true,false
APQ005,basketball,NCAA Women Basketball,operator_fill_player_or_team,NCAA Photos / Clarkson Creative,official_federation_or_tournament,{player_name} NCAA March Madness basketball ncaaphotos photoshelter,,,,,drive|jump_shot|celebration|defense,medium_high_fit_if_school_and_event_are_current,official_partner_licensed_manual_review,fair_use_assumption_for_research_queue_only_not_auto_approval_or_publish_ready,no,,,,,,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_basketball/apq005/operator_fill_required.jpg,,not_reviewed,"Fill candidate_photo_url, evidence_url, evidence_summary, and identity_anchor_url after manual or ChatGPT/Gemini research; keep download_approved=no unless a later human-edited intake satisfies the quarantine law.",true,false
APQ006,softball,NCAA Women Softball,operator_fill_player_or_team,NCAA Photos / Clarkson Creative,official_federation_or_tournament,{player_name} Women College World Series softball ncaaphotos photoshelter,,,,,swing|pitch|slide|fielding,high_fit_if_action_shape_is_readable,official_partner_licensed_manual_review,fair_use_assumption_for_research_queue_only_not_auto_approval_or_publish_ready,no,,,,,,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_softball/apq006/operator_fill_required.jpg,,not_reviewed,"Fill candidate_photo_url, evidence_url, evidence_summary, and identity_anchor_url after manual or ChatGPT/Gemini research; keep download_approved=no unless a later human-edited intake satisfies the quarantine law.",true,false
APQ007,hockey,PWHL,operator_fill_player_or_team,Getty / Ice Garden / Inside the Rink,editorial_wire,{player_name} PWHL game action Getty OR Ice Garden OR Inside the Rink gallery,,,,,skate|shot|save|celebration,medium_high_fit_if_face_or_number_is_clear,editorial_wire_rights_sensitive,fair_use_assumption_for_research_queue_only_not_auto_approval_or_publish_ready,no,,,,,,data/assets/quarantine/review_only_candidates/action_photo_candidates/pwhl/apq007/operator_fill_required.jpg,,not_reviewed,"Fill candidate_photo_url, evidence_url, evidence_summary, and identity_anchor_url after manual or ChatGPT/Gemini research; keep download_approved=no unless a later human-edited intake satisfies the quarantine law.",true,false
APQ008,softball,AUSL / Pro Softball,operator_fill_player_or_team,Athletes Unlimited / AUSL Media Hub,official_league_gallery,{player_name} AUSL softball action site:theausl.com OR Jade Hewitt,,,,,swing|pitch|fielding|dugout_celebration,high_fit_if official event context is clear,official_review_needed,fair_use_assumption_for_research_queue_only_not_auto_approval_or_publish_ready,no,,,,,,data/assets/quarantine/review_only_candidates/action_photo_candidates/ausl_pro_softball/apq008/operator_fill_required.jpg,,not_reviewed,"Fill candidate_photo_url, evidence_url, evidence_summary, and identity_anchor_url after manual or ChatGPT/Gemini research; keep download_approved=no unless a later human-edited intake satisfies the quarantine law.",true,false
APQ009,tennis,WTA Tennis,operator_fill_player_or_team,WTA / Getty,official_league_gallery,{player_name} WTA match action site:wtatennis.com OR site:gettyimages.com,,,,,serve|forehand|backhand|celebration,high_fit_if ball/racket/body_line_clear,official_review_needed,fair_use_assumption_for_research_queue_only_not_auto_approval_or_publish_ready,no,,,,,,data/assets/quarantine/review_only_candidates/action_photo_candidates/wta_tennis/apq009/operator_fill_required.jpg,,not_reviewed,"Fill candidate_photo_url, evidence_url, evidence_summary, and identity_anchor_url after manual or ChatGPT/Gemini research; keep download_approved=no unless a later human-edited intake satisfies the quarantine law.",true,false
APQ010,golf,LPGA Golf,operator_fill_player_or_team,LPGA / Getty,official_league_gallery,{player_name} LPGA swing site:lpga.com OR site:gettyimages.com,,,,,drive|approach|putt|celebration,medium_fit_if pose is dynamic and athlete identity is anchored,official_review_needed,fair_use_assumption_for_research_queue_only_not_auto_approval_or_publish_ready,no,,,,,,data/assets/quarantine/review_only_candidates/action_photo_candidates/lpga_golf/apq010/operator_fill_required.jpg,,not_reviewed,"Fill candidate_photo_url, evidence_url, evidence_summary, and identity_anchor_url after manual or ChatGPT/Gemini research; keep download_approved=no unless a later human-edited intake satisfies the quarantine law.",true,false
