source_hunt_id,candidate_queue_id,sport,league_entity,target_entity_or_player,source_family,source_category,source_tier,source_tier_guidance,rights_review_category,primary_manual_search_query,secondary_manual_search_query,candidate_page_url_guidance,official_page_or_identity_anchor_needed,candidate_photo_page_needed,evidence_url_needed,rights_class_hint,paste_target,paste_fields_to_fill,blocked_or_deprioritized_sources,red_flags_or_hold_reasons,manual_next_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,review_only,publish_ready,approval_state_change,asset_downloads,source_fetching,auto_source_enablement,auto_approval,headshot_writes,approved_marker_writes,publish_action
APSH001,APQ001,basketball,WNBA,operator_fill_player_or_team,Getty Images Editorial Sports,editorial_wire,tier_2_authorized_syndicator_public_reference,"Authorized agency or public preview/search pages such as ISI Photos, Photoshelter, Getty-style, AP, Reuters, or Imagn references; manual reference only with no scraping, automatic download, or rights assumption.",authorized_agency_preview_reference,{player_name} WNBA match action site:gettyimages.com,{player_name} {team} WNBA recap photos gallery action,"Prefer candidate_page_url/evidence page/source page wording. If the existing return schema requires candidate_photo_url, keep it blank until a human supplies a page URL; do not paste hotlinked image files or cached binaries.","official roster/player/team page or event/game recap URL that confirms identity, team, and event context","candidate action-photo source page or gallery page URL; not a hotlinked image file, thumbnail, screenshot, or cached binary","caption, recap, gallery, event page, game sheet, roster profile, or source page that supports identity and action context",editorial_wire_rights_sensitive,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,broadcast/video stills|screenshots|hotlinked image files|image-search thumbnails|AI edits|wallpaper sites|uncredited reposts,public preview is not clearance|watermark or license wall|terms restrict reuse|caption missing identity|direct image binary or thumbnail,"Open source pages manually, collect URL/evidence fields only, then paste complete rows into the research return intake; do not fetch, download, approve, or publish.",no,,,,,,true,false,none,false,false,false,false,false,false,none_artifact_only
APSH002,APQ002,basketball,WNBA,operator_fill_player_or_team,WNBA official league/team galleries,official_league_gallery,tier_1_official_league_team_portal,"Official league/team/federation/tournament pages: media galleries, recap pages, and press releases on official domains; collect page URLs and evidence only.",official_editorial_page,{player_name} {team} site:wnba.com OR site:{team}.wnba.com photos OR gallery OR recap,{player_name} {team} WNBA recap photos gallery action,"Prefer candidate_page_url/evidence page/source page wording. If the existing return schema requires candidate_photo_url, keep it blank until a human supplies a page URL; do not paste hotlinked image files or cached binaries.","official roster/player/team page or event/game recap URL that confirms identity, team, and event context","candidate action-photo source page or gallery page URL; not a hotlinked image file, thumbnail, screenshot, or cached binary","caption, recap, gallery, event page, game sheet, roster profile, or source page that supports identity and action context",official_review_needed,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,broadcast/video stills|screenshots|hotlinked image files|image-search thumbnails|AI edits|wallpaper sites|uncredited reposts,partner-licensed imagery may still need rights review|missing caption or event context|direct image binary or hotlink|page implies sales/license workflow,"Open source pages manually, collect URL/evidence fields only, then paste complete rows into the research return intake; do not fetch, download, approve, or publish.",no,,,,,,true,false,none,false,false,false,false,false,false,none_artifact_only
APSH003,APQ003,soccer,NWSL,operator_fill_player_or_team,ISI Photos Archive,reputable_newsroom_gallery,tier_2_authorized_syndicator_public_reference,"Authorized agency or public preview/search pages such as ISI Photos, Photoshelter, Getty-style, AP, Reuters, or Imagn references; manual reference only with no scraping, automatic download, or rights assumption.",authorized_agency_preview_reference,{player_name} {club} NWSL isiphotos photoshelter action,{player_name} {club} NWSL match recap gallery action,"Prefer candidate_page_url/evidence page/source page wording. If the existing return schema requires candidate_photo_url, keep it blank until a human supplies a page URL; do not paste hotlinked image files or cached binaries.","official roster/player/team page or event/game recap URL that confirms identity, team, and event context","candidate action-photo source page or gallery page URL; not a hotlinked image file, thumbnail, screenshot, or cached binary","caption, recap, gallery, event page, game sheet, roster profile, or source page that supports identity and action context",newsroom_photo_rights_sensitive,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,broadcast/video stills|screenshots|hotlinked image files|image-search thumbnails|AI edits|wallpaper sites|uncredited reposts,public preview is not clearance|watermark or license wall|terms restrict reuse|caption missing identity|direct image binary or thumbnail,"Open source pages manually, collect URL/evidence fields only, then paste complete rows into the research return intake; do not fetch, download, approve, or publish.",no,,,,,,true,false,none,false,false,false,false,false,false,none_artifact_only
APSH004,APQ004,soccer,USWNT / U.S. Soccer,operator_fill_player_or_team,ISI Photos / U.S. Soccer,official_federation_or_tournament,tier_1_official_league_team_portal,"Official league/team/federation/tournament pages: media galleries, recap pages, and press releases on official domains; collect page URLs and evidence only.",official_editorial_page,{player_name} USWNT match action ISI Photos OR ussoccer photos,{player_name} USWNT match recap gallery action identity anchor,"Prefer candidate_page_url/evidence page/source page wording. If the existing return schema requires candidate_photo_url, keep it blank until a human supplies a page URL; do not paste hotlinked image files or cached binaries.","official roster/player/team page or event/game recap URL that confirms identity, team, and event context","candidate action-photo source page or gallery page URL; not a hotlinked image file, thumbnail, screenshot, or cached binary","caption, recap, gallery, event page, game sheet, roster profile, or source page that supports identity and action context",official_review_needed,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,broadcast/video stills|screenshots|hotlinked image files|image-search thumbnails|AI edits|wallpaper sites|uncredited reposts,partner-licensed imagery may still need rights review|missing caption or event context|direct image binary or hotlink|page implies sales/license workflow,"Open source pages manually, collect URL/evidence fields only, then paste complete rows into the research return intake; do not fetch, download, approve, or publish.",no,,,,,,true,false,none,false,false,false,false,false,false,none_artifact_only
APSH005,APQ005,basketball,NCAA Women Basketball,operator_fill_player_or_team,NCAA Photos / Clarkson Creative,official_federation_or_tournament,tier_1_official_league_team_portal,"Official league/team/federation/tournament pages: media galleries, recap pages, and press releases on official domains; collect page URLs and evidence only.",official_editorial_page,{player_name} NCAA March Madness basketball ncaaphotos photoshelter,{player_name} action photo official recap gallery identity anchor,"Prefer candidate_page_url/evidence page/source page wording. If the existing return schema requires candidate_photo_url, keep it blank until a human supplies a page URL; do not paste hotlinked image files or cached binaries.","official roster/player/team page or event/game recap URL that confirms identity, team, and event context","candidate action-photo source page or gallery page URL; not a hotlinked image file, thumbnail, screenshot, or cached binary","caption, recap, gallery, event page, game sheet, roster profile, or source page that supports identity and action context",official_partner_licensed_manual_review,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,broadcast/video stills|screenshots|hotlinked image files|image-search thumbnails|AI edits|wallpaper sites|uncredited reposts,partner-licensed imagery may still need rights review|missing caption or event context|direct image binary or hotlink|page implies sales/license workflow,"Open source pages manually, collect URL/evidence fields only, then paste complete rows into the research return intake; do not fetch, download, approve, or publish.",no,,,,,,true,false,none,false,false,false,false,false,false,none_artifact_only
APSH006,APQ006,softball,NCAA Women Softball,operator_fill_player_or_team,NCAA Photos / Clarkson Creative,official_federation_or_tournament,tier_1_official_league_team_portal,"Official league/team/federation/tournament pages: media galleries, recap pages, and press releases on official domains; collect page URLs and evidence only.",official_editorial_page,{player_name} Women College World Series softball ncaaphotos photoshelter,{player_name} softball recap gallery swing pitch slide action,"Prefer candidate_page_url/evidence page/source page wording. If the existing return schema requires candidate_photo_url, keep it blank until a human supplies a page URL; do not paste hotlinked image files or cached binaries.","official roster/player/team page or event/game recap URL that confirms identity, team, and event context","candidate action-photo source page or gallery page URL; not a hotlinked image file, thumbnail, screenshot, or cached binary","caption, recap, gallery, event page, game sheet, roster profile, or source page that supports identity and action context",official_partner_licensed_manual_review,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,broadcast/video stills|screenshots|hotlinked image files|image-search thumbnails|AI edits|wallpaper sites|uncredited reposts,partner-licensed imagery may still need rights review|missing caption or event context|direct image binary or hotlink|page implies sales/license workflow,"Open source pages manually, collect URL/evidence fields only, then paste complete rows into the research return intake; do not fetch, download, approve, or publish.",no,,,,,,true,false,none,false,false,false,false,false,false,none_artifact_only
APSH007,APQ007,hockey,PWHL,operator_fill_player_or_team,Getty / Ice Garden / Inside the Rink,editorial_wire,tier_2_authorized_syndicator_public_reference,"Authorized agency or public preview/search pages such as ISI Photos, Photoshelter, Getty-style, AP, Reuters, or Imagn references; manual reference only with no scraping, automatic download, or rights assumption.",authorized_agency_preview_reference,{player_name} PWHL game action Getty OR Ice Garden OR Inside the Rink gallery,{player_name} PWHL game recap gallery jersey number action,"Prefer candidate_page_url/evidence page/source page wording. If the existing return schema requires candidate_photo_url, keep it blank until a human supplies a page URL; do not paste hotlinked image files or cached binaries.","official roster/player/team page or event/game recap URL that confirms identity, team, and event context","candidate action-photo source page or gallery page URL; not a hotlinked image file, thumbnail, screenshot, or cached binary","caption, recap, gallery, event page, game sheet, roster profile, or source page that supports identity and action context",editorial_wire_rights_sensitive,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,broadcast/video stills|screenshots|hotlinked image files|image-search thumbnails|AI edits|wallpaper sites|uncredited reposts,public preview is not clearance|watermark or license wall|terms restrict reuse|caption missing identity|direct image binary or thumbnail,"Open source pages manually, collect URL/evidence fields only, then paste complete rows into the research return intake; do not fetch, download, approve, or publish.",no,,,,,,true,false,none,false,false,false,false,false,false,none_artifact_only
APSH008,APQ008,softball,AUSL / Pro Softball,operator_fill_player_or_team,Athletes Unlimited / AUSL Media Hub,official_league_gallery,tier_1_official_league_team_portal,"Official league/team/federation/tournament pages: media galleries, recap pages, and press releases on official domains; collect page URLs and evidence only.",official_editorial_page,{player_name} AUSL softball action site:theausl.com OR Jade Hewitt,{player_name} softball recap gallery swing pitch slide action,"Prefer candidate_page_url/evidence page/source page wording. If the existing return schema requires candidate_photo_url, keep it blank until a human supplies a page URL; do not paste hotlinked image files or cached binaries.","official roster/player/team page or event/game recap URL that confirms identity, team, and event context","candidate action-photo source page or gallery page URL; not a hotlinked image file, thumbnail, screenshot, or cached binary","caption, recap, gallery, event page, game sheet, roster profile, or source page that supports identity and action context",official_review_needed,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,broadcast/video stills|screenshots|hotlinked image files|image-search thumbnails|AI edits|wallpaper sites|uncredited reposts,partner-licensed imagery may still need rights review|missing caption or event context|direct image binary or hotlink|page implies sales/license workflow,"Open source pages manually, collect URL/evidence fields only, then paste complete rows into the research return intake; do not fetch, download, approve, or publish.",no,,,,,,true,false,none,false,false,false,false,false,false,none_artifact_only
APSH009,APQ009,tennis,WTA Tennis,operator_fill_player_or_team,WTA / Getty,official_league_gallery,tier_1_official_league_team_portal,"Official league/team/federation/tournament pages: media galleries, recap pages, and press releases on official domains; collect page URLs and evidence only.",official_editorial_page,{player_name} WTA match action site:wtatennis.com OR site:gettyimages.com,{player_name} tournament match gallery serve action official profile,"Prefer candidate_page_url/evidence page/source page wording. If the existing return schema requires candidate_photo_url, keep it blank until a human supplies a page URL; do not paste hotlinked image files or cached binaries.","official roster/player/team page or event/game recap URL that confirms identity, team, and event context","candidate action-photo source page or gallery page URL; not a hotlinked image file, thumbnail, screenshot, or cached binary","caption, recap, gallery, event page, game sheet, roster profile, or source page that supports identity and action context",official_review_needed,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,broadcast/video stills|screenshots|hotlinked image files|image-search thumbnails|AI edits|wallpaper sites|uncredited reposts,partner-licensed imagery may still need rights review|missing caption or event context|direct image binary or hotlink|page implies sales/license workflow,"Open source pages manually, collect URL/evidence fields only, then paste complete rows into the research return intake; do not fetch, download, approve, or publish.",no,,,,,,true,false,none,false,false,false,false,false,false,none_artifact_only
APSH010,APQ010,golf,LPGA Golf,operator_fill_player_or_team,LPGA / Getty,official_league_gallery,tier_1_official_league_team_portal,"Official league/team/federation/tournament pages: media galleries, recap pages, and press releases on official domains; collect page URLs and evidence only.",official_editorial_page,{player_name} LPGA swing site:lpga.com OR site:gettyimages.com,{player_name} tournament gallery swing celebration official profile,"Prefer candidate_page_url/evidence page/source page wording. If the existing return schema requires candidate_photo_url, keep it blank until a human supplies a page URL; do not paste hotlinked image files or cached binaries.","official roster/player/team page or event/game recap URL that confirms identity, team, and event context","candidate action-photo source page or gallery page URL; not a hotlinked image file, thumbnail, screenshot, or cached binary","caption, recap, gallery, event page, game sheet, roster profile, or source page that supports identity and action context",official_review_needed,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,broadcast/video stills|screenshots|hotlinked image files|image-search thumbnails|AI edits|wallpaper sites|uncredited reposts,partner-licensed imagery may still need rights review|missing caption or event context|direct image binary or hotlink|page implies sales/license workflow,"Open source pages manually, collect URL/evidence fields only, then paste complete rows into the research return intake; do not fetch, download, approve, or publish.",no,,,,,,true,false,none,false,false,false,false,false,false,none_artifact_only
