paste_worksheet_id,candidate_queue_id,sport,league_entity,target_entity_or_player,source_family,source_category,source_url_or_search_macro,paste_target,required_return_schema,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required,manual_reviewer,manual_review_status,missing_fields_before_candidate_ready,candidate_ready_for_later_human_download_decision_review,placeholder_example_cue,manual_next_action,download_approved,review_only,publish_ready,approval_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_action
APRRP001,APQ001,basketball,WNBA,operator_fill_player_or_team,Getty Images Editorial Sports,editorial_wire,{player_name} WNBA match action site:gettyimages.com,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,,not_reviewed,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,no,Use placeholders like <candidate_photo_page_url> and replace them only after manual/external research returns real URLs.,Paste the missing URL/evidence/rights/identity/action/crop fields into the return intake; keep download_approved=no.,no,true,false,none,false,false,false,none_artifact_only
APRRP002,APQ002,basketball,WNBA,operator_fill_player_or_team,WNBA official league/team galleries,official_league_gallery,{player_name} {team} site:wnba.com OR site:{team}.wnba.com photos OR gallery OR recap,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,,not_reviewed,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,no,Use placeholders like <candidate_photo_page_url> and replace them only after manual/external research returns real URLs.,Paste the missing URL/evidence/rights/identity/action/crop fields into the return intake; keep download_approved=no.,no,true,false,none,false,false,false,none_artifact_only
APRRP003,APQ003,soccer,NWSL,operator_fill_player_or_team,ISI Photos Archive,reputable_newsroom_gallery,{player_name} {club} NWSL isiphotos photoshelter action,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,,not_reviewed,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,no,Use placeholders like <candidate_photo_page_url> and replace them only after manual/external research returns real URLs.,Paste the missing URL/evidence/rights/identity/action/crop fields into the return intake; keep download_approved=no.,no,true,false,none,false,false,false,none_artifact_only
APRRP004,APQ004,soccer,USWNT / U.S. Soccer,operator_fill_player_or_team,ISI Photos / U.S. Soccer,official_federation_or_tournament,{player_name} USWNT match action ISI Photos OR ussoccer photos,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,,not_reviewed,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,no,Use placeholders like <candidate_photo_page_url> and replace them only after manual/external research returns real URLs.,Paste the missing URL/evidence/rights/identity/action/crop fields into the return intake; keep download_approved=no.,no,true,false,none,false,false,false,none_artifact_only
APRRP005,APQ005,basketball,NCAA Women Basketball,operator_fill_player_or_team,NCAA Photos / Clarkson Creative,official_federation_or_tournament,{player_name} NCAA March Madness basketball ncaaphotos photoshelter,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,,not_reviewed,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,no,Use placeholders like <candidate_photo_page_url> and replace them only after manual/external research returns real URLs.,Paste the missing URL/evidence/rights/identity/action/crop fields into the return intake; keep download_approved=no.,no,true,false,none,false,false,false,none_artifact_only
APRRP006,APQ006,softball,NCAA Women Softball,operator_fill_player_or_team,NCAA Photos / Clarkson Creative,official_federation_or_tournament,{player_name} Women College World Series softball ncaaphotos photoshelter,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,,not_reviewed,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,no,Use placeholders like <candidate_photo_page_url> and replace them only after manual/external research returns real URLs.,Paste the missing URL/evidence/rights/identity/action/crop fields into the return intake; keep download_approved=no.,no,true,false,none,false,false,false,none_artifact_only
APRRP007,APQ007,hockey,PWHL,operator_fill_player_or_team,Getty / Ice Garden / Inside the Rink,editorial_wire,{player_name} PWHL game action Getty OR Ice Garden OR Inside the Rink gallery,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,,not_reviewed,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,no,Use placeholders like <candidate_photo_page_url> and replace them only after manual/external research returns real URLs.,Paste the missing URL/evidence/rights/identity/action/crop fields into the return intake; keep download_approved=no.,no,true,false,none,false,false,false,none_artifact_only
APRRP008,APQ008,softball,AUSL / Pro Softball,operator_fill_player_or_team,Athletes Unlimited / AUSL Media Hub,official_league_gallery,{player_name} AUSL softball action site:theausl.com OR Jade Hewitt,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,,not_reviewed,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,no,Use placeholders like <candidate_photo_page_url> and replace them only after manual/external research returns real URLs.,Paste the missing URL/evidence/rights/identity/action/crop fields into the return intake; keep download_approved=no.,no,true,false,none,false,false,false,none_artifact_only
APRRP009,APQ009,tennis,WTA Tennis,operator_fill_player_or_team,WTA / Getty,official_league_gallery,{player_name} WTA match action site:wtatennis.com OR site:gettyimages.com,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,,not_reviewed,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,no,Use placeholders like <candidate_photo_page_url> and replace them only after manual/external research returns real URLs.,Paste the missing URL/evidence/rights/identity/action/crop fields into the return intake; keep download_approved=no.,no,true,false,none,false,false,false,none_artifact_only
APRRP010,APQ010,golf,LPGA Golf,operator_fill_player_or_team,LPGA / Getty,official_league_gallery,{player_name} LPGA swing site:lpga.com OR site:gettyimages.com,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required",,,,,,,,,,,yes,,not_reviewed,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,no,Use placeholders like <candidate_photo_page_url> and replace them only after manual/external research returns real URLs.,Paste the missing URL/evidence/rights/identity/action/crop fields into the return intake; keep download_approved=no.,no,true,false,none,false,false,false,none_artifact_only
