import_review_id,candidate_queue_id,source_row_number,candidate_photo_url_present,evidence_url_present,evidence_summary_present,identity_anchor_url_present,source_url_present,entity_id_present,rights_class_present,identity_confidence,identity_confidence_status,intended_review_only_use_present,missing_required_fields,research_return_data_present,action_photo_status,operator_verify_required,manual_review_status,human_intake_download_approved,candidate_ready_for_later_human_download_decision_review,candidate_review_bucket,download_gate_note,manual_next_action,download_approved,quarantine_root,review_only,publish_ready,approval_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_action
APIR001,APQ001,2,yes,yes,yes,yes,yes,yes,yes,confirmed_official,identity_ready_for_human_review,yes,,yes,candidate_action_context_present_manual_review,yes,ready_for_human_download_decision,yes,yes,human_download_approved_requires_quarantine_gate_review,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,Human intake download approval flag is marked yes; recheck quarantine gate metadata before any separate local candidate download step. This report does not download or approve assets.,no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR002,APCS114,3,yes,yes,yes,yes,yes,yes,yes,strong_context,identity_ready_for_human_review,yes,,yes,candidate_action_context_present_manual_review,yes,ready_for_human_download_decision,yes,yes,human_download_approved_requires_quarantine_gate_review,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,Human intake download approval flag is marked yes; recheck quarantine gate metadata before any separate local candidate download step. This report does not download or approve assets.,no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR003,APQ002,4,no,no,no,no,no,no,no,,identity_missing,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,candidate_url_missing,yes,not_reviewed,no,no,research_return_not_pasted_yet,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,"Paste human-reviewed candidate URL, source URL, evidence, identity anchor, rights class, identity confidence, and intended review-only use into the research return intake.",no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR004,APQ003,5,no,no,no,no,no,no,no,,identity_missing,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,candidate_url_missing,yes,not_reviewed,no,no,research_return_not_pasted_yet,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,"Paste human-reviewed candidate URL, source URL, evidence, identity anchor, rights class, identity confidence, and intended review-only use into the research return intake.",no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR005,DRM002,6,yes,yes,yes,yes,yes,yes,yes,strong_context,identity_ready_for_human_review,yes,,yes,candidate_action_context_present_manual_review,yes,not_reviewed,no,yes,ready_for_later_human_download_decision_review,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,"Review source, identity, rights, action fit, and crop/use suitability; only a later human intake edit can approve quarantine-only download review.",no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR006,APQ004,7,no,no,no,no,no,no,no,,identity_missing,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,candidate_url_missing,yes,not_reviewed,no,no,research_return_not_pasted_yet,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,"Paste human-reviewed candidate URL, source URL, evidence, identity anchor, rights class, identity confidence, and intended review-only use into the research return intake.",no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR007,APQ005,8,no,no,no,no,no,no,no,,identity_missing,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,candidate_url_missing,yes,not_reviewed,no,no,research_return_not_pasted_yet,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,"Paste human-reviewed candidate URL, source URL, evidence, identity anchor, rights class, identity confidence, and intended review-only use into the research return intake.",no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR008,APQ006,9,no,no,no,no,no,no,no,,identity_missing,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,candidate_url_missing,yes,not_reviewed,no,no,research_return_not_pasted_yet,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,"Paste human-reviewed candidate URL, source URL, evidence, identity anchor, rights class, identity confidence, and intended review-only use into the research return intake.",no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR009,APQ007,10,no,no,no,no,no,no,no,,identity_missing,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,candidate_url_missing,yes,not_reviewed,no,no,research_return_not_pasted_yet,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,"Paste human-reviewed candidate URL, source URL, evidence, identity anchor, rights class, identity confidence, and intended review-only use into the research return intake.",no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR010,APQ008,11,no,no,no,no,no,no,no,,identity_missing,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,candidate_url_missing,yes,not_reviewed,no,no,research_return_not_pasted_yet,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,"Paste human-reviewed candidate URL, source URL, evidence, identity anchor, rights class, identity confidence, and intended review-only use into the research return intake.",no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR011,APQ009,12,no,no,no,no,no,no,no,,identity_missing,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,candidate_url_missing,yes,not_reviewed,no,no,research_return_not_pasted_yet,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,"Paste human-reviewed candidate URL, source URL, evidence, identity anchor, rights class, identity confidence, and intended review-only use into the research return intake.",no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
APIR012,APQ010,13,no,no,no,no,no,no,no,,identity_missing,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,candidate_url_missing,yes,not_reviewed,no,no,research_return_not_pasted_yet,Generated import review does not download files or approve assets; any later local file must remain quarantine-only.,"Paste human-reviewed candidate URL, source URL, evidence, identity anchor, rights class, identity confidence, and intended review-only use into the research return intake.",no,data/assets/quarantine/review_only_candidates,true,false,none,false,false,false,none_artifact_only
