script_version,editorial_decision,editorial_score,priority_score,source_quality,source_tier,eligibility_passed,eligibility_reason,recommended_timing,decision_reason,score_reason,freshness_component,story_value_component,brand_fit_component,engagement_component,source_component,penalty_component,content_bucket,content_lane,sport,story_type,source,title,published,age_hours,link,post_format,hook,first_slide,carousel_outline,instagram_angle,why_it_matters,caption_starter,visual_brief,hashtags,primary_entity,cluster_id,cluster_rank,related_story_count,duplicate_status,verification_needed,sensitive,time_sensitive,categories,summary
v11_final,Must Post,79,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Post ASAP,"High-score, timely, verified hard-news story.",Championship or major result. Fresh under 12 hours. Strong secondary sport: Tennis. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,12,40,10,4,13,0,Tonight / Game Coverage,Game coverage,Tennis,Game Recap / Result,WTA Tennis,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",2026-06-13T09:48:23+00:00,11.0,https://news.google.com/rss/articles/CBMitwFBVV95cUxPbXUtY0FsX1VUd3JSQUFoTV9oQm1UX3RjMFdwREVZaVdsb2lVUmZWSmc1VmMwVm5XMU5MU3FWbm5xU2lEbDYzN09STDJyYmdzejhPR2cySW9GcHJqMF80QklwcHVRUXltUVBEZUFlem9LR1kxYmVFZWRvS2JjTHA3SnhQTlcyMWtCbnNNUW1qYmNmVEtheG5Ma0VpbndhZlQxOHJRdS1DQ3ppSy12OElNeTV2bE9BODA?oc=5,Breaking graphic + carousel,Here is the quick version of what happened and why it matters.,"Quick recap: Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Tennis fans.",This is timely Tennis coverage with a result fans may want explained quickly.,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan Here is the quick breakdown and why it matters.","Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,,tennis::gauff_wins_career_wta_1000_title_ends_pegula's,1,1,Primary,No,No,Yes,,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan WTA Tennis"
v11_final,Verify First,77,8,6,Other,Yes,Passed: clear women's sports signal.,Verify first,Needs stronger confirmation before posting.,"Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",12,35,14,8,8,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Hawkeyes Wire,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,2026-06-13T11:45:24+00:00,9.1,https://sports.yahoo.com/articles/caitlin-clark-ties-tamika-catchings-114524048.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Caitlin Clark,wnba::caitlin_clark_records,1,1,Primary,Yes,No,No,"college, sports",Caitlin Clark tied an Indiana Fever franchise record alongside the legendary Tamika Catchings.
v11_final,Must Post,76,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Post ASAP,"High-score, timely, verified hard-news story.","Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 9/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",7,35,14,8,12,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,CBS Sports,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",2026-06-12T04:36:00+00:00,40.2,https://news.google.com/rss/articles/CBMizwFBVV95cUxNSWxYTk93VkhjS0NuanJEVUJzU0pvdmhtTTRHWW03M3VLREo2bFNYaGZyLVBOZDB3SjJ0aGN4LVAxbWNNWENlc3MwUlMtd0s2dGxxUk1va1JvNE1wa3hoa3otcS1PWk5wUEFYTjZGZWtfang3dWExVm9OZ1NBZmE1ZGxCY25reEpFVmZoUlYzMEZJVWJEX3hCd1JDWjl2eDBLVDZLeEYzTmxNWWtLeDFQT2VaN0JXaThXbEtzU0dzbFZzaDNaNjNCVEhrWHJpMm8?oc=5,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,"Milestone watch: A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89 What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,A'Ja Wilson,wnba::aja_wilson,1,7,Primary,No,No,No,,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89 CBS Sports"
v11_final,Skip Duplicate,76,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Post ASAP,Another stronger version of this topic already exists.,"Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",7,35,14,10,10,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Just Women's Sports,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,2026-06-12T17:33:47+00:00,27.3,https://justwomenssports.com/reads/aces-vs-fire-chelsea-gray-2026-wnba-commissioners-cup-game-scores/,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,A'Ja Wilson,wnba::aja_wilson,2,7,Duplicate / alternate angle,No,No,No,"Basketball, News, WNBA, 2026 WNBA Commissioner's Cup, 2026 WNBA season, A'ja Wilson, Chelsea Gray, Las Vegas Aces, Portland Fire",Chelsea Gray tied the WNBA's 3-point record while A'ja Wilson dropped 32 points as the Las Vegas Aces dominated the Portland Fire. The post Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win appeared first on Just Women's Sports .
v11_final,Must Post,76,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Post ASAP,"High-score, timely, verified hard-news story.","Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",7,35,14,10,10,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Just Women's Sports,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",2026-06-12T16:36:37+00:00,28.2,https://justwomenssports.com/reads/sky-vs-fever-wnba-commissioners-cup-2026-aliyah-boston-sydney-taylor/,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,"Milestone watch: Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Caitlin Clark,wnba::caitlin clark,1,30,Primary,No,No,No,"Basketball, News, WNBA, 2026 WNBA Commissioner's Cup, 2026 WNBA season, Aliyah Boston, Caitlin Clark, Chicago Sky, Indiana Fever, Sydney Taylor","Sydney Taylor scored a historic 30 points, but the Chicago Sky fell to Aliyah Boston, Caitlin Clark, and the Indiana Fever in overtime. The post Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller appeared first on Just Women's Sports ."
v11_final,Maybe Post,75,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Use when convenient,"Strong candidate, but not mandatory.","Record or milestone. Recent under 72 hours. Strong secondary sport: Track & Field. Source quality 10/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",7,35,10,10,13,0,Star Watch,Star-driven engagement,Track & Field,Record / Milestone,NCAA.com,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,2026-06-12T15:14:55+00:00,29.6,https://news.google.com/rss/articles/CBMi0AFBVV95cUxObnBtV1YxcUxLd1F0dlhTUm90TERMcDF4VVdFWndwcE5KU1hlWnEzbTI1SndxdUxpX2hHNHk3b3otZ2Vvb1ZuTHJoX1lXaXZzb3l4OWE3TkxTcjh5T2xTbDdma3BDRk0ycGF1dG42cmlLckRJVnVST2pqYWRhSm5uOERMMVhhQThqMnpubkhQc3hVZngzRFlZVTN3aXgtX0d0bG9GMTMyMEVRSlZfR0lvZFF1X2lLeG5PdWM3SEdmOTNXbEFzUTQtSmx3OHN2VUY0?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #TrackAndField,Sha'Carri Richardson,track & field::sha'carri richardson,1,1,Primary,No,No,No,,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record NCAA.com
v11_final,Skip Duplicate,74,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Use when convenient,Another stronger version of this topic already exists.,Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 9/10. Engagement: major athlete. Penalties: no major penalties.,7,35,14,6,12,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Yahoo Sports,Is A'ja Wilson already the greatest WNBA player of all-time?,2026-06-11T21:53:26+00:00,46.9,https://news.google.com/rss/articles/CBMipwFBVV95cUxNb1NtcWdGeDBwWGVvM1lxekFPQlhzSkNrSUd5cWRUaHR5VXp4dFI3WXdiXzk2YndPQXJ3OU54NXBGUTFDOTBKM0FaOHBxMlFmNTRNODR6MlVqQmVRRVBncXI0UEd4WW1KdlFuYnNMMTlFX19qUzVFaTQxTGVQelRlT0ZLeVRSbnpHckRwdWZ2SEJvYnpMNzkxbXVfaXZwaXNhTmtHNlNFdw?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Is A'ja Wilson already the greatest WNBA player of all-time?,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Is A'ja Wilson already the greatest WNBA player of all-time? What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,A'Ja Wilson,wnba::aja_wilson,3,7,Duplicate / alternate angle,No,No,No,,Is A'ja Wilson already the greatest WNBA player of all-time? Yahoo Sports
v11_final,Skip Duplicate,72,8,6,Other,Yes,Passed: clear women's sports signal.,Verify first,Another stronger version of this topic already exists.,"Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",7,35,14,8,8,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Hawkeyes Wire,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",2026-06-11T00:40:48+00:00,68.1,https://news.google.com/rss/articles/CBMi-gFBVV95cUxOOFlhZXpZUW8taUJ6Y25tZHBMYnByTlJ3YW9MMTlsb012SlFORUtGZ2ZSLXBMSXBVSHg1Q1FRdnBFQUs1QlJGcnVkSDFod0JSYU9DenBOTTg5S1F6blZzTkZDZEpnRXlldjM1ODhzekNnZ21EYnE1Y1hPOUUyajZsVkNYTWNGXzB5VUctNXhqY2NZRTViOENPNGVuYUZJbDQ2RWhmMURRdmlRMW10bUJfQnBIdXhxVHZBZXZ1ejZUMmdsS0FDRVRsSXV3QksyS3V2MG91TUtTbGpkMkJoMkdwS19oM2s1VmFYNGpaLTMzYjJLNm8zZ0dfeGpR?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,"Milestone watch: Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Caitlin Clark,wnba::caitlin clark,2,30,Duplicate / alternate angle,Yes,No,No,,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty Hawkeyes Wire"
v11_final,Maybe Post,71,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Use when convenient,"Strong candidate, but not mandatory.",Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,7,35,14,2,13,0,Daily News,Daily news,WNBA,Record / Milestone,Las Vegas Aces | WNBA,GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89,2026-06-12T06:11:32+00:00,38.6,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQc3hFZ3NCTlQ0cWZiQUlYSkI5SFNjQllpTXA4dXhnRlpzWjBDRFUtek5QYTdvYVk0cElNREdWZTM1U21YLVFMLV9Cb3ZkcWttZEtMQ3B3dVBiRlBkQ1JRRC1zdk16Ti1PSVJSNGdFMUVaNXJTUGdxM0xjSXVNakZLZ195LVdxRFA4NlZhaUNxc1hqSjNLOUc2LUt3NnZaSzk4el9MS3I4eGstZw?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89 What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Las Vegas Aces,wnba::las vegas aces,1,11,Primary,No,No,No,,GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89 Las Vegas Aces | WNBA
v11_final,Skip,71,8,6,Other,Yes,Passed: clear women's sports signal.,Use when convenient,Needs verification and score is not high enough.,Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: high-interest keyword. Penalties: no major penalties.,12,35,14,2,8,0,Daily News,Daily news,WNBA,Record / Milestone,Dallas Wings,Wings Visit Fire for First-Ever Meeting,2026-06-13T15:43:03+00:00,5.1,https://news.google.com/rss/articles/CBMidkFVX3lxTE5tV1RVa1RhWTJ3MVNHNlF1NkY4LTBwNVBQcVhSN1Vyd3daWGtCZXdHMnNmZVd3eGZKV1lSak53cUNTdFhmanQwM0twLVVkQ0Zjb0I4Skl4Q3djWlFoUW55N1N2ajhVTndmS2hYZU5Ma1FhMWY2VVE?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Wings Visit Fire for First-Ever Meeting,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Wings Visit Fire for First-Ever Meeting What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Dallas Wings,wnba::dallas wings,1,4,Primary,Yes,No,No,,Wings Visit Fire for First-Ever Meeting Dallas Wings
