source_priority_rank,source_review_bucket,source_candidate_level,research_lane,scope_id,league_id,league_name,team_id,team_name,player_name,issue_type,operator_action,source_priority,official_status,confidence,operator_verify_required,source_domain,source_candidate_url,linked_queue_bucket,linked_first_action_bucket,linked_missing_local_candidate_rows,render_readiness,safe_next_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,angel_city_fc,Angel City FC,Kennedy Fuller,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,bayfc.com,https://bayfc.com/press-releases/bay-fc-acquire-midfielder-kennedy-fuller-from-angel-city-fc-20260612/,p0_nwsl_roster_verification_first,1_roster_verification,26,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,angel_city_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
2,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,angel_city_fc,Angel City FC,Maithé López,missing_player_profile_candidate,add_candidate_metadata,P0,official_team,high,yes,angelcity.com,https://angelcity.com/acfc-post/angel-city-football-club-loans-forward-maithe-lopez-to-vancouver-rise-fc,p0_nwsl_roster_verification_first,1_roster_verification,26,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,angel_city_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
3,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,angel_city_fc,Angel City FC,Rajanah Reed,expired_replacement_player_candidate,hold_candidate_for_review,P0,official_team,high,yes,angelcity.com,https://angelcity.com/acfc-post/angel-city-signs-forward-rajanah-reed,p0_nwsl_roster_verification_first,1_roster_verification,26,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,angel_city_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
4,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,boston_legacy_fc_chicago_stars_fc,Boston Legacy FC / Chicago Stars FC,Sam Cary Angel,loan_duplicate_needs_status_metadata,add_loan_status_metadata,P0,official_team,high,yes,bostonlegacyfc.com,https://bostonlegacyfc.com/blogs/press/boston-legacy-fc-samantha-angel-loan-chicago-stars,,,,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,boston_legacy_fc_chicago_stars_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
5,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,denver_summit_fc,Denver Summit FC,Jordan Baggett,stale_player_candidate,hold_candidate_for_review,P0,official_team,medium,yes,www.denversummitfc.com,https://www.denversummitfc.com/roster/,p0_nwsl_roster_verification_first,1_roster_verification,26,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,denver_summit_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
6,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,denver_summit_fc,Denver Summit FC,Lindsey Heaps,missing_player_profile_candidate,add_candidate_metadata,P0,official_team,high,yes,www.denversummitfc.com,https://www.denversummitfc.com/roster/,p0_nwsl_roster_verification_first,1_roster_verification,26,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,denver_summit_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
7,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,gotham_fc,Gotham FC,Lilly Reale,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,www.gothamfc.com,https://www.gothamfc.com/news/gotham-fc-trades-defender-lilly-reale-to-boston-legacy-fc,p0_nwsl_roster_verification_first,1_roster_verification,27,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,gotham_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
8,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,houston_dash,Houston Dash,Christen Westphal,stale_player_candidate,hold_candidate_for_review,P0,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/news/houston-dash-host-north-carolina-courage-for-kids-night,p0_nwsl_roster_verification_first,1_roster_verification,28,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,houston_dash,,,,,,true,false,false,false,false,false,false,false,false,false,false
9,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,houston_dash,Houston Dash,Delanie Sheehan,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,www.denversummitfc.com,https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,p0_nwsl_roster_verification_first,1_roster_verification,28,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,houston_dash,,,,,,true,false,false,false,false,false,false,false,false,false,false
10,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,houston_dash,Houston Dash,Natalie Bain,missing_player_profile_candidate,add_candidate_metadata,P0,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,p0_nwsl_roster_verification_first,1_roster_verification,28,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,houston_dash,,,,,,true,false,false,false,false,false,false,false,false,false,false
11,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,houston_dash,Houston Dash,Yazmeen Ryan,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,www.denversummitfc.com,https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,p0_nwsl_roster_verification_first,1_roster_verification,28,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,houston_dash,,,,,,true,false,false,false,false,false,false,false,false,false,false
12,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,kansas_city_current,Kansas City Current,Ally Sentnor,stale_team_assignment_duplicate_identity,reconcile_duplicate_identity,P0,official_team,high,yes,angelcity.com,https://angelcity.com/acfc-post/acfc-signs-uswnt-midfielder-ally-sentnor-trade-with-kansas-city-current,p0_nwsl_roster_verification_first,1_roster_verification,31,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,kansas_city_current,,,,,,true,false,false,false,false,false,false,false,false,false,false
13,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,portland_thorns_fc_utah_royals_fc,Portland Thorns FC / Utah Royals FC,Alexa Spaanstra,loan_duplicate_needs_status_metadata,add_loan_status_metadata,P0,official_team,high,yes,www.thorns.com,https://www.thorns.com/news/forward-alexa-spaanstra-loaned-to-utah-royals-fc,,,,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,portland_thorns_fc_utah_royals_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
14,1_nwsl_p0_roster_source_check,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,san_diego_wave_fc,San Diego Wave FC,Sandra Paños,missing_player_profile_candidate,add_candidate_metadata,P0,official_team,high,yes,sandiegowavefc.com,https://sandiegowavefc.com/roster/,p0_nwsl_roster_verification_first,1_roster_verification,25,not_render_ready_review_only,Open the official NWSL/team source page and verify current roster metadata only; no candidate-state writeback.,no,,san_diego_wave_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
15,2_gray_area_or_reputable_manual_verify,gray_area_manual_verify,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,gotham_fc,Gotham FC,Sam Kerr,gray_area_public_backup_candidate,park_gray_area_lead_for_manual_verification,P3,non_official_reputable_media,low,yes,www.reuters.com,https://www.reuters.com/sports/soccer/reports-gotham-fc-set-reunion-with-f-sam-kerr--flm-2026-06-17/,p0_nwsl_roster_verification_first,1_roster_verification,27,not_render_ready_review_only,Park as a manual source lead until an official roster/profile page confirms it; do not treat it as official.,no,,gotham_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
16,2_gray_area_or_reputable_manual_verify,gray_area_manual_verify,europe_official_source_map,europe_top_flight,wsl_england,Women's Super League,all_teams_backup,ALL_TEAMS_BACKUP,,official_source_map,source_metadata_review_only,P2_NON_OFFICIAL_LEAGUE_BACKUP,non_official_public_database,medium,yes,soccerdonna.de,https://www.soccerdonna.de/en/womens-super-league/startseite/wettbewerb_ENG1.html,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,12,not_render_ready_source_candidate_only,Park as a manual source lead until an official roster/profile page confirms it; do not treat it as official.,no,,all_teams_backup,,,,,,true,false,false,false,false,false,false,false,false,false,false
