sport,league_or_entity,source_priority,source_category,source_name,source_url_or_search_macro,source_domain,evidence_use,rights_review_note,identity_anchor_use,allowed_for_download_approved_yes,manual_next_action,review_only,publish_ready
basketball,WNBA,P0_official_league,official_league_gallery,WNBA official site,"""[athlete] [team] site:wnba.com gallery OR recap OR photos""",wnba.com,event recap/gallery lead; current team/date context; caption clues,official_review_needed; official surface is not publish-ready rights,"cross-check WNBA player profile, team roster, jersey, and box score context",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
basketball,WNBA teams,P0_official_team,official_team_gallery,WNBA team sites,"""[athlete] [team] site:[team].wnba.com gallery OR recap""",team.wnba.com,team-owned game gallery/recap lead; player/team/event context,official_review_needed; verify any partner photo credit,team roster plus event recap and visible number/uniform,false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
multi-sport,official player pages / rosters,P0_identity_anchor,verification_only_player_page,"official player profile, roster, stats page, or media guide","""[athlete] [team] official roster player profile media guide""",operator_fill_required,"identity anchor only; roster status, jersey, position, team, and season context",verification_only; do not treat roster portraits as action-photo candidates,use as the official corroboration URL before promoting an action-photo lead,false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
soccer,NWSL,P0_official_league,official_league_gallery,NWSL official site,"""[athlete] [club] site:nwslsoccer.com photos OR gallery OR recap""",nwslsoccer.com,match recap/gallery lead; league/team/date context,official_review_needed; check partner photography credits,"NWSL roster/player page, club roster, match report, jersey context",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
soccer,NWSL clubs,P0_official_team,official_team_gallery,NWSL club sites,"""[athlete] [club] site:[club-domain] gallery OR recap OR photos""",operator_fill_required,club gallery/recap source lead; current club and match context,official_review_needed; respect club/media credential limits,"club roster, NWSL player page, match lineup, visible number",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
soccer,USWNT,P0_official_federation,official_federation_or_tournament,U.S. Soccer official site,"""[athlete] USWNT site:ussoccer.com gallery OR photos OR recap""",ussoccer.com,national-team event lead; competition/date/caption context,official_review_needed; federation content still needs rights review,"USWNT roster/player page, match report, uniform/number context",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
college basketball,NCAA women's basketball,P0_official_tournament_or_school,official_federation_or_tournament,NCAA and school athletics sites,"""[athlete] [school] women basketball gallery OR recap site:ncaa.com OR site:[school-athletics-domain]""",ncaa.com|school-athletics-domain,school/NCAA gallery lead; game/tournament context and roster proof,official_review_needed; NCAA/school event photography rights remain restricted,"school roster, NCAA stats, jersey number, event box score",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
college soccer,NCAA women's soccer,P0_official_school_or_tournament,official_federation_or_tournament,NCAA and school athletics sites,"""[athlete] [school] women soccer gallery OR recap site:ncaa.com OR site:[school-athletics-domain]""",ncaa.com|school-athletics-domain,school/NCAA action lead; match/date/roster context,official_review_needed; confirm school or NCAA rights notes,"school roster, match recap, jersey number, opponent context",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
softball,NCAA softball,P0_official_school_or_tournament,official_federation_or_tournament,NCAA and school athletics sites,"""[athlete] [school] softball gallery OR recap site:ncaa.com OR site:[school-athletics-domain]""",ncaa.com|school-athletics-domain,game/championship gallery lead; batting/fielding action context,official_review_needed; championship/school imagery is not auto-cleared,"school roster, number, position, game recap, opponent",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
softball,pro softball / Athletes Unlimited,P1_official_or_reputable,official_league_gallery,Pro softball league/operator sites,"""[athlete] softball gallery OR recap site:auprosports.com OR site:[league-domain]""",auprosports.com|league-domain,pro softball action lead; current event and team/session context,official_review_needed; verify league/operator photo terms,"league roster/profile, event page, jersey/context clues",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
tennis,WTA / Grand Slam / tournament,P0_official_tournament,official_federation_or_tournament,WTA and tournament sites,"""[athlete] site:wtatennis.com OR site:[tournament-domain] photos OR gallery""",wtatennis.com|tournament-domain,tournament gallery/recap lead; match/date/action context,official_review_needed or official_partner_licensed_manual_review if credited partner imagery,"WTA profile, draw/match page, tournament caption",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
golf,LPGA / tournament,P0_official_tournament,official_federation_or_tournament,LPGA and tournament sites,"""[athlete] site:lpga.com OR site:[tournament-domain] photos OR gallery""",lpga.com|tournament-domain,tournament/article photo lead; round/date/context clues,official_review_needed; partner photo credits may be rights-sensitive,"LPGA player profile, tournament leaderboard, caption/context",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
hockey,PWHL,P0_official_league_or_team,official_league_gallery,PWHL official and team sites,"""[athlete] PWHL [team] gallery OR recap site:thepwhl.com""",thepwhl.com,league/team game gallery lead; player/team/date context,official_review_needed; check league/team image terms and credit,"PWHL roster/profile, game recap, jersey number",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
hockey,NCAA women's hockey,P0_official_school_or_tournament,official_federation_or_tournament,NCAA and school athletics sites,"""[athlete] [school] women hockey gallery OR recap site:ncaa.com OR site:[school-athletics-domain]""",ncaa.com|school-athletics-domain,school/NCAA hockey action lead; game/date/context,official_review_needed; school/NCAA photo rights remain separate,"school roster, game recap, jersey number, position",false,"Paste URL-only research leads into this board, then promote only verified page metadata into the action-photo intake; do not download images or mark anything approved.",true,false
