script_version,rank,editorial_decision,recommended_timing,editorial_score,priority_score,source_quality,source_tier,eligibility_passed,eligibility_reason,time_sensitive,verification_needed,sensitive,duplicate_status,related_story_count,cluster_rank,cluster_id,primary_entity,content_lane,content_bucket,sport,story_type,source,headline,link,post_format,hook,first_slide,carousel_outline,instagram_angle,why_it_matters,caption_starter,visual_brief,hashtags,published,age_hours,decision_reason,score_reason,notes
v11_final,1,Verify First,Verify first,79,8,6,Other,Yes,Passed: clear women's sports signal.,No,Yes,No,Primary,3,1,wnba::angel reese,Angel Reese,Star-driven engagement,Star Watch,WNBA,Record / Milestone,Hardwood Heroics,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,https://sports.yahoo.com/articles/momentum-changer-angel-reese-earns-132809579.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: “It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-06T13:28:09+00:00,6.9,Needs stronger confirmation before posting.,"Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,2,Must Post,Post ASAP,77,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,4,1,wnba::aja_wilson,A'Ja Wilson,Star-driven engagement,Star Watch,WNBA,Record / Milestone,Las Vegas Aces | WNBA,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,https://news.google.com/rss/articles/CBMisgFBVV95cUxOQm1lTklnZlhXNFhYME91UWtLMDM1UlVkbE1hR1FUOXNZcjFNd3hiYll6dkVVNWowMEJvVGV3ZnU0SGtMVHNmOWxSOUt3ZllzcHAxMnZwZG9WRWdBa0VTV2Fia0dUN0lManFCUzVTUXdRUjR3SXNHcFQtZnZyeVFqUDVUM1pLUm5ESmZscFJsZnVnNkRpbjRvZ1pHX1V4dFlrc1pRV001TUtsQklYdXhLOVZB?oc=5,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-03T22:33:07+00:00,69.8,"High-score, timely, verified hard-news story.","Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 10/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,3,Verify First,Verify first,77,8,6,Other,Yes,Passed: clear women's sports signal.,No,Yes,No,Primary,3,1,wnba::caitlin_clark_records,Caitlin Clark,Star-driven engagement,Star Watch,WNBA,Record / Milestone,Hardwood Heroics,“Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record,https://sports.yahoo.com/articles/caitlin-took-always-ownership-stephanie-123054368.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: “Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,“Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-06T12:30:54+00:00,7.8,Needs stronger confirmation before posting.,"Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,4,Maybe Post,Use when convenient,72,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,No,No,No,Primary,62,1,softball::texas_wcws_title,Reese Atwood,Star-driven engagement,Star Watch,Softball,Record / Milestone,Just Women's Sports,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,https://justwomenssports.com/reads/texas-softball-reese-atwood-wcws-championship-ausl-2026/,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS,2026-06-05T19:55:08+00:00,24.4,"Strong candidate, but not mandatory.","Record or milestone. Recent under 72 hours. Strong secondary sport: Softball. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,5,Maybe Post,Use when convenient,70,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,11,1,women's sports::mirra andreeva,Mirra Andreeva,Star-driven engagement,Star Watch,Women's Sports,Record / Milestone,Yahoo Sports,Mirra Andreeva becomes youngest Roland Garros women’s champion since Monica Seles,https://news.google.com/rss/articles/CBMikAFBVV95cUxQM0tLSHlGM0p4RE5LR0JRWlo0YUFKcVFsOS1EYjNJRTJ6NF9aVXMxbXM3SkhQWjl3VjBPX2dLZGZ1QjBIMzhfcnUxMzVTa3pnaDMyU0p6bVEtZE9laGE2SFlIS1pmcmdpMGxfQ3puSG1kbEhsNTBuX0Z0ck9rMUJIRFVCNXdmMUNYMHVFUEZSS0I?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Mirra Andreeva becomes youngest Roland Garros women’s champion since Monica Seles,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Mirra Andreeva becomes youngest Roland Garros women’s champion since Monica Seles What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews,2026-06-06T16:05:14+00:00,4.2,"Strong candidate, but not mandatory.",Record or milestone. Fresh under 12 hours. General women's sports fit. Source quality 9/10. Engagement: major athlete. Penalties: no major penalties.,
v11_final,6,Maybe Post,Post within 2 hours if still fresh,69,7,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,3,1,softball::saint_leo_softball_title,,Game coverage,Tonight / Game Coverage,Softball,Game Recap / Result,NCAA.com,Saint Leo wins 2026 NCAA DII softball championship,https://news.google.com/rss/articles/CBMipwFBVV95cUxNYW50N0xZMlBsaWVzTlZ5OVR4dmgxU3dkMVp6YlI5eGJfejVza2VLdlhmUGJyMk1oMGJUazFTMFo5dUxXNTFxNGpFM21OSWhCRXNjMUVuVlJzQ05Iekk0MlIzUzRJWk15MEN4SG9lTmtGOG8tdnEzaGRaSnU1NFdXZWw3UFJqUHBvcUJxQnhycXNWTjh0a213ZzFWZE90aFFPV2pUbGM1VQ?oc=5,Story post,Here is the quick version of what happened and why it matters.,Quick recap: Saint Leo wins 2026 NCAA DII softball championship,Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Softball fans.",This is timely Softball coverage with a result fans may want explained quickly.,Saint Leo wins 2026 NCAA DII softball championship Here is the quick breakdown and why it matters.,"Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS,2026-06-05T02:46:14+00:00,41.6,"Strong candidate, but not mandatory.",Championship or major result. Aging under 48 hours. Strong secondary sport: Softball. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,7,Save for Weekend,Save for weekend or filler slot,64,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,ncaa women's basketball::notre_dame_women's_basketball_hires_former_assistant_coach,,College spotlight,College Spotlight,NCAA Women's Basketball,Breaking / Transaction,Yahoo Sports,Notre Dame Women’s basketball hires former player as assistant coach,https://news.google.com/rss/articles/CBMiigFBVV95cUxPOGxiTENSeGtPd2tBX2x4aFdOOVVvRUJ2anlTdWtvQ1BWbTFQeGdFd1ZkcWtrN0JwV3h1ZHU1X2ZZM25nOWc4d0ZFTkxyb0JMYlozMDRQQzZBb1N0VGlwbW5CbEwwZWtlYmJ6YkIwOHFBcFBKR3hwXzcwZmt6bnc3Vm4yOE1Pa1V4MlE?oc=5,Story post,Notre Dame Women’s basketball hires former player as assistant coach,Notre Dame Women’s basketball hires former player as assistant coach,Slide 1: headline | Slide 2: context | Slide 3: why it matters | Slide 4: audience question,Quick hit: Notre Dame Women’s basketball hires former player as assistant coach,"This is a useful update, but it should be weighed against stronger stories.",Notre Dame Women’s basketball hires former player as assistant coach What should we cover next?,"Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball,2026-06-06T11:02:53+00:00,9.3,Useful but not urgent.,Confirmed breaking or transaction story. Fresh under 12 hours. Core brand sport: NCAA Women's Basketball. Source quality 9/10. Engagement: normal interest. Penalties: no major penalties.,
v11_final,8,Save for Weekend,Save for weekend or filler slot,63,7,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,tennis::match_replay_undefeated_clay_streak_yields_milestone_marta,,Daily news,Daily News,Tennis,Record / Milestone,WTA Tennis,Full match replay: Undefeated clay streak yields a milestone for Marta Kostyuk,https://news.google.com/rss/articles/CBMiugFBVV95cUxOcmJaQU4za1FvYS1WRGV0SGZIZVItZ0dTNEcxUlctb1c3b01hVFBPTFhvM3RwejBsOTAyem5fYmFCcmZ4ZjRMbkwzeThITnNZS0VuWVA5aFNaZjVjWGN0bHJpMGZaN25zZkU2enFwSnBselFyR3ZtZFBvQ3NPZXBVSm1vQlVTNDQzVXNhT1lWanJEQmZYVGg2SmhJdGlUZVhlZU1vbFMzcktpVXhFbkowOGRpTzVPaFZlQnc?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Full match replay: Undefeated clay streak yields a milestone for Marta Kostyuk,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Full match replay: Undefeated clay streak yields a milestone for Marta Kostyuk What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,2026-06-01T17:47:35+00:00,122.5,Useful but not urgent.,Record or milestone. Still usable this week. Strong secondary sport: Tennis. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,9,Save for Weekend,Post during daytime engagement window,61,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,66,1,golf::us_womens_open,U.S. Women'S Open,Growth of the game,Growth of the Game,Golf / LPGA,Business / Growth,Yahoo Sports,U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million,https://news.google.com/rss/articles/CBMifkFVX3lxTE9iN1dEVTNVUzVTaktXVHNpaUNGTmczbF9wc3dmREJkdjlMVW9LUTE3bWpIclUxNjVqWmIzeXpZNUwwc3FXTnZtWFo2QVZCWjFZOXhNMXNPalAySURmWk1jY0U3TTNReVNreHdGdmtrZE42VWIyQnZYSEN5ZXZ4QQ?oc=5,Data carousel,Women's sports are becoming impossible for the business world to ignore.,The business of women's sports keeps growing: U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million,Slide 1: headline stat | Slide 2: what changed | Slide 3: why it matters | Slide 4: what comes next,The business of women's sports is not emerging anymore. It is becoming big business.,This helps show the business momentum behind women's sports.,U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million The growth of women's sports keeps getting harder to ignore.,Use a clean data carousel with bold numbers and simple context.,#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf,2026-06-05T00:22:00+00:00,44.0,Useful but not urgent.,Business/growth story. Recent under 72 hours. Strong secondary sport: Golf / LPGA. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,10,Save for Weekend,Post during daytime engagement window,60,6,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,tennis::queen's_club_411_dates_who's_playing_prize_money,,Growth of the game,Growth of the Game,Tennis,Business / Growth,WTA Tennis,"Queen's Club 411: Dates, who's playing, prize money and more",https://news.google.com/rss/articles/CBMisgFBVV95cUxNT1RkU1kyWG1YeHFzNXBxUWNtVmV4dTZSRWlfZzlua1lxN3BvUEFIdjRkWU11TjNNYWRGNWtVTVoyVlJySkd1ZXRpNU9IT05WR2NXVHc5ektkSXFCTk1xUDUtSkFlNEpxcy1VNGhzTGpkUXdKU3U4WU00cFN6U2tPTm1aZENadmRmd2VONExoeDIwbjJ4M3VJblJnYlUzbUIxR2hUZmFuaGNuSTlBQTl0cjZB?oc=5,Data carousel,Women's sports are becoming impossible for the business world to ignore.,"The business of women's sports keeps growing: Queen's Club 411: Dates, who's playing, prize money and more",Slide 1: headline stat | Slide 2: what changed | Slide 3: why it matters | Slide 4: what comes next,The business of women's sports is not emerging anymore. It is becoming big business.,This helps show the business momentum behind women's sports.,"Queen's Club 411: Dates, who's playing, prize money and more The growth of women's sports keeps getting harder to ignore.",Use a clean data carousel with bold numbers and simple context.,#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,2026-06-05T13:50:48+00:00,30.5,Useful but not urgent.,Business/growth story. Recent under 72 hours. Strong secondary sport: Tennis. Source quality 10/10. Engagement: normal interest. Penalties: no major penalties.,
