rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,Texas wins second straight Women's College World Series title | FINAL OUT,Postgame Recap Template,Texas wins second straight Women's College World Series title | FINAL,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,1,Hook,Texas wins second straight Women's College World,The story you need to know.
1,Texas wins second straight Women's College World Series title | FINAL OUT,Postgame Recap Template,Texas wins second straight Women's College World Series title | FINAL,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,2,Context,What happened,This is timely Softball coverage with a result fans may want explained quickly.
1,Texas wins second straight Women's College World Series title | FINAL OUT,Postgame Recap Template,Texas wins second straight Women's College World Series title | FINAL,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Softball fans."
1,Texas wins second straight Women's College World Series title | FINAL OUT,Postgame Recap Template,Texas wins second straight Women's College World Series title | FINAL,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,4,CTA,Your take on this Softball story?,Follow Her Sports Daily for more.
2,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Postgame Recap Template,"Nelly Korda wins U.S. Women's Open title with perilous final putt,","What happened, who stood out, and why it matters for Golf / LPGA fans.",More LPGA coverage daily,1,Hook,Nelly Korda wins U.S. Women's Open title with perilous,The story you need to know.
2,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Postgame Recap Template,"Nelly Korda wins U.S. Women's Open title with perilous final putt,","What happened, who stood out, and why it matters for Golf / LPGA fans.",More LPGA coverage daily,2,Context,What happened,This is timely Golf / LPGA coverage with a result fans may want explained quickly.
2,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Postgame Recap Template,"Nelly Korda wins U.S. Women's Open title with perilous final putt,","What happened, who stood out, and why it matters for Golf / LPGA fans.",More LPGA coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Golf / LPGA fans."
2,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Postgame Recap Template,"Nelly Korda wins U.S. Women's Open title with perilous final putt,","What happened, who stood out, and why it matters for Golf / LPGA fans.",More LPGA coverage daily,4,CTA,Your take on this Golf / LPGA story?,Follow Her Sports Daily for more.
3,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Milestone Graphic Template,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,1,Hook,Mirra Andreeva Becomes Youngest French Open Women’s,The story you need to know.
3,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Milestone Graphic Template,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
