decision_packet_id,decision_packet_title,team_id,team_name,issue_type,issue_summary,source_url,registered_path,source_target_path,primary_action,hold_cue,revise_cue,renderer_fallback_cue,allowed_decisions,review_only,publish_ready,auto_approval,auto_publish,move_files,paid_apis,asset_downloads
asset_logo_review_atlanta_dream_unapproved_required_team_logo,WNBA logo review: Atlanta Dream - unapproved required team logo,atlanta_dream,Atlanta Dream,unapproved_required_team_logo,atlanta_dream: local required logo exists but is not approved; human review required before enabling,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Atlanta_Dream_logo.svg/250px-Atlanta_Dream_logo.svg.png,assets/leagues/wnba/teams/atlanta_dream/logo.png,assets/leagues/wnba/teams/atlanta_dream/logo.png,Review the required local team logo at assets/leagues/wnba/teams/atlanta_dream/logo.png against source evidence; only a human operator may mark it approved.,Hold WNBA templates that require the exact logo until the local file and source evidence are manually approved.,"Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_washington_mystics_unapproved_required_team_logo,WNBA logo review: Washington Mystics - unapproved required team logo,washington_mystics,Washington Mystics,unapproved_required_team_logo,washington_mystics: local required logo exists but is not approved; human review required before enabling,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Washington_Mystics_logo.svg/250px-Washington_Mystics_logo.svg.png,assets/leagues/wnba/teams/washington_mystics/logo.png,assets/leagues/wnba/teams/washington_mystics/logo.png,Review the required local team logo at assets/leagues/wnba/teams/washington_mystics/logo.png against source evidence; only a human operator may mark it approved.,Hold WNBA templates that require the exact logo until the local file and source evidence are manually approved.,"Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_chicago_sky_source_target_path_registered_path_drift,WNBA logo review: Chicago Sky - source target path registered path drift,chicago_sky,Chicago Sky,source_target_path_registered_path_drift,chicago_sky: source target_path differs from registered local logo path: source=assets/leagues/wnba/teams/chicago_sky/logo.svg registry=assets/leagues/wnba/teams/chicago_sky/logo.png,https://upload.wikimedia.org/wikipedia/en/f/fc/Chicago_Sky_logo.svg,assets/leagues/wnba/teams/chicago_sky/logo.png,assets/leagues/wnba/teams/chicago_sky/logo.svg,Review the logo registry path and source target_path metadata; revise only after human evidence review.,"Hold renderer trust if path metadata is incomplete, drifting, unsupported, or not source-backed.","Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_connecticut_sun_source_target_path_registered_path_drift,WNBA logo review: Connecticut Sun - source target path registered path drift,connecticut_sun,Connecticut Sun,source_target_path_registered_path_drift,connecticut_sun: source target_path differs from registered local logo path: source=assets/leagues/wnba/teams/connecticut_sun/logo.svg registry=assets/leagues/wnba/teams/connecticut_sun/logo.png,https://upload.wikimedia.org/wikipedia/en/0/09/Connecticut_Sun_logo.svg,assets/leagues/wnba/teams/connecticut_sun/logo.png,assets/leagues/wnba/teams/connecticut_sun/logo.svg,Review the logo registry path and source target_path metadata; revise only after human evidence review.,"Hold renderer trust if path metadata is incomplete, drifting, unsupported, or not source-backed.","Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_dallas_wings_source_target_path_registered_path_drift,WNBA logo review: Dallas Wings - source target path registered path drift,dallas_wings,Dallas Wings,source_target_path_registered_path_drift,dallas_wings: source target_path differs from registered local logo path: source=assets/leagues/wnba/teams/dallas_wings/logo.svg registry=assets/leagues/wnba/teams/dallas_wings/logo.png,https://upload.wikimedia.org/wikipedia/en/9/95/Dallas_Wings_logo.svg,assets/leagues/wnba/teams/dallas_wings/logo.png,assets/leagues/wnba/teams/dallas_wings/logo.svg,Review the logo registry path and source target_path metadata; revise only after human evidence review.,"Hold renderer trust if path metadata is incomplete, drifting, unsupported, or not source-backed.","Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_golden_state_valkyries_source_target_path_registered_path_drift,WNBA logo review: Golden State Valkyries - source target path registered path drift,golden_state_valkyries,Golden State Valkyries,source_target_path_registered_path_drift,golden_state_valkyries: source target_path differs from registered local logo path: source=assets/leagues/wnba/teams/golden_state_valkyries/logo.svg registry=assets/leagues/wnba/teams/golden_state_valkyries/logo.png,https://upload.wikimedia.org/wikipedia/en/0/00/Golden_State_Valkyries_logo.svg,assets/leagues/wnba/teams/golden_state_valkyries/logo.png,assets/leagues/wnba/teams/golden_state_valkyries/logo.svg,Review the logo registry path and source target_path metadata; revise only after human evidence review.,"Hold renderer trust if path metadata is incomplete, drifting, unsupported, or not source-backed.","Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_indiana_fever_source_target_path_registered_path_drift,WNBA logo review: Indiana Fever - source target path registered path drift,indiana_fever,Indiana Fever,source_target_path_registered_path_drift,indiana_fever: source target_path differs from registered local logo path: source=assets/leagues/wnba/teams/indiana_fever/logo.svg registry=assets/leagues/wnba/teams/indiana_fever/logo.png,https://upload.wikimedia.org/wikipedia/en/5/54/Indiana_Fever_logo.svg,assets/leagues/wnba/teams/indiana_fever/logo.png,assets/leagues/wnba/teams/indiana_fever/logo.svg,Review the logo registry path and source target_path metadata; revise only after human evidence review.,"Hold renderer trust if path metadata is incomplete, drifting, unsupported, or not source-backed.","Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_las_vegas_aces_source_target_path_registered_path_drift,WNBA logo review: Las Vegas Aces - source target path registered path drift,las_vegas_aces,Las Vegas Aces,source_target_path_registered_path_drift,las_vegas_aces: source target_path differs from registered local logo path: source=assets/leagues/wnba/teams/las_vegas_aces/logo.svg registry=assets/leagues/wnba/teams/las_vegas_aces/logo.png,https://upload.wikimedia.org/wikipedia/en/f/ff/New_Las_Vegas_Aces_WNBA_logo_2024.svg,assets/leagues/wnba/teams/las_vegas_aces/logo.png,assets/leagues/wnba/teams/las_vegas_aces/logo.svg,Review the logo registry path and source target_path metadata; revise only after human evidence review.,"Hold renderer trust if path metadata is incomplete, drifting, unsupported, or not source-backed.","Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_minnesota_lynx_source_target_path_registered_path_drift,WNBA logo review: Minnesota Lynx - source target path registered path drift,minnesota_lynx,Minnesota Lynx,source_target_path_registered_path_drift,minnesota_lynx: source target_path differs from registered local logo path: source=assets/leagues/wnba/teams/minnesota_lynx/logo.svg registry=assets/leagues/wnba/teams/minnesota_lynx/logo.png,https://upload.wikimedia.org/wikipedia/en/7/75/Minnesota_Lynx_logo.svg,assets/leagues/wnba/teams/minnesota_lynx/logo.png,assets/leagues/wnba/teams/minnesota_lynx/logo.svg,Review the logo registry path and source target_path metadata; revise only after human evidence review.,"Hold renderer trust if path metadata is incomplete, drifting, unsupported, or not source-backed.","Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_phoenix_mercury_source_target_path_registered_path_drift,WNBA logo review: Phoenix Mercury - source target path registered path drift,phoenix_mercury,Phoenix Mercury,source_target_path_registered_path_drift,phoenix_mercury: source target_path differs from registered local logo path: source=assets/leagues/wnba/teams/phoenix_mercury/logo.svg registry=assets/leagues/wnba/teams/phoenix_mercury/logo.png,https://upload.wikimedia.org/wikipedia/en/4/48/Phoenix_Mercury_logo_2025.svg,assets/leagues/wnba/teams/phoenix_mercury/logo.png,assets/leagues/wnba/teams/phoenix_mercury/logo.svg,Review the logo registry path and source target_path metadata; revise only after human evidence review.,"Hold renderer trust if path metadata is incomplete, drifting, unsupported, or not source-backed.","Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_portland_fire_source_target_path_registered_path_drift,WNBA logo review: Portland Fire - source target path registered path drift,portland_fire,Portland Fire,source_target_path_registered_path_drift,portland_fire: source target_path differs from registered local logo path: source=assets/leagues/wnba/teams/portland_fire/logo.svg registry=assets/leagues/wnba/teams/portland_fire/logo.png,https://upload.wikimedia.org/wikipedia/en/c/cf/Portland_Fire_logo.svg,assets/leagues/wnba/teams/portland_fire/logo.png,assets/leagues/wnba/teams/portland_fire/logo.svg,Review the logo registry path and source target_path metadata; revise only after human evidence review.,"Hold renderer trust if path metadata is incomplete, drifting, unsupported, or not source-backed.","Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
asset_logo_review_seattle_storm_source_target_path_registered_path_drift,WNBA logo review: Seattle Storm - source target path registered path drift,seattle_storm,Seattle Storm,source_target_path_registered_path_drift,seattle_storm: source target_path differs from registered local logo path: source=assets/leagues/wnba/teams/seattle_storm/logo.svg registry=assets/leagues/wnba/teams/seattle_storm/logo.png,https://upload.wikimedia.org/wikipedia/en/a/a0/Seattle_Storm_%282021%29_logo.svg,assets/leagues/wnba/teams/seattle_storm/logo.png,assets/leagues/wnba/teams/seattle_storm/logo.svg,Review the logo registry path and source target_path metadata; revise only after human evidence review.,"Hold renderer trust if path metadata is incomplete, drifting, unsupported, or not source-backed.","Revise team_logos.csv/logo_sources.csv only after human evidence review; do not invent, download, or substitute logos.",Renderer logo/text fallback remains review-only and must not be treated as approval for exact-logo WNBA templates.,approve_after_manual_review|hold_logo_slot|revise_registry_metadata|request_exact_logo_evidence,true,false,false,false,false,false,false
