post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Post ASAP,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","High-score, timely, verified hard-news story."
2,Texas wins the 2026 NCAA DI softball championship,Must Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make and post second,Post ASAP,"What happened, who stood out, and why it matters for Softball fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
3,Kelsey Mitchell scores 25 as Fever begin Commissioner's Cup title defense with 83-71 win over Dream,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post third,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.",Downgraded from Must Post because the daily Must Post cap was reached.
4,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Downgraded from Must Post because the daily Must Post cap was reached.
5,Saint Leo wins 2026 NCAA DII softball championship,Maybe Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make if time today,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Softball fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
6,Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards,Maybe Post,Roster News,Roster Update Card,single 4:5 feed card,Make if time today,Post during daytime engagement window,A future-star angle with a clear roster-building hook.,"Use a roster/recruiting graphic with the player, school/team, and why it matters.","Strong candidate, but not mandatory."
7,PWHL HAMILTON ADDS BRIANNE JENNER IN HISTORIC FIRST SIGNING,Maybe Post,Roster News,Roster Update Card,single 4:5 feed card,Make if time today,Post during daytime engagement window,A future-star angle with a clear roster-building hook.,"Use a roster/recruiting graphic with the player, school/team, and why it matters.","Strong candidate, but not mandatory."
8,Serena Williams Adds 2026 Berlin Tennis Open to WTA Comeback Tour,Save for Weekend,Roster News,Roster Update Card,single 4:5 feed card,Save for weekend,Post during daytime engagement window,A future-star angle with a clear roster-building hook.,"Use a roster/recruiting graphic with the player, school/team, and why it matters.",Useful but not urgent.
9,Women’s sports are booming for the Texas Longhorns — investment is the reason why,Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,The business of women's sports is not emerging anymore. It is becoming big business.,Use a clean data carousel with bold numbers and simple context.,Useful but not urgent.
10,U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million,Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,The business of women's sports is not emerging anymore. It is becoming big business.,Use a clean data carousel with bold numbers and simple context.,Useful but not urgent.
