seed_id,entity_id,source_page_url,source_type,source_label,notes,operator_fair_use_asserted,download_approved,rights_class,identity_confidence,intended_review_only_use,quarantine_target_hint
SCOUTV3001,wnba_indiana_fever_kelsey_mitchell,https://fever.wnba.com/news/game-recap-fever-sparks-260627,official_team_recap,Indiana Fever official recap,Official Fever recap from a recent public team page; target is a higher-yield action-photo candidate beyond the Aces/Valkyries-heavy prior run.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/fever_operator_review_001.jpg
SCOUTV3002,wnba_indiana_fever_aliyah_boston,https://fever.wnba.com/news/game-recap-fever-mercury-260624,official_team_recap,Indiana Fever official recap,Official Fever recap for source expansion; use only as metadata discovery and require manual identity/body-margin validation before any formal intake.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/fever_operator_review_002.jpg
SCOUTV3003,wnba_new_york_liberty_breanna_stewart,https://liberty.wnba.com/news/new-york-liberty-win-second-wnba-commissioners-cup-title,official_team_recap,New York Liberty official recap,Official Liberty championship recap likely to surface premium action or celebration imagery with strong provenance; manual identity validation still required.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/liberty_operator_review_001.jpg
SCOUTV3004,wnba_connecticut_sun_marina_mabrey,https://sun.wnba.com/news/sun-build-win-streak-over-mystics-wins-68-57,official_team_recap,Connecticut Sun official recap,Official Sun game recap from the current public category feed; expands candidate coverage outside Aces/Valkyries and may reveal cleaner solo action frames.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/sun_operator_review_001.jpg
SCOUTV3005,wnba_connecticut_sun_aneesah_morrow,https://sun.wnba.com/news/sun-defeat-sky-92-63,official_team_recap,Connecticut Sun official recap,Official Sun recap for metadata-only candidate discovery; reject quickly if the extracted image is grouped or wrong person or lacks 4:5 body margin.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/sun_operator_review_002.jpg
SCOUTV3006,wnba_atlanta_dream_rhyne_howard,https://dream.wnba.com/news/dream-makes-a-statement-with-win-against-indiana,official_team_recap,Atlanta Dream official recap,Official Dream recap with likely high-profile game context; intended to broaden HSD source scouting with clear team provenance.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/dream_operator_review_001.jpg
SCOUTV3007,wnba_atlanta_dream_allisha_gray,https://dream.wnba.com/news/high-scoring-dream-beat-indianapolis,official_team_recap,Atlanta Dream official recap,Official Dream recap from current category feed; metadata-only candidate source for manual review deck triage.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/dream_operator_review_002.jpg
SCOUTV3008,wnba_washington_mystics_sonia_citron,https://mystics.wnba.com/news/game-recap-mystics-vs-sun,official_team_recap,Washington Mystics official recap,Official Mystics recap for source expansion; keep output as review-only metadata and do not treat entity guess as identity proof.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/mystics_operator_review_001.jpg
SCOUTV3009,wnba_washington_mystics_kiki_iriafen,https://mystics.wnba.com/news/game-recap-mystics-vs-lynx,official_team_recap,Washington Mystics official recap,Official Mystics recap with potential action-photo metadata; manual reviewer must confirm solo/near-solo fit and player identity.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/mystics_operator_review_002.jpg
SCOUTV3010,wnba_chicago_sky_angel_reese,https://sky.wnba.com/news/recap-sky-narrowly-lose-to-aces-107-99-in-high-scoring-united-center-outing,official_team_recap,Chicago Sky official recap,Official Sky recap against the Aces; likely to expose action metadata while expanding beyond previously approved Jackie Young rows.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/sky_operator_review_001.jpg
SCOUTV3011,wnba_chicago_sky_courtney_vandersloot,https://sky.wnba.com/news/recap-sky-shatter-records-upon-courtney-vandersloots-return-in-124-94-triumph-over-fire,official_team_recap,Chicago Sky official recap,Official Sky recap with named return/performance context; use as a source-quality candidate only after manual visual inspection.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/sky_operator_review_002.jpg
SCOUTV3012,wnba_los_angeles_sparks_kelsey_plum,https://sparks.wnba.com/news/sparks-win-ot-thriller-behind-historic-plumformance-june-13-game-recap,official_team_recap,Los Angeles Sparks official recap,Official Sparks recap with named performance context; target solo/near-solo action-photo candidates for HSD renderer testing only.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/sparks_operator_review_001.jpg
