review_id,candidate_queue_id,expected_in_shared_intake,external_return_present,external_row_number,candidate_photo_url_present,candidate_photo_url_direct_image_hold,normalized_candidate_page_url,evidence_url_present,source_url_present,entity_id_present,rights_class_present,identity_confidence,identity_confidence_status,identity_vocabulary_mismatch,identity_anchor_url_present,intended_review_only_use_present,missing_required_fields,candidate_ready_for_later_human_download_decision_review,download_approved,manual_review_status,review_bucket,manual_next_action,review_only,source_fetching,auto_source_enablement,asset_downloads,headshot_writes,approved_marker_writes,approval_state_change,publish_ready,auto_approval,auto_publish,move_files,paid_apis
APER001,APQ001,yes,yes,2,yes,yes,https://www.reuters.com/world/us/grow-up-caitlin-clark-commits-five-turnovers-fever-loss-sun-2025-06-18/,yes,yes,yes,yes,high,identity_vocabulary_requires_operator_normalization,yes,yes,yes,,no,no,external_return_review_only_hold,external_return_direct_image_and_identity_vocab_hold,"Use the source/evidence page URL as the candidate page lead (https://www.reuters.com/world/us/grow-up-caitlin-clark-commits-five-turnovers-fever-loss-sun-2025-06-18/); do not treat the direct image URL as safe, and normalize identity confidence only after operator verification.",true,false,false,false,false,false,none,false,false,false,false,false
APER002,APQ002,yes,yes,3,yes,yes,https://www.wnba.com/watch/video/caitlin-clark-dials-from-long-distance-3,yes,yes,yes,yes,high,identity_vocabulary_requires_operator_normalization,yes,yes,yes,,no,no,external_return_review_only_hold,external_return_direct_image_and_identity_vocab_hold,"Use the source/evidence page URL as the candidate page lead (https://www.wnba.com/watch/video/caitlin-clark-dials-from-long-distance-3); do not treat the direct image URL as safe, and normalize identity confidence only after operator verification.",true,false,false,false,false,false,none,false,false,false,false,false
APER003,APQ003,yes,yes,4,yes,yes,https://www.reuters.com/sports/soccer/washington-spirit-star-f-trinity-rodman-back-out-indefinitely-2025-04-19/,yes,yes,yes,yes,high,identity_vocabulary_requires_operator_normalization,yes,yes,yes,,no,no,external_return_review_only_hold,external_return_direct_image_and_identity_vocab_hold,"Use the source/evidence page URL as the candidate page lead (https://www.reuters.com/sports/soccer/washington-spirit-star-f-trinity-rodman-back-out-indefinitely-2025-04-19/); do not treat the direct image URL as safe, and normalize identity confidence only after operator verification.",true,false,false,false,false,false,none,false,false,false,false,false
APER004,APQ004,yes,yes,5,yes,yes,https://www.reuters.com/sports/soccer/trinity-rodman-scores-uswnt-blanks-brazil-2025-04-06/,yes,yes,yes,yes,high,identity_vocabulary_requires_operator_normalization,yes,yes,yes,,no,no,external_return_review_only_hold,external_return_direct_image_and_identity_vocab_hold,"Use the source/evidence page URL as the candidate page lead (https://www.reuters.com/sports/soccer/trinity-rodman-scores-uswnt-blanks-brazil-2025-04-06/); do not treat the direct image URL as safe, and normalize identity confidence only after operator verification.",true,false,false,false,false,false,none,false,false,false,false,false
APER005,APQ005,yes,yes,6,yes,yes,https://uconnhuskies.com/sports/womens-basketball/roster/azzi-fudd/14968,yes,yes,yes,yes,high,identity_vocabulary_requires_operator_normalization,yes,yes,yes,,no,no,external_return_review_only_hold,external_return_direct_image_and_identity_vocab_hold,"Use the source/evidence page URL as the candidate page lead (https://uconnhuskies.com/sports/womens-basketball/roster/azzi-fudd/14968); do not treat the direct image URL as safe, and normalize identity confidence only after operator verification.",true,false,false,false,false,false,none,false,false,false,false,false
APER006,APQ006,yes,yes,7,yes,yes,https://texastech.com/sports/softball/roster/nijaree-canady/13952,yes,yes,yes,yes,high,identity_vocabulary_requires_operator_normalization,yes,yes,yes,,no,no,external_return_review_only_hold,external_return_direct_image_and_identity_vocab_hold,"Use the source/evidence page URL as the candidate page lead (https://texastech.com/sports/softball/roster/nijaree-canady/13952); do not treat the direct image URL as safe, and normalize identity confidence only after operator verification.",true,false,false,false,false,false,none,false,false,false,false,false
APER007,APQ007,yes,no,,no,no,,no,no,no,no,,identity_missing,no,no,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,no,external_return_review_only_hold,external_return_missing,Ask the research operator to supply this APQ row before any import-review or quarantine-decision work.,true,false,false,false,false,false,none,false,false,false,false,false
APER008,APQ008,yes,no,,no,no,,no,no,no,no,,identity_missing,no,no,no,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,no,no,external_return_review_only_hold,external_return_missing,Ask the research operator to supply this APQ row before any import-review or quarantine-decision work.,true,false,false,false,false,false,none,false,false,false,false,false
APER009,APQ009,yes,yes,8,yes,yes,https://www.reuters.com/sports/tennis/gauff-wary-grass-record-wimbledon-begins-2026-06-27/,yes,yes,yes,yes,medium_high,identity_vocabulary_requires_operator_normalization,yes,yes,yes,,no,no,external_return_review_only_hold,external_return_direct_image_and_identity_vocab_hold,"Use the source/evidence page URL as the candidate page lead (https://www.reuters.com/sports/tennis/gauff-wary-grass-record-wimbledon-begins-2026-06-27/); do not treat the direct image URL as safe, and normalize identity confidence only after operator verification.",true,false,false,false,false,false,none,false,false,false,false,false
APER010,APQ010,yes,yes,9,yes,yes,https://www.reuters.com/sports/golf/nelly-korda-maintains-competitive-mindset-while-pursuing-rare-heights--flm-2026-06-25/,yes,yes,yes,yes,medium_high,identity_vocabulary_requires_operator_normalization,yes,yes,yes,,no,no,external_return_review_only_hold,external_return_direct_image_and_identity_vocab_hold,"Use the source/evidence page URL as the candidate page lead (https://www.reuters.com/sports/golf/nelly-korda-maintains-competitive-mindset-while-pursuing-rare-heights--flm-2026-06-25/); do not treat the direct image URL as safe, and normalize identity confidence only after operator verification.",true,false,false,false,false,false,none,false,false,false,false,false
