rank,headline,content_family,template_name,asset_shape,suggested_aspect_ratio,image_generation_prompt
1,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Postgame Recap Card. Sport: Tennis. Content family: Postgame Recap. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan'. Slide 2 title: 'Why it matters' with body: 'This is timely Tennis coverage with a result fans may want explained quickly.'. Slide 3 title: 'The angle' with body: 'What happened, who stood out, and why it matters for Tennis fans.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use recap structure, outcome first, top performer callout, and one takeaway panel."
2,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
4,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Track & Field. Content family: Milestone Card. Main headline: 'Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
5,GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
6,Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Growth Carousel. Sport: PWHL / Women's Hockey. Content family: Growth of the Game. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four'. Slide 2 title: 'Why it matters' with body: 'Expansion stories show where fan demand and investor confidence are rising.'. Slide 3 title: 'The angle' with body: 'Another sign that women's sports demand is outgrowing the old model.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use clean editorial design, stat-forward layout, strong number hierarchy, and easy-to-read supporting text."
7,Major League Volleyball Ends Year Three With Record Growth,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Volleyball. Content family: Milestone Card. Main headline: 'Major League Volleyball Ends Year Three With Record Growth'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
8,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Softball. Content family: Milestone Card. Main headline: 'Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
9,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective",Growth of the Game,Growth Carousel,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Growth Carousel. Sport: NWSL / Women's Soccer. Content family: Growth of the Game. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective'. Slide 2 title: 'Why it matters' with body: 'This helps show the business momentum behind women's sports.'. Slide 3 title: 'The angle' with body: 'The business of women's sports is not emerging anymore. It is becoming big business.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use clean editorial design, stat-forward layout, strong number hierarchy, and easy-to-read supporting text."
10,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: NWSL / Women's Soccer. Content family: Milestone Card. Main headline: 'Gotham FC announces first-ever ‘dedicated’ training facility'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
