script_version,rank,editorial_decision,recommended_timing,editorial_score,priority_score,source_quality,source_tier,eligibility_passed,eligibility_reason,time_sensitive,verification_needed,sensitive,duplicate_status,related_story_count,cluster_rank,cluster_id,primary_entity,content_lane,content_bucket,sport,story_type,source,headline,link,post_format,hook,first_slide,carousel_outline,instagram_angle,why_it_matters,caption_starter,visual_brief,hashtags,published,age_hours,decision_reason,score_reason,notes
v11_final,1,Must Post,Post ASAP,82,9,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,40,1,softball::texas_wcws_title,,Game coverage,Tonight / Game Coverage,Softball,Game Recap / Result,NCAA.com,Texas wins the 2026 NCAA DI softball championship,https://news.google.com/rss/articles/CBMioAFBVV95cUxNLTJLdU5wQTRuZHc0d3dHR0RMWW0yNnNmNk9laE42cUJ2Wkh6QVFMaWdTZzJqTk9YVHZlOVlYRlB6cVk3dzVtbmpuTEotU0k1TW9GWlJSMENZS29QRF9sWW41dGdkYWYtX20xZTQyb2wzelA0d2NUNWh4WHZZWTJlV1cwMi1QVm1YZW54Q0hlMGY0TUo2cXVwaXk0eTVnXy1K0gGmAUFVX3lxTE1pM1BkYzkwZFRrdGR0UnlYMEpZLXdGeFQ3cmdrU2oycFpaXzE0RW9UMk94aWFFLThLUG1GZjNjeVlnNmNhUFcxNUFCQXJKRGwzc1gtZy1vMnNGSnpsclAwbUNXOXZsWXRaS0ZSdmhUNW5TWlJIUmxpenIyTHNxQ1BUU0IxeklpVTNRSFFxOF9kWVR2OUhoWDFRTTVEMzgxQ3N5a3ZUY3c?oc=5,Breaking graphic + carousel,Here is the quick version of what happened and why it matters.,Quick recap: Texas wins the 2026 NCAA DI softball championship,Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Softball fans.",This is timely Softball coverage with a result fans may want explained quickly.,Texas wins the 2026 NCAA DI softball championship Here is the quick breakdown and why it matters.,"Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS,2026-06-05T19:02:18+00:00,1.8,"High-score, timely, verified hard-news story.",Championship or major result. Fresh under 6 hours. Strong secondary sport: Softball. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,2,Must Post,Post ASAP,81,9,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,No,No,No,Primary,7,1,wnba::caitlin_clark_records,Caitlin Clark,Star-driven engagement,Star Watch,WNBA,Record / Milestone,Just Women's Sports,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",https://justwomenssports.com/reads/2026-wnba-player-stats-trends-aja-wilson-caitlin-clark-wnba-games/,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,"Milestone watch: A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026 What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-05T17:42:38+00:00,3.2,"High-score, timely, verified hard-news story.","Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,3,Maybe Post,Use when convenient,77,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,7,1,wnba::aja_wilson,A'Ja Wilson,Star-driven engagement,Star Watch,WNBA,Record / Milestone,Las Vegas Aces | WNBA,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,https://news.google.com/rss/articles/CBMisgFBVV95cUxOQm1lTklnZlhXNFhYME91UWtLMDM1UlVkbE1hR1FUOXNZcjFNd3hiYll6dkVVNWowMEJvVGV3ZnU0SGtMVHNmOWxSOUt3ZllzcHAxMnZwZG9WRWdBa0VTV2Fia0dUN0lManFCUzVTUXdRUjR3SXNHcFQtZnZyeVFqUDVUM1pLUm5ESmZscFJsZnVnNkRpbjRvZ1pHX1V4dFlrc1pRV001TUtsQklYdXhLOVZB?oc=5,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-03T22:33:07+00:00,46.3,Downgraded from Must Post because the daily Must Post cap was reached.,"Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 10/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,4,Maybe Post,Post within 2 hours if still fresh,76,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,wnba::kelsey_mitchell_scores_fever_begin_commissioner's_cup_title,,Game coverage,Tonight / Game Coverage,WNBA,Game Recap / Result,CBS Sports,Kelsey Mitchell scores 25 as Fever begin Commissioner's Cup title defense with 83-71 win over Dream,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNYjFXVkVhNnEzRjZtb3VMaENpVThudEtrM1dXa1NENFE4Y1hoUDJHTVZHMjl2SVZ4WVBJdGZOeUpWUFlYeVhJQld6S19wcTI0OUJfT0pMVjh3Q3NXcGtsY2RBdHJ0cmRCYXBobThIcTV3MGxjeW95RHcwZHo5MkZRYVI4UnR0aHdJa2dHRXZ0SHd2aVFMLWYtX1JvVGxPT0RnN0lfLWFDMXZNYWNMNGVfUFN6UHhQS25oLXpINUxMaTM5bjVlaDItZGRLS2hZc19E?oc=5,Breaking graphic + carousel,Here is the quick version of what happened and why it matters.,Quick recap: Kelsey Mitchell scores 25 as Fever begin Commissioner's Cup title defense with 83-71 win over Dream,Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for WNBA fans.",This is timely WNBA coverage with a result fans may want explained quickly.,Kelsey Mitchell scores 25 as Fever begin Commissioner's Cup title defense with 83-71 win over Dream Here is the quick breakdown and why it matters.,"Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-05T01:32:00+00:00,19.3,Downgraded from Must Post because the daily Must Post cap was reached.,Championship or major result. Fresh under 24 hours. Core brand sport: WNBA. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,5,Maybe Post,Post within 2 hours if still fresh,75,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,3,1,softball::saint_leo_softball_title,,Game coverage,Tonight / Game Coverage,Softball,Game Recap / Result,NCAA.com,Saint Leo wins 2026 NCAA DII softball championship,https://news.google.com/rss/articles/CBMipwFBVV95cUxNYW50N0xZMlBsaWVzTlZ5OVR4dmgxU3dkMVp6YlI5eGJfejVza2VLdlhmUGJyMk1oMGJUazFTMFo5dUxXNTFxNGpFM21OSWhCRXNjMUVuVlJzQ05Iekk0MlIzUzRJWk15MEN4SG9lTmtGOG8tdnEzaGRaSnU1NFdXZWw3UFJqUHBvcUJxQnhycXNWTjh0a213ZzFWZE90aFFPV2pUbGM1VdIBrAFBVV95cUxPbDcwRWJzeGJJdkdVWDFXWUNIRjNiLXg5UW5Wa0NuOUxZVFhTRVFua2J4eThES1owbU1HZjBIUFhKVEx5MXJXV1pKREMxNTlYUXc4dC01aVFtNDdNV0JGbTVPbzhzRkJ6Z0Q1S1BLSkNlRHZweC13OHNwTklXSUxTRnA2X1VBcXA2aUhOcEp2bTVyRmFBNHJsc2d1dzVnQ0FBODBuTjlYR1hsSHk5?oc=5,Story post,Here is the quick version of what happened and why it matters.,Quick recap: Saint Leo wins 2026 NCAA DII softball championship,Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Softball fans.",This is timely Softball coverage with a result fans may want explained quickly.,Saint Leo wins 2026 NCAA DII softball championship Here is the quick breakdown and why it matters.,"Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS,2026-06-05T02:46:14+00:00,18.1,"Strong candidate, but not mandatory.",Championship or major result. Fresh under 24 hours. Strong secondary sport: Softball. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,6,Maybe Post,Post during daytime engagement window,70,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,16,1,pwhl / women's hockey::pwhl,Pwhl,Growth of the game,Growth of the Game,PWHL / Women's Hockey,League Expansion,Yahoo Sports,"For Goldeneyes GM Cara Gardner Morey, The Priority Through PWHL Expansion Has Been To Keep As Many Players As Possible",https://news.google.com/rss/articles/CBMihgFBVV95cUxOUmxINXhtR2tObVFKVmRTZ1R4aE9XVEJwTHA2dXhoTkdEQUlrV2RxVmZiTGczMHl5LWE1SFZQVGNDYUluc2tLZWpXV2o4Qnk5Y1MybUZmVk5pbTRicHBsWjJhT0l2R3Bob3hCaUI2bE9hbURhZGliaFh0UWE2Y3FKUG5fYXBFUQ?oc=5,Map/expansion carousel,Another market is betting big on women's sports.,"Expansion watch: For Goldeneyes GM Cara Gardner Morey, The Priority Through PWHL Expansion Has Been To Keep As Many Players As Possible",Slide 1: expansion headline | Slide 2: market/team details | Slide 3: why demand is rising | Slide 4: fan question,Another sign that women's sports demand is outgrowing the old model.,Expansion stories show where fan demand and investor confidence are rising.,"For Goldeneyes GM Cara Gardner Morey, The Priority Through PWHL Expansion Has Been To Keep As Many Players As Possible More teams, more investment, more proof that the demand is real.","Use a map, team/logo style graphic, or market comparison carousel.",#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey,2026-06-05T13:11:07+00:00,7.7,"Strong candidate, but not mandatory.",Expansion story. Fresh under 12 hours. Core brand sport: PWHL / Women's Hockey. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,7,Maybe Post,Post during daytime engagement window,69,7,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,ncaa women's basketball::dawn staley,Dawn Staley,Star-driven engagement,Roster / Recruiting,NCAA Women's Basketball,Recruiting / Roster News,Just Women's Sports,Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards,https://justwomenssports.com/reads/dawn-staley-south-carolina-womens-basketball-oliviyah-edwards-recruiting/,Roster/recruiting graphic,The next wave of talent is already changing the future.,Roster watch: Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards,Slide 1: roster/recruiting news | Slide 2: who is involved | Slide 3: why it matters | Slide 4: what comes next,A future-star angle with a clear roster-building hook.,Recruiting and roster stories show where the next wave of stars is coming from.,Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards How big is this move for the program?,"Use a roster/recruiting graphic with the player, school/team, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball,2026-06-05T16:08:29+00:00,4.7,"Strong candidate, but not mandatory.","Recruiting or roster-building story. Fresh under 6 hours. Core brand sport: NCAA Women's Basketball. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,8,Save for Weekend,Post during daytime engagement window,65,7,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,tennis::queen's_club_411_dates_who's_playing_prize_money,,Growth of the game,Growth of the Game,Tennis,Business / Growth,WTA Tennis,"Queen's Club 411: Dates, who's playing, prize money and more",https://news.google.com/rss/articles/CBMisgFBVV95cUxNT1RkU1kyWG1YeHFzNXBxUWNtVmV4dTZSRWlfZzlua1lxN3BvUEFIdjRkWU11TjNNYWRGNWtVTVoyVlJySkd1ZXRpNU9IT05WR2NXVHc5ektkSXFCTk1xUDUtSkFlNEpxcy1VNGhzTGpkUXdKU3U4WU00cFN6U2tPTm1aZENadmRmd2VONExoeDIwbjJ4M3VJblJnYlUzbUIxR2hUZmFuaGNuSTlBQTl0cjZB?oc=5,Data carousel,Women's sports are becoming impossible for the business world to ignore.,"The business of women's sports keeps growing: Queen's Club 411: Dates, who's playing, prize money and more",Slide 1: headline stat | Slide 2: what changed | Slide 3: why it matters | Slide 4: what comes next,The business of women's sports is not emerging anymore. It is becoming big business.,This helps show the business momentum behind women's sports.,"Queen's Club 411: Dates, who's playing, prize money and more The growth of women's sports keeps getting harder to ignore.",Use a clean data carousel with bold numbers and simple context.,#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,2026-06-05T13:50:48+00:00,7.0,Useful but not urgent.,Business/growth story. Fresh under 12 hours. Strong secondary sport: Tennis. Source quality 10/10. Engagement: normal interest. Penalties: no major penalties.,
v11_final,9,Save for Weekend,Post during daytime engagement window,65,7,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,3,1,tennis::serena_mboko_hsbc,Serena Williams,Star-driven engagement,Roster / Recruiting,Tennis,Recruiting / Roster News,Just Women's Sports,Serena Williams Adds 2026 Berlin Tennis Open to WTA Comeback Tour,https://justwomenssports.com/reads/serena-williams-berlin-tennis-open-victoria-mboko-doubles-partner-2026/,Roster/recruiting graphic,The next wave of talent is already changing the future.,Roster watch: Serena Williams Adds 2026 Berlin Tennis Open to WTA Comeback Tour,Slide 1: roster/recruiting news | Slide 2: who is involved | Slide 3: why it matters | Slide 4: what comes next,A future-star angle with a clear roster-building hook.,Recruiting and roster stories show where the next wave of stars is coming from.,Serena Williams Adds 2026 Berlin Tennis Open to WTA Comeback Tour How big is this move for the program?,"Use a roster/recruiting graphic with the player, school/team, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,2026-06-05T20:27:55+00:00,0.4,Useful but not urgent.,"Recruiting or roster-building story. Fresh under 6 hours. Strong secondary sport: Tennis. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,10,Save for Weekend,Post during daytime engagement window,64,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,39,1,golf::us_womens_open,U.S. Women'S Open,Growth of the game,Growth of the Game,Golf / LPGA,Business / Growth,Yahoo Sports,U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million,https://news.google.com/rss/articles/CBMifkFVX3lxTE9iN1dEVTNVUzVTaktXVHNpaUNGTmczbF9wc3dmREJkdjlMVW9LUTE3bWpIclUxNjVqWmIzeXpZNUwwc3FXTnZtWFo2QVZCWjFZOXhNMXNPalAySURmWk1jY0U3TTNReVNreHdGdmtrZE42VWIyQnZYSEN5ZXZ4QQ?oc=5,Data carousel,Women's sports are becoming impossible for the business world to ignore.,The business of women's sports keeps growing: U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million,Slide 1: headline stat | Slide 2: what changed | Slide 3: why it matters | Slide 4: what comes next,The business of women's sports is not emerging anymore. It is becoming big business.,This helps show the business momentum behind women's sports.,U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million The growth of women's sports keeps getting harder to ignore.,Use a clean data carousel with bold numbers and simple context.,#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf,2026-06-05T00:22:00+00:00,20.5,Useful but not urgent.,Business/growth story. Fresh under 24 hours. Strong secondary sport: Golf / LPGA. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,
