candidate_action_rank,manual_action_group,source_tier,research_lane,scope_id,league_id,team_id,team_name,player_name,issue_type,operator_action,source_priority,official_status,confidence,operator_verify_required,source_domain,source_candidate_url,source_priority_row_ref,source_priority_file,triage_row_ref,triage_file,candidate_entity_id,linked_queue_bucket,render_readiness,next_manual_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,roster_source_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,angel_city_fc,Angel City FC,Ariadina Alves Borges; Maiara Carolina Niehues,public_display_alias_review,add_alias_metadata,P1,official_team,high,yes,angelcity.com,https://angelcity.com/club/roster,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=21,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,angel_city_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
2,roster_source_verify,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,kansas_city_current,Kansas City Current,Débora Cristiane de Oliveira,public_display_alias_review,add_alias_metadata,P1,official_team,high,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=24,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,kansas_city_current,p0_nwsl_roster_verification_first,not_render_ready_review_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
3,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,frauen_bundesliga_germany,hamburger_sv_women,Hamburger SV Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,medium,yes,hsv.de,https://www.hsv.de/profis/team-hsv-frauen/kader-hsv-frauen,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=32,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=9,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,hamburger_sv_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
4,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,frauen_bundesliga_germany,sc_freiburg_women,SC Freiburg Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_PAGE,official_team,medium_low,yes,scfreiburg.com,https://www.scfreiburg.com/frauen,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=33,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=9,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,sc_freiburg_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
5,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,frauen_bundesliga_germany,tsg_hoffenheim_women,TSG Hoffenheim Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,medium,yes,tsg-hoffenheim.de,https://www.tsg-hoffenheim.de/teams/frauen/bundesliga/team,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=34,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=9,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,tsg_hoffenheim_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
6,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,ac_milan_women,AC Milan Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,acmilan.com,https://www.acmilan.com/en/teams/women-first-team/all,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=35,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,ac_milan_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
7,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,as_roma_women,AS Roma Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,asroma.com,https://www.asroma.com/en/women/players-and-staff,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=36,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,as_roma_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
8,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,como_women,Como Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,comowomen.com,https://comowomen.com/en/team-and-staff,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=37,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,como_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
9,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,fiorentina_women,Fiorentina Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,medium_high,yes,acffiorentina.com,https://www.acffiorentina.com/en/fiorentina-women,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=38,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,fiorentina_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
10,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,genoa_women,Genoa Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_PAGE,official_team,medium_low,yes,genoacfc.it,https://genoacfc.it/prima-squadra-femminile/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=39,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,genoa_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
