priority,sport_family,sport_label,asset_domain,entity_id,display_name,candidate_id,review_state,board_to_open,contact_sheet_to_open,intake_to_fill,source_url,local_asset_path,local_asset_present,current_source_reviewed,current_identity_status,fields_to_fill_after_manual_review,fields_to_keep_blank_until_review,fields_that_must_remain_hold,next_human_action,guardrail_note
L01,womens_hockey,Women's Hockey,logo,pwhl,Professional Women's Hockey League,league_mark,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/,assets/leagues/womens_hockey/pwhl/league_mark.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L02,womens_hockey,Women's Hockey,logo,boston_fleet,Boston Fleet,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/boston-fleet,assets/leagues/womens_hockey/pwhl/teams/boston_fleet/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L03,womens_hockey,Women's Hockey,logo,detroit,PWHL Detroit,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/detroit,assets/leagues/womens_hockey/pwhl/teams/detroit/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L04,womens_hockey,Women's Hockey,logo,hamilton,PWHL Hamilton,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/hamilton,assets/leagues/womens_hockey/pwhl/teams/hamilton/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L05,womens_hockey,Women's Hockey,logo,las_vegas,PWHL Las Vegas,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/las-vegas,assets/leagues/womens_hockey/pwhl/teams/las_vegas/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L06,womens_hockey,Women's Hockey,logo,minnesota_frost,Minnesota Frost,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/minnesota-frost,assets/leagues/womens_hockey/pwhl/teams/minnesota_frost/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L07,womens_hockey,Women's Hockey,logo,montreal_victoire,Montreal Victoire,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/montreal-victoire,assets/leagues/womens_hockey/pwhl/teams/montreal_victoire/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L08,womens_hockey,Women's Hockey,logo,new_york_sirens,New York Sirens,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/new-york-sirens,assets/leagues/womens_hockey/pwhl/teams/new_york_sirens/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L09,womens_hockey,Women's Hockey,logo,ottawa_charge,Ottawa Charge,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/ottawa-charge,assets/leagues/womens_hockey/pwhl/teams/ottawa_charge/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L10,womens_hockey,Women's Hockey,logo,san_jose,PWHL San Jose,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/san-jose,assets/leagues/womens_hockey/pwhl/teams/san_jose/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
