card_rank,card_priority,sport_family,sport_label,league_name,asset_domain,candidate_entity_id,display_name_or_lane,source_proof_placeholder,official_profile_source_url_placeholder,candidate_asset_photo_status,verification_status,quarantine_download_eligibility_status,next_manual_action,open_first_file,source_or_proof_to_open,source_priority_row_ref_or_filter,readiness_row_ref,review_board_to_open,manual_intake_file_to_open,future_download_intake_file,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,logo_writes,segmentation_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis,guardrail_note
NC01,P0_source_identity_before_photo_review,softball,Softball,Athletes Unlimited Softball League,athlete_photo,carolina_blaze,carolina_blaze,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,https://theausl.com/players/ | https://theausl.com/blaze/roster | https://theausl.com/blaze/,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=37-39;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=carolina_blaze,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=1,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC02,P0_source_identity_before_photo_review,softball,Softball,Athletes Unlimited Softball League,athlete_photo,chicago_bandits,chicago_bandits,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,https://theausl.com/players/ | https://theausl.com/bandits/roster | https://theausl.com/bandits/,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=40-42;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=chicago_bandits,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=2,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC03,P0_source_identity_before_photo_review,softball,Softball,Athletes Unlimited Softball League,athlete_photo,oklahoma_city_spark,oklahoma_city_spark,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,https://theausl.com/players/ | https://theausl.com/spark/roster | https://theausl.com/spark/,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=43-45;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=oklahoma_city_spark,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=3,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC04,P0_source_identity_before_photo_review,softball,Softball,Athletes Unlimited Softball League,athlete_photo,portland_cascade,portland_cascade,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,https://theausl.com/players/ | https://theausl.com/cascade/roster | https://theausl.com/cascade/,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=46-48;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=portland_cascade,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=4,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC05,P0_source_identity_before_photo_review,softball,Softball,Athletes Unlimited Softball League,athlete_photo,texas_volts,texas_volts,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,https://theausl.com/players/ | https://theausl.com/volts/roster | https://theausl.com/volts/,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=49-51;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=texas_volts,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=5,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC06,P0_source_identity_before_photo_review,softball,Softball,Athletes Unlimited Softball League,athlete_photo,utah_talons,utah_talons,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,https://theausl.com/players/ | https://theausl.com/talons/roster | https://theausl.com/talons/,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=52-54;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=utah_talons,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=6,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC07,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,boston_fleet,boston_fleet,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/boston-fleet/roster | https://www.thepwhl.com/en/teams/boston-fleet,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=1-3;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=boston_fleet,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=7,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC08,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,detroit,detroit,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/detroit/roster | https://www.thepwhl.com/en/teams/detroit,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=4-6;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=detroit,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=8,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC09,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,hamilton,hamilton,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/hamilton/roster | https://www.thepwhl.com/en/teams/hamilton,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=7-9;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=hamilton,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=9,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC10,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,las_vegas,las_vegas,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/las-vegas/roster | https://www.thepwhl.com/en/teams/las-vegas,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=10-12;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=las_vegas,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=10,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
