seed_id,entity_id,source_page_url,source_type,source_label,notes,operator_fair_use_asserted,download_approved,rights_class,identity_confidence,intended_review_only_use,quarantine_target_hint
NWSLSCOUT001,nwsl_kansas_city_current_temwa_chawinga,https://www.nwslsoccer.com/news/matchweek-7-racing-upset-thorns-chawinga-hat-trick-and-a-winning-wave-in-la,official_league_recap,NWSL Matchweek 7 Chawinga hat trick recap,Official NWSL recap with Temwa Chawinga hat trick context; metadata-only scout and no download approval.,yes,no,official_league_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/temwa_chawinga/operator_review_001.jpg
NWSLSCOUT002,nwsl_kansas_city_current_temwa_chawinga,https://www.kansascitycurrent.com/news/match-report-kansas-city-current-rides-historic-hat-trick-to,official_team_recap,Kansas City Current Chawinga hat trick match report,Official team match report with named Temwa Chawinga hat trick context; reject if extracted frame is crowd/group-only.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/temwa_chawinga/operator_review_002.jpg
NWSLSCOUT003,nwsl_kansas_city_current_temwa_chawinga,https://www.kansascitycurrent.com/news/match-report-kansas-city-current-extends-home-unbeaten-strea,official_team_recap,Kansas City Current Chawinga brace match report,Official team match report with Chawinga brace context; metadata-only candidate scout.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/temwa_chawinga/operator_review_003.jpg
NWSLSCOUT004,nwsl_orlando_pride_barbra_banda,https://www.nwslsoccer.com/news/matchweek-10-recap-san-diego-wave-reclaim-the-top-of-the-table-barbra-banda-bags-third-brace-and-utah-portland-split-points-before-break,official_league_recap,NWSL Matchweek 10 Banda brace recap,Official NWSL recap with Barbra Banda brace context; metadata-only scout for action or celebration frames.,yes,no,official_league_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/barbra_banda/operator_review_001.jpg
NWSLSCOUT005,nwsl_portland_thorns_sophia_wilson,https://www.thorns.com/news/thorns-earn-2-1-win-over-angel-city-fc-in-a-wild-finish,official_team_recap,Portland Thorns Sophia Wilson first 2026 goal recap,Official team recap with Sophia Wilson opening her 2026 scoring account; reject if group celebration blocks clean 4:5 crop.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/sophia_wilson/operator_review_001.jpg
NWSLSCOUT006,nwsl_portland_thorns_sophia_wilson,https://www.thorns.com/news/thorns-dominant-from-end-to-end-in-2-0-shutout-win-over-san-diego-wave,official_team_recap,Portland Thorns Sophia Wilson San Diego goal recap,Official team recap with Sophia Wilson goal context and likely match imagery; metadata-only scout.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/sophia_wilson/operator_review_002.jpg
NWSLSCOUT007,nwsl_portland_thorns_sophia_wilson,https://www.thorns.com/news/portland-thorns-fall-3-4-to-san-diego-wave,official_team_recap,Portland Thorns Sophia Wilson Wave match recap,Recent official team recap with Sophia Wilson goal and assist context; reject if extracted image is team header or wide field-only.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/sophia_wilson/operator_review_003.jpg
NWSLSCOUT008,nwsl_portland_thorns_olivia_moultrie,https://www.thorns.com/news/thorns-grab-their-third-win-of-the-week-2-0-over-chicago-stars,official_team_recap,Portland Thorns Olivia Moultrie 100th appearance recap,Official team recap with Olivia Moultrie goal and assist context; metadata-only and no source enablement.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/olivia_moultrie/operator_review_001.jpg
NWSLSCOUT009,nwsl_portland_thorns_sophia_wilson,https://www.thorns.com/news/match-recap-portland-thorns-fall-3-1-to-racing-louisville-fc,official_team_recap,Portland Thorns Sophia Wilson early goal recap,Official team recap with Sophia Wilson third goal context; review for solo action only.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/sophia_wilson/operator_review_004.jpg
NWSLSCOUT010,nwsl_kansas_city_current_temwa_chawinga,https://www.kansascitycurrent.com/news/kansas-city-current-closes-may-with-historic-1-0-victory-ove,official_team_recap,Kansas City Current Chawinga May winner match report,Official team recap with Temwa Chawinga game-winning goal context; metadata-only candidate scout.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/temwa_chawinga/operator_review_004.jpg
