script_version,rank,editorial_decision,recommended_timing,editorial_score,priority_score,source_quality,source_tier,eligibility_passed,eligibility_reason,time_sensitive,verification_needed,sensitive,duplicate_status,related_story_count,cluster_rank,cluster_id,primary_entity,content_lane,content_bucket,sport,story_type,source,headline,link,post_format,hook,first_slide,carousel_outline,instagram_angle,why_it_matters,caption_starter,visual_brief,hashtags,published,age_hours,decision_reason,score_reason,notes
v11_final,1,Must Post,Post ASAP,81,9,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,5,1,wnba::paige bueckers,Paige Bueckers,Star-driven engagement,Star Watch,WNBA,Record / Milestone,Associated Press,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96",https://sports.yahoo.com/articles/arike-ogunbowales-30-points-paige-043500213.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,"Milestone watch: Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96 What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-06T04:35:00+00:00,11.3,"High-score, timely, verified hard-news story.","Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 9/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,2,Must Post,Post ASAP,79,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,No,No,No,Primary,3,1,wnba::caitlin_clark_records,Caitlin Clark,Star-driven engagement,Star Watch,WNBA,Record / Milestone,Just Women's Sports,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",https://justwomenssports.com/reads/2026-wnba-player-stats-trends-aja-wilson-caitlin-clark-wnba-games/,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,"Milestone watch: A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026 What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-05T17:42:38+00:00,22.2,"High-score, timely, verified hard-news story.","Record or milestone. Fresh under 24 hours. Core brand sport: WNBA. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,3,Verify First,Verify first,79,8,6,Other,Yes,Passed: clear women's sports signal.,No,Yes,No,Primary,2,1,wnba::angel reese,Angel Reese,Star-driven engagement,Star Watch,WNBA,Record / Milestone,Hardwood Heroics,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,https://sports.yahoo.com/articles/momentum-changer-angel-reese-earns-132809579.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: “It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-06T13:28:09+00:00,2.4,Needs stronger confirmation before posting.,"Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,4,Maybe Post,Use when convenient,75,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,No,No,No,Primary,62,1,softball::texas_wcws_title,Reese Atwood,Star-driven engagement,Star Watch,Softball,Record / Milestone,Just Women's Sports,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,https://justwomenssports.com/reads/texas-softball-reese-atwood-wcws-championship-ausl-2026/,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS,2026-06-05T19:55:08+00:00,20.0,"Strong candidate, but not mandatory.","Record or milestone. Fresh under 24 hours. Strong secondary sport: Softball. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,5,Maybe Post,Post within 2 hours if still fresh,69,7,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,3,1,softball::saint_leo_softball_title,,Game coverage,Tonight / Game Coverage,Softball,Game Recap / Result,NCAA.com,Saint Leo wins 2026 NCAA DII softball championship,https://news.google.com/rss/articles/CBMipwFBVV95cUxNYW50N0xZMlBsaWVzTlZ5OVR4dmgxU3dkMVp6YlI5eGJfejVza2VLdlhmUGJyMk1oMGJUazFTMFo5dUxXNTFxNGpFM21OSWhCRXNjMUVuVlJzQ05Iekk0MlIzUzRJWk15MEN4SG9lTmtGOG8tdnEzaGRaSnU1NFdXZWw3UFJqUHBvcUJxQnhycXNWTjh0a213ZzFWZE90aFFPV2pUbGM1VQ?oc=5,Story post,Here is the quick version of what happened and why it matters.,Quick recap: Saint Leo wins 2026 NCAA DII softball championship,Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Softball fans.",This is timely Softball coverage with a result fans may want explained quickly.,Saint Leo wins 2026 NCAA DII softball championship Here is the quick breakdown and why it matters.,"Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS,2026-06-05T02:46:14+00:00,37.1,"Strong candidate, but not mandatory.",Championship or major result. Aging under 48 hours. Strong secondary sport: Softball. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,6,Save for Weekend,Save for weekend or filler slot,67,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,ncaa women's basketball::notre_dame_women's_basketball_hires_former_assistant_coach,,College spotlight,College Spotlight,NCAA Women's Basketball,Breaking / Transaction,Yahoo Sports,Notre Dame Women’s basketball hires former player as assistant coach,https://news.google.com/rss/articles/CBMiigFBVV95cUxPOGxiTENSeGtPd2tBX2x4aFdOOVVvRUJ2anlTdWtvQ1BWbTFQeGdFd1ZkcWtrN0JwV3h1ZHU1X2ZZM25nOWc4d0ZFTkxyb0JMYlozMDRQQzZBb1N0VGlwbW5CbEwwZWtlYmJ6YkIwOHFBcFBKR3hwXzcwZmt6bnc3Vm4yOE1Pa1V4MlE?oc=5,Story post,Notre Dame Women’s basketball hires former player as assistant coach,Notre Dame Women’s basketball hires former player as assistant coach,Slide 1: headline | Slide 2: context | Slide 3: why it matters | Slide 4: audience question,Quick hit: Notre Dame Women’s basketball hires former player as assistant coach,"This is a useful update, but it should be weighed against stronger stories.",Notre Dame Women’s basketball hires former player as assistant coach What should we cover next?,"Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball,2026-06-06T11:02:53+00:00,4.9,Useful but not urgent.,Confirmed breaking or transaction story. Fresh under 6 hours. Core brand sport: NCAA Women's Basketball. Source quality 9/10. Engagement: normal interest. Penalties: no major penalties.,
v11_final,7,Save for Weekend,Post within 2 hours if still fresh,66,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,6,1,women's sports::mirra andreeva,Mirra Andreeva,Star-driven engagement,Tonight / Game Coverage,Women's Sports,Game Recap / Result,USA Today,Mirra Andreeva defeats Maja Chwalińska in French Open to win first Grand Slam,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQZXhPb2F3SDV3WTB0UU1MUTF4a0xwQnA3cnFGQjhyYlRiSllZdW9WZlBQOU5UT2p0d0oxUWhNVU11MDREQldtUDhuNDBtYUdGLTRHblBEYU1HSVlnNzdlVXpyNDVGX3o4NE0zYkw3WXoxaWF5QXVJUUZuRjFUbmNKSWR0SGVfOVd5aW93OE9ITzFnZ0dFc2tkZDl1Y3JjcDRMakViOVNlazJESDdtM0NBREdHSm11Y290Vktaa05kRDhjQkstQWFnRlFhcU1kR0t1SVY1X0ZIbEs2dkxs?oc=5,Story post,Here is the quick version of what happened and why it matters.,Quick recap: Mirra Andreeva defeats Maja Chwalińska in French Open to win first Grand Slam,Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Women's Sports fans.",This is timely Women's Sports coverage with a result fans may want explained quickly.,Mirra Andreeva defeats Maja Chwalińska in French Open to win first Grand Slam Here is the quick breakdown and why it matters.,"Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews,2026-06-06T15:10:00+00:00,0.7,Useful but not urgent.,"Game result. Fresh under 6 hours. General women's sports fit. Source quality 9/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,8,Save for Weekend,Post during daytime engagement window,62,7,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,ncaa women's basketball::dawn staley,Dawn Staley,Star-driven engagement,Roster / Recruiting,NCAA Women's Basketball,Recruiting / Roster News,Just Women's Sports,Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards,https://justwomenssports.com/reads/dawn-staley-south-carolina-womens-basketball-oliviyah-edwards-recruiting/,Roster/recruiting graphic,The next wave of talent is already changing the future.,Roster watch: Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards,Slide 1: roster/recruiting news | Slide 2: who is involved | Slide 3: why it matters | Slide 4: what comes next,A future-star angle with a clear roster-building hook.,Recruiting and roster stories show where the next wave of stars is coming from.,Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards How big is this move for the program?,"Use a roster/recruiting graphic with the player, school/team, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball,2026-06-05T16:08:29+00:00,23.8,Useful but not urgent.,"Recruiting or roster-building story. Fresh under 24 hours. Core brand sport: NCAA Women's Basketball. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,9,Save for Weekend,Post during daytime engagement window,61,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,61,1,golf::us_womens_open,U.S. Women'S Open,Growth of the game,Growth of the Game,Golf / LPGA,Business / Growth,Yahoo Sports,U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million,https://news.google.com/rss/articles/CBMifkFVX3lxTE9iN1dEVTNVUzVTaktXVHNpaUNGTmczbF9wc3dmREJkdjlMVW9LUTE3bWpIclUxNjVqWmIzeXpZNUwwc3FXTnZtWFo2QVZCWjFZOXhNMXNPalAySURmWk1jY0U3TTNReVNreHdGdmtrZE42VWIyQnZYSEN5ZXZ4QQ?oc=5,Data carousel,Women's sports are becoming impossible for the business world to ignore.,The business of women's sports keeps growing: U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million,Slide 1: headline stat | Slide 2: what changed | Slide 3: why it matters | Slide 4: what comes next,The business of women's sports is not emerging anymore. It is becoming big business.,This helps show the business momentum behind women's sports.,U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million The growth of women's sports keeps getting harder to ignore.,Use a clean data carousel with bold numbers and simple context.,#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf,2026-06-05T00:22:00+00:00,39.5,Useful but not urgent.,Business/growth story. Recent under 72 hours. Strong secondary sport: Golf / LPGA. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,10,Save for Weekend,Post during daytime engagement window,60,6,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,tennis::queen's_club_411_dates_who's_playing_prize_money,,Growth of the game,Growth of the Game,Tennis,Business / Growth,WTA Tennis,"Queen's Club 411: Dates, who's playing, prize money and more",https://news.google.com/rss/articles/CBMisgFBVV95cUxNT1RkU1kyWG1YeHFzNXBxUWNtVmV4dTZSRWlfZzlua1lxN3BvUEFIdjRkWU11TjNNYWRGNWtVTVoyVlJySkd1ZXRpNU9IT05WR2NXVHc5ektkSXFCTk1xUDUtSkFlNEpxcy1VNGhzTGpkUXdKU3U4WU00cFN6U2tPTm1aZENadmRmd2VONExoeDIwbjJ4M3VJblJnYlUzbUIxR2hUZmFuaGNuSTlBQTl0cjZB?oc=5,Data carousel,Women's sports are becoming impossible for the business world to ignore.,"The business of women's sports keeps growing: Queen's Club 411: Dates, who's playing, prize money and more",Slide 1: headline stat | Slide 2: what changed | Slide 3: why it matters | Slide 4: what comes next,The business of women's sports is not emerging anymore. It is becoming big business.,This helps show the business momentum behind women's sports.,"Queen's Club 411: Dates, who's playing, prize money and more The growth of women's sports keeps getting harder to ignore.",Use a clean data carousel with bold numbers and simple context.,#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,2026-06-05T13:50:48+00:00,26.1,Useful but not urgent.,Business/growth story. Recent under 72 hours. Strong secondary sport: Tennis. Source quality 10/10. Engagement: normal interest. Penalties: no major penalties.,
