source_map_order,sport_family,sport_label,league_name,source_lane,asset_domain,source_category,source_tier,source_type,source_url_or_search_macro,source_domain,existing_source_priority_rows,source_priority_filter,evidence_use,source_confidence,operator_verify_required,roster_truth_limit,image_action_photo_fit,known_limitations,next_operator_action,manual_return_intake_hint,allowed_for_download_approved_yes,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,logo_writes,segmentation_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
SM01,womens_hockey,Women's Hockey,Professional Women's Hockey League,official_logo_league_team_pages,logo,official_league_or_team_page,P0_OFFICIAL_FREE_PUBLIC,existing_source_priority_rows,https://www.thepwhl.com/en/teams/boston-fleet,www.thepwhl.com,13,sport_family=womens_hockey;asset_domain=logo,league/team mark identity source candidate; not a local logo asset,high_after_manual_logo_source_review,yes,logo_identity_only_not_roster_truth,not_action_photo,source page is not a downloadable asset and does not approve renderer trust without local candidate review,Use logo contact sheet and intake readiness summary; keep registry hold-only until local logo candidate and separate human approval exist.,data/asset_registry/hockey_softball_intake_readiness_summary.csv,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM02,womens_hockey,Women's Hockey,Professional Women's Hockey League,official_roster_team_player_pages,athlete_photo,verification_only_player_or_roster_page,P0_OFFICIAL_FREE_PUBLIC,existing_source_priority_rows,https://www.thepwhl.com/en/stats/player-stats,www.thepwhl.com,36,sport_family=womens_hockey;asset_domain=athlete_photo,official roster/team/profile identity anchor; not roster truth until manual confirmation,high_for_identity_anchor_after_manual_review,yes,not_roster_truth_until_human_confirms_current_team_and_named_player,identity_anchor_only,does not provide a local headshot/action-photo asset and does not approve identity or source rights automatically,"Open the source verification checklist; after manual source-page review, fill source-review fields only and keep identity/local-file approval held.",data/asset_registry/hockey_softball_source_verification_checklist.csv,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM03,womens_hockey,Women's Hockey,Professional Women's Hockey League,official_action_photo_gallery_search,action_photo,official_league_gallery,P0_OFFICIAL_FREE_PUBLIC,search_macro,"""[athlete]"" PWHL ""[team]"" gallery OR recap site:thepwhl.com",www.thepwhl.com,0,,PWHL event/gallery lead; player/team/date context and official caption clues,medium_high_after_manual_url_review,yes,advisory_discovery_not_roster_truth_or_approval,potential_action_photo_candidate_discovery,URL/search lead only; no files may be downloaded and no render-feed trust changes from this board.,Paste URL/evidence leads into a future human-edited research return intake; keep download and approval fields blank/no.,future_human_edited_hockey_softball_source_research_return_intake,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM04,womens_hockey,Women's Hockey,Professional Women's Hockey League,reputable_news_editorial_search,action_photo,editorial_wire_or_reputable_newsroom,P1_RIGHTS_SENSITIVE_PUBLIC_REVIEW,search_macro,"""[athlete]"" PWHL game action Getty OR AP OR Reuters OR Imagn OR Ice Garden OR Inside the Rink",gettyimages.com;apnews.com;reuters.com;imagn.com;theicegarden.com;insidetherink.com,0,,caption/event/photographer/context lead only; rights-sensitive manual review required,medium_after_manual_source_review,yes,advisory_discovery_not_roster_truth_or_approval,potential_high_action_fit_if_identity_and_rights_are_clear,URL/search lead only; no files may be downloaded and no render-feed trust changes from this board.,Paste URL/evidence leads into a future human-edited research return intake; keep download and approval fields blank/no.,future_human_edited_hockey_softball_source_research_return_intake,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM05,womens_hockey,Women's Hockey,Professional Women's Hockey League,official_social_discovery,action_photo,official_social,P2_DISCOVERY_ONLY,search_macro,"""[athlete]"" PWHL ""[team]"" site:instagram.com OR site:x.com OR site:tiktok.com",instagram.com;x.com;tiktok.com,0,,official account discovery lead and caption context only,low_until_account_and_context_verified,yes,advisory_discovery_not_roster_truth_or_approval,discovery_only_not_download_or_approval,URL/search lead only; no files may be downloaded and no render-feed trust changes from this board.,Paste URL/evidence leads into a future human-edited research return intake; keep download and approval fields blank/no.,future_human_edited_hockey_softball_source_research_return_intake,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM06,womens_hockey,Women's Hockey,Professional Women's Hockey League,gray_area_public_parking_lot,action_photo,gray_area_public_lead,P5_PARK_ONLY,search_macro,"""[athlete]"" PWHL action photo public gallery",operator_review_required,0,,parking lot for possibly useful public leads when official/reputable coverage is thin,low_gray_area_lead_only,yes,advisory_discovery_not_roster_truth_or_approval,park_only_until_stronger_source_found,URL/search lead only; no files may be downloaded and no render-feed trust changes from this board.,Paste URL/evidence leads into a future human-edited research return intake; keep download and approval fields blank/no.,future_human_edited_hockey_softball_source_research_return_intake,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM07,softball,Softball,Athletes Unlimited Softball League,official_logo_league_team_pages,logo,official_league_or_team_page,P0_OFFICIAL_FREE_PUBLIC,existing_source_priority_rows,https://theausl.com/,theausl.com,7,sport_family=softball;asset_domain=logo,league/team mark identity source candidate; not a local logo asset,high_after_manual_logo_source_review,yes,logo_identity_only_not_roster_truth,not_action_photo,source page is not a downloadable asset and does not approve renderer trust without local candidate review,Use logo contact sheet and intake readiness summary; keep registry hold-only until local logo candidate and separate human approval exist.,data/asset_registry/hockey_softball_intake_readiness_summary.csv,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM08,softball,Softball,Athletes Unlimited Softball League,official_roster_team_player_pages,athlete_photo,verification_only_player_or_roster_page,P0_OFFICIAL_FREE_PUBLIC,existing_source_priority_rows,https://theausl.com/players/,theausl.com,18,sport_family=softball;asset_domain=athlete_photo,official roster/team/profile identity anchor; not roster truth until manual confirmation,high_for_identity_anchor_after_manual_review,yes,not_roster_truth_until_human_confirms_current_team_and_named_player,identity_anchor_only,does not provide a local headshot/action-photo asset and does not approve identity or source rights automatically,"Open the source verification checklist; after manual source-page review, fill source-review fields only and keep identity/local-file approval held.",data/asset_registry/hockey_softball_source_verification_checklist.csv,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM09,softball,Softball,Athletes Unlimited Softball League,official_action_photo_gallery_search,action_photo,official_league_gallery,P0_OFFICIAL_FREE_PUBLIC,search_macro,"""[athlete]"" AUSL softball action gallery OR recap site:theausl.com OR site:auprosports.com",theausl.com;auprosports.com,0,,AUSL/Athletes Unlimited event-gallery lead; player/team/session context and caption clues,medium_high_after_manual_url_review,yes,advisory_discovery_not_roster_truth_or_approval,potential_action_photo_candidate_discovery,URL/search lead only; no files may be downloaded and no render-feed trust changes from this board.,Paste URL/evidence leads into a future human-edited research return intake; keep download and approval fields blank/no.,future_human_edited_hockey_softball_source_research_return_intake,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM10,softball,Softball,Athletes Unlimited Softball League,reputable_news_editorial_search,action_photo,editorial_wire_or_reputable_newsroom,P1_RIGHTS_SENSITIVE_PUBLIC_REVIEW,search_macro,"""[athlete]"" AUSL softball action Getty OR AP OR Reuters OR Imagn OR local sports gallery",gettyimages.com;apnews.com;reuters.com;imagn.com;operator_review_required,0,,caption/event/photographer/context lead only; rights-sensitive manual review required,medium_after_manual_source_review,yes,advisory_discovery_not_roster_truth_or_approval,potential_high_action_fit_if_identity_and_rights_are_clear,URL/search lead only; no files may be downloaded and no render-feed trust changes from this board.,Paste URL/evidence leads into a future human-edited research return intake; keep download and approval fields blank/no.,future_human_edited_hockey_softball_source_research_return_intake,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM11,softball,Softball,Athletes Unlimited Softball League,official_social_discovery,action_photo,official_social,P2_DISCOVERY_ONLY,search_macro,"""[athlete]"" AUSL softball site:instagram.com OR site:x.com OR site:tiktok.com",instagram.com;x.com;tiktok.com,0,,official account discovery lead and caption context only,low_until_account_and_context_verified,yes,advisory_discovery_not_roster_truth_or_approval,discovery_only_not_download_or_approval,URL/search lead only; no files may be downloaded and no render-feed trust changes from this board.,Paste URL/evidence leads into a future human-edited research return intake; keep download and approval fields blank/no.,future_human_edited_hockey_softball_source_research_return_intake,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
SM12,softball,Softball,Athletes Unlimited Softball League,gray_area_public_parking_lot,action_photo,gray_area_public_lead,P5_PARK_ONLY,search_macro,"""[athlete]"" AUSL softball action photo public gallery",operator_review_required,0,,parking lot for possibly useful public leads when official/reputable coverage is thin,low_gray_area_lead_only,yes,advisory_discovery_not_roster_truth_or_approval,park_only_until_stronger_source_found,URL/search lead only; no files may be downloaded and no render-feed trust changes from this board.,Paste URL/evidence leads into a future human-edited research return intake; keep download and approval fields blank/no.,future_human_edited_hockey_softball_source_research_return_intake,false,no,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
