schema_field_id,return_field,field_group,required_when,allowed_values_or_format,example_value,operator_prompt_note,validation_note,source_artifact,downstream_target,download_approved,generated_source_url,generated_entity_id,generated_rights_class,generated_identity_confidence,generated_intended_review_only_use,operator_verify_required,review_only,publish_ready,source_fetching,image_file_writes,segmentation,background_removal,approval_state_change,publish_action
APLRS001,source_discovery_id,source_lane,always,APSD### or operator_triage_only,APSD002,Carry the source discovery row that produced the lead.,Must match a source discovery board ID or be explicitly operator_triage_only.,data/asset_registry/action_photo_candidates/review_only_action_photo_source_discovery_board_v1.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,no,,,,,,yes,true,false,false,false,false,false,none,none_artifact_only
APLRS002,candidate_queue_id,routing,always,APQ###,APQ001,Map the lead back to the existing action-photo queue.,Must match an existing candidate queue ID before paste-back validation.,data/asset_registry/action_photo_candidates/review_only_action_photo_source_discovery_board_v1.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,no,,,,,,yes,true,false,false,false,false,false,none,none_artifact_only
APLRS003,candidate_photo_url,url_evidence,always,https URL to source/candidate page; not a downloaded file URL,https://example.com/gallery/photo-page,Return the page where the candidate action photo is visible or described.,"Do not return hotlinked image binaries, CDN-only URLs, screenshots, or cached files.",data/asset_registry/action_photo_candidates/review_only_action_photo_source_discovery_board_v1.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,no,,,,,,yes,true,false,false,false,false,false,none,none_artifact_only
APLRS004,evidence_url,url_evidence,always,"https URL to recap, gallery, match report, or source context",https://example.com/match-recap,"Return separate evidence for event, source, or caption context when available.",Required for any pasted lead row.,data/asset_registry/action_photo_candidates/review_only_action_photo_source_discovery_board_v1.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,no,,,,,,yes,true,false,false,false,false,false,none,none_artifact_only
APLRS005,identity_anchor_url,identity,always,"official roster/player profile, stats page, game sheet, or verified profile URL",https://example.com/player-profile,Give the operator a way to verify athlete identity outside the image.,Required for any pasted lead row.,data/asset_registry/action_photo_candidates/review_only_action_photo_source_discovery_board_v1.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,no,,,,,,yes,true,false,false,false,false,false,none,none_artifact_only
APLRS006,sport,context,always,controlled human-readable sport label,basketball,Echo the sport from the source discovery/queue context.,Must not invent sport context from image appearance alone.,data/asset_registry/action_photo_candidates/review_only_action_photo_source_discovery_board_v1.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,no,,,,,,yes,true,false,false,false,false,false,none,none_artifact_only
APLRS007,league_entity,context,always,league/team/event entity label,WNBA,Echo league or event entity used for research.,Must align with source discovery board and queue context.,data/asset_registry/action_photo_candidates/review_only_action_photo_source_discovery_board_v1.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,no,,,,,,yes,true,false,false,false,false,false,none,none_artifact_only
APLRS008,match_or_event_context,context,when_visible_or_claimed,"date, opponent, tournament, game, round, or recap context","Indiana Fever vs opponent, final-score recap",Capture why the moment is tied to a real sports event.,"Mark operator verification when date, opponent, or event is incomplete.",data/asset_registry/action_photo_candidates/review_only_action_photo_source_discovery_board_v1.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,no,,,,,,yes,true,false,false,false,false,false,none,none_artifact_only
APLRS009,athlete_name_claimed,identity,when_visible_or_claimed,athlete/person/team name as claimed by source,Kelsey Mitchell,Capture the source-caption identity claim without treating it as final approval.,Needs identity anchor and operator verification.,data/asset_registry/action_photo_candidates/review_only_action_photo_source_discovery_board_v1.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,no,,,,,,yes,true,false,false,false,false,false,none,none_artifact_only
APLRS010,action_moment_type,action_quality,always,drive|shot|save|swing|pitch|slide|celebration|defense|serve|putt|operator_fill,transition_drive,Describe the sports action or emotion visible in the candidate.,"Headshot, roster portrait, static pose, and media-day cues should be flagged low value.",data/asset_registry/action_photo_candidates/review_only_action_photo_source_discovery_board_v1.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,no,,,,,,yes,true,false,false,false,false,false,none,none_artifact_only
