board_id,sport,entity,source_type,source_lane,url_or_manual_query_placeholder,discovery_purpose,action_photo_usefulness,official_free_public_status,risk_review_notes,known_newsroom_social_manual_slot,paste_back_target,operator_found_url,operator_candidate_source_name,operator_candidate_entity_id,operator_candidate_rights_class,operator_candidate_identity_confidence,operator_intended_review_only_use,operator_decision,operator_review_notes,operator_reviewer,operator_reviewed_at_utc,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,review_only,publish_ready,approval_state_change,publish_action,asset_downloads,source_fetching,auto_source_enablement,auto_approval
APSMB001,basketball,WNBA,official league/team gallery,official,{player_name} {team} site:wnba.com OR site:{team}.wnba.com photos OR gallery OR recap,"Find source pages with captions, event context, and an official player/team anchor.","high - likely game action, uniforms, arena context, and current team identity",official_free_public_review_needed,"Official/public page is a lead only; no rights, download, or render approval is implied.",official_gallery,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,,,,,,,,,,,no,,,,,,true,false,none,none_artifact_only,false,false,false,false
APSMB002,basketball,WNBA,newsroom/editorial wire,reputable_public,{player_name} WNBA action site:gettyimages.com OR site:apnews.com OR site:reuters.com,Park high-signal editorial candidates with separate identity and event proof.,high - strong action and emotion but rights-sensitive,public_rights_sensitive_manual_review,Wire/newsroom previews are evidence leads only; never save preview files or watermarked images.,known_newsroom,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,,,,,,,,,,,no,,,,,,true,false,none,none_artifact_only,false,false,false,false
APSMB003,soccer,NWSL,official league/team gallery,official,{player_name} {club} site:nwslsoccer.com OR site:{club_domain} photos OR gallery OR recap,Find official club/league match galleries or recaps for candidate action moments.,high - match action with club context and roster anchors,official_free_public_review_needed,Team/league pages need manual rights review; use only source-page URL evidence.,official_gallery,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,,,,,,,,,,,no,,,,,,true,false,none,none_artifact_only,false,false,false,false
APSMB004,soccer,NWSL,newsroom/social/manual research,public,{player_name} {club} NWSL action photo ISI OR local newsroom OR official social,"Create a manual slot for credentialed galleries, local newsroom pages, and official social leads.",medium - may reveal strong action leads but provenance varies by surface,public_or_social_uncleared,"Social and newsroom rows require source, credit, event, and identity review before any next step.",known_newsroom_social_manual,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,,,,,,,,,,,no,,,,,,true,false,none,none_artifact_only,false,false,false,false
APSMB005,soccer,USWNT / U.S. Soccer,official federation/tournament,official,{player_name} USWNT match action site:ussoccer.com OR official tournament gallery,Find national-team action leads with official match or roster context.,high - national-team visuals and event context can lift premium renders later,official_free_public_review_needed,National-team context still needs manual event/date/rights review.,official_gallery,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,,,,,,,,,,,no,,,,,,true,false,none,none_artifact_only,false,false,false,false
APSMB006,college basketball,NCAA women's basketball,official tournament/school,official,{player_name} NCAA women's basketball action site:ncaa.com OR ncaaphotos photoshelter OR site:{school}.edu recap,"Map championship, school recap, and roster anchors for manual candidate research.",medium - useful for tournament action but often partner/licensed,official_partner_or_school_public_review_needed,NCAA Photos and school pages are not download permission; keep as URL evidence.,official_gallery_manual,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,,,,,,,,,,,no,,,,,,true,false,none,none_artifact_only,false,false,false,false
APSMB007,college soccer,NCAA women's soccer,official tournament/school,official,{player_name} NCAA women's soccer action site:ncaa.com OR ncaaphotos photoshelter OR site:{school}.edu recap,Add a soccer-specific NCAA lane for official tournament and school action-photo leads.,medium - useful for match action when school/tournament context is clear,official_partner_or_school_public_review_needed,"Verify school roster, event, and image credit; do not infer rights from official hosting.",official_gallery_manual,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,,,,,,,,,,,no,,,,,,true,false,none,none_artifact_only,false,false,false,false
APSMB008,tennis,WTA / Grand Slam / tournament,official tournament/newsroom,official,{player_name} tennis action site:wtatennis.com OR official tournament gallery OR site:gettyimages.com,Locate tournament story/gallery leads and separate player identity anchors.,"medium - strong athletic motion, but many surfaces are editorial/licensed",official_or_public_rights_sensitive,"Preserve tournament/page URL; no cropped, wallpaper, or image-search thumbnail leads.",official_newsroom_manual,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,,,,,,,,,,,no,,,,,,true,false,none,none_artifact_only,false,false,false,false
APSMB009,golf,LPGA / tournament,official tournament/newsroom,official,{player_name} LPGA swing action site:lpga.com OR official tournament gallery OR site:gettyimages.com,Locate tournament/player action leads with official leaderboard or profile anchors.,"medium - swing/celebration images can help, generic stock-like golf images do not",official_or_public_rights_sensitive,Golf rows need player/event identity context; generic swing imagery is too weak.,official_newsroom_manual,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,,,,,,,,,,,no,,,,,,true,false,none,none_artifact_only,false,false,false,false
APSMB010,multi-sport,Official social slot,official social,public,{player_name} action photo official Instagram OR X OR team social post source page,Reserve a known social lane for official posts that may point to stronger source pages.,"low_to_medium - discovery clue only unless source, credit, and event proof are clear",social_uncleared_public_lead,Official social is not approval; paste only source-page leads and keep rights fields blank.,known_social,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,,,,,,,,,,,no,,,,,,true,false,none,none_artifact_only,false,false,false,false
