script_version,editorial_decision,editorial_score,priority_score,source_quality,source_tier,eligibility_passed,eligibility_reason,recommended_timing,decision_reason,score_reason,freshness_component,story_value_component,brand_fit_component,engagement_component,source_component,penalty_component,content_bucket,content_lane,sport,story_type,source,title,published,age_hours,link,post_format,hook,first_slide,carousel_outline,instagram_angle,why_it_matters,caption_starter,visual_brief,hashtags,primary_entity,cluster_id,cluster_rank,related_story_count,duplicate_status,verification_needed,sensitive,time_sensitive,categories,summary
v11_final,Must Post,84,9,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Post ASAP,"High-score, timely, verified hard-news story.","Championship or major result. Fresh under 12 hours. Strong secondary sport: Golf / LPGA. Source quality 9/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",12,40,10,10,12,0,Tonight / Game Coverage,Star-driven engagement,Golf / LPGA,Game Recap / Result,AP News,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",2026-06-08T02:14:00+00:00,10.6,https://news.google.com/rss/articles/CBMinAFBVV95cUxPSl9BNUp5YkFZWEFOTEZ1dkYzN2hFV0VEcFZYbGttWEFWWm5vRFExOHVrQzlFcWxzS2QxOFFhaVdWNHVWX1BsYkhWMlpxZ1pLaDIzZi11RkhNWGdNVUc5YVVFaExUUzJ5NldnSnZRN01yVVp5VW95MUZLZzZObWlUYW84OEhWdlFCU3BWVWxWN0ROUkg5VzB4Y2pLMUU?oc=5,Breaking graphic + carousel,Here is the quick version of what happened and why it matters.,"Quick recap: Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Golf / LPGA fans.",This is timely Golf / LPGA coverage with a result fans may want explained quickly.,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major Here is the quick breakdown and why it matters.","Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf,Nelly Korda,golf::us_womens_open,1,72,Primary,No,No,Yes,,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major AP News"
v11_final,Skip Duplicate,82,9,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Post ASAP,Another stronger version of this topic already exists.,"Championship or major result. Fresh under 12 hours. Strong secondary sport: Golf / LPGA. Source quality 9/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",12,40,10,8,12,0,Tonight / Game Coverage,Star-driven engagement,Golf / LPGA,Game Recap / Result,USA Today,"Nelly Korda wins US Women's Open: Leaderboard, highlights from final round",2026-06-08T01:47:00+00:00,11.1,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNNHVFWXllSjdpX1ZVbVNySWNZSzFmY2p6Qjd4YkhjbVhMOU1ucTd3RVhERnpBd3FoMVBGaGZ3bGNtZ1RhVlhMcjdZaHVQTFhBR09sWThPVEVDWmZHb3dIMVB5YWxXQzhPVm14OVJ0aUhBRzNEZlBJMjFEVG1LWjBkNWF2b3pTbldZVjlfSmdlNktzWXRFNjdpN0E0aEtILVgtS3J6V0RmT2xLbWlmdUJ2OFNMVWxURzZU?oc=5,Breaking graphic + carousel,Here is the quick version of what happened and why it matters.,"Quick recap: Nelly Korda wins US Women's Open: Leaderboard, highlights from final round",Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Golf / LPGA fans.",This is timely Golf / LPGA coverage with a result fans may want explained quickly.,"Nelly Korda wins US Women's Open: Leaderboard, highlights from final round Here is the quick breakdown and why it matters.","Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf,Nelly Korda,golf::us_womens_open,2,72,Duplicate / alternate angle,No,No,Yes,,"Nelly Korda wins US Women's Open: Leaderboard, highlights from final round USA Today"
v11_final,Skip Duplicate,79,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Post ASAP,Another stronger version of this topic already exists.,"Record or milestone. Fresh under 12 hours. Strong secondary sport: Golf / LPGA. Source quality 9/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",12,35,10,10,12,0,Star Watch,Star-driven engagement,Golf / LPGA,Record / Milestone,Yahoo Sports,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,2026-06-08T03:28:00+00:00,9.4,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNclBwRHVsTER2cDlORWxGZmhiY1JoVU1oU1IzRGFsS1ROamZvSDlKcG8xOWEzRjFMOWNUU29IeFI1dUZISHZPWFpidzdWS2g2Y1d3MHZsVWZqQUFYZGRvb2ZHZkVVSkZkQkVZNmoyOTJWUTFFSkJucWFwMHNHVURvY1psaVhWOFFTNEhv?oc=5,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Nelly Korda continues her historic march with 2026 U.S. Women's Open title What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf,Nelly Korda,golf::us_womens_open,3,72,Duplicate / alternate angle,No,No,No,,Nelly Korda continues her historic march with 2026 U.S. Women's Open title Yahoo Sports
v11_final,Skip Duplicate,77,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Post ASAP,Another stronger version of this topic already exists.,"Record or milestone. Fresh under 12 hours. Strong secondary sport: Golf / LPGA. Source quality 9/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",12,35,10,8,12,0,Star Watch,Star-driven engagement,Golf / LPGA,Record / Milestone,Yahoo Sports,Nelly Korda picks up historic U.S. Women's Open win by mere inches at Riviera to further bolster legacy,2026-06-08T01:52:00+00:00,11.0,https://news.google.com/rss/articles/CBMi6AFBVV95cUxPbXpTM29aRFUzLVVTZ1BwenBqYU1yVUl0akxYdnNnNU1IVm94YXRUZXhlSXptV3lFZ0hBN1RwVHluUFg1OWJFdWg5YU9aSDJhZzdoeG9uYnBrTER4Z0d0UHFxbWFvaWN5azRjYzZVQkYwYUVSWHBZOXpDbFpZNHdzX3JZRVliRk1McnRtYXNfQ0ttWElvS0hJckM3YWlRTGpVVU9GbmppN3hMUGt4cndSdEFjNW1tM3htVENyV0x0OHhuRUJUcGpmaGtXSndvdzNRRUN6U3FwalZUZU1JRFdkOEFtdlFiMUdQ?oc=5,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: Nelly Korda picks up historic U.S. Women's Open win by mere inches at Riviera to further bolster legacy,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Nelly Korda picks up historic U.S. Women's Open win by mere inches at Riviera to further bolster legacy What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf,Nelly Korda,golf::us_womens_open,4,72,Duplicate / alternate angle,No,No,No,,Nelly Korda picks up historic U.S. Women's Open win by mere inches at Riviera to further bolster legacy Yahoo Sports
v11_final,Must Post,76,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Post ASAP,"High-score, timely, verified hard-news story.","Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",7,35,14,10,10,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Just Women's Sports,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",2026-06-05T17:42:38+00:00,67.2,https://justwomenssports.com/reads/2026-wnba-player-stats-trends-aja-wilson-caitlin-clark-wnba-games/,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,"Milestone watch: A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026 What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Caitlin Clark,wnba::caitlin_clark_records,1,2,Primary,No,No,No,"Basketball, News, WNBA, 2026 WNBA season, A'ja Wilson, Caitlin Clark, Indiana Fever, Olivia Miles, WNBA stats","Track the latest record-breaking player stats, standout games, and top rookie scores from the first month of the 2026 WNBA season. The post A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026 appeared first on Just Women's Sports ."
v11_final,Skip Duplicate,76,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Post ASAP,Another stronger version of this topic already exists.,"Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",7,35,14,10,10,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Just Women's Sports,Olivia Miles Breaks Caitlin Clark’s WNBA Rookie Record with 8 3-Pointers,2026-06-05T15:15:24+00:00,69.6,https://justwomenssports.com/reads/olivia-miles-minnesota-lynx-wnba-rookie-stats-record-3-pointers/,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: Olivia Miles Breaks Caitlin Clark’s WNBA Rookie Record with 8 3-Pointers,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Olivia Miles Breaks Caitlin Clark’s WNBA Rookie Record with 8 3-Pointers What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Caitlin Clark,wnba::caitlin_clark_records,2,2,Duplicate / alternate angle,No,No,No,"Basketball, News, WNBA, 2026 WNBA rookies, 2026 WNBA season, Caitlin Clark, Minnesota Lynx, Olivia Miles","Minnesota rookie Olivia Miles made WNBA stats history, breaking Caitlin Clark’s 3-pointer record in Thursday's Lynx vs Valkyries win. The post Olivia Miles Breaks Caitlin Clark’s WNBA Rookie Record with 8 3-Pointers appeared first on Just Women's Sports ."
v11_final,Maybe Post,73,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Use when convenient,"Strong candidate, but not mandatory.",Record or milestone. Fresh under 24 hours. Core brand sport: PWHL / Women's Hockey. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,10,35,14,2,12,0,Daily News,Daily news,PWHL / Women's Hockey,Record / Milestone,Yahoo Sports,PWHL Las Vegas signs first-ever players ahead of inaugural season,2026-06-07T16:25:59+00:00,20.4,https://news.google.com/rss/articles/CBMigAFBVV95cUxORFhhNHRBeW5JMnVhaGtDaGtHdEhCOUUzNDhFTlpEMVZyS05MMHlsY2Ntb0czeVM2bS0yTjBYVVZMQlNScmF0aE51cS1XZkp6X1E0VnJEOC1HaUJGWFpEWV96QWNiVUs3Sllaczdwc09GRHFtUDk2NFZfc2pMZnpjMw?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: PWHL Las Vegas signs first-ever players ahead of inaugural season,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,PWHL Las Vegas signs first-ever players ahead of inaugural season What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey,Pwhl,pwhl / women's hockey::pwhl,1,33,Primary,No,No,No,,PWHL Las Vegas signs first-ever players ahead of inaugural season Yahoo Sports
v11_final,Skip Duplicate,72,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Use when convenient,Another stronger version of this topic already exists.,Record or milestone. Recent under 72 hours. Core brand sport: PWHL / Women's Hockey. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,7,35,14,4,12,0,Daily News,Daily news,PWHL / Women's Hockey,Record / Milestone,Yahoo Sports,Brianne Jenner Heads Home As PWHL Hamilton's Historic First Signing,2026-06-05T19:42:30+00:00,65.2,https://news.google.com/rss/articles/CBMihgFBVV95cUxPeTAxWXJHYTQwVXVfd1d3TVlGYnB2NlQxcGxkMExxeEE3ZG5iWjJIWmhUcWQ1ZjVfdEhRSEtYUi1zVlNpb2hJdWVTSmtzdklETUd6ay05YTFFeHpsbkpwUGJxUWs2T2NkNEpZWmRnLW5UZkJyeDFLQlhzV2d2SkRmTXBBSVhKQQ?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Brianne Jenner Heads Home As PWHL Hamilton's Historic First Signing,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Brianne Jenner Heads Home As PWHL Hamilton's Historic First Signing What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey,Pwhl,pwhl / women's hockey::pwhl,2,33,Duplicate / alternate angle,No,No,No,,Brianne Jenner Heads Home As PWHL Hamilton's Historic First Signing Yahoo Sports
v11_final,Maybe Post,72,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Use when convenient,"Strong candidate, but not mandatory.","Record or milestone. Recent under 72 hours. Strong secondary sport: Softball. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",7,35,10,10,10,0,Star Watch,Star-driven engagement,Softball,Record / Milestone,Just Women's Sports,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,2026-06-05T19:55:08+00:00,64.9,https://justwomenssports.com/reads/texas-softball-reese-atwood-wcws-championship-ausl-2026/,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS,Reese Atwood,softball::texas_wcws_title,1,33,Primary,No,No,No,"NCAA, News, Softball, 2026 AUSL season, 2026 WCWS, AUSL, Reese Atwood, Texas softball",Texas softball legend Reese Atwood crowned her historic career with a second straight WCWS national championship before heading to the AUSL. The post Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships appeared first on Just Women's Sports .
v11_final,Maybe Post,70,7,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Post within 2 hours if still fresh,"Strong candidate, but not mandatory.",Championship or major result. Aging under 48 hours. Core brand sport: WNBA. Source quality 8/10. Engagement: high-interest keyword. Penalties: no major penalties.,2,40,14,4,10,0,Tonight / Game Coverage,Game coverage,WNBA,Game Recap / Result,Swish Appeal,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,2026-06-07T12:00:00+00:00,24.9,https://news.google.com/rss/articles/CBMi7AFBVV95cUxOY283eGRFakt3a2tLNWFhZ09ITzFFVmdnejhFOURWUjRQUTZkY29KeUVwcjRBNlB4Q1lDWGdMaDUzYXdEYmZWR21RM3BhVXdiRnVWR3Yyb2I1elZDNU5rYjFBT1ZnSDk5ak1Qb21PQ2o4b2VhVHNxTGVJbWgzV3pXNVYxeVd5WDRKVUo5QWFMbzdrc2laUWRvc0l6OTJjRmVtRmc1dE9YbVk5QkNqRGtMY1k0WnVRZXBJY0Z3dlFZOEE2cTM1d2NUWjdTR25KOFhudFpvWWs5QjdPUXF5UERGM1FqVlZlUlBoMnR6eQ?oc=5,Story post,Here is the quick version of what happened and why it matters.,Quick recap: WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for WNBA fans.",This is timely WNBA coverage with a result fans may want explained quickly.,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins? Here is the quick breakdown and why it matters.,"Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Portland Fire,wnba::portland fire,1,5,Primary,No,No,Yes,,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins? Swish Appeal
