focus_rank,priority,focus_bucket,source_surface,sport_family,sport_label,league_name,asset_domain,candidate_entity_id,display_name_or_lane,why_row_matters,exact_row_ref,source_priority_row_ref_or_filter,open_first_file,manual_intake_file_to_open,source_or_evidence_to_open,evidence_or_candidate_blocker,next_safe_operator_action,fields_mike_can_fill_now,fields_to_keep_blank_or_no,do_not_do,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,logo_writes,segmentation_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
VF01,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,softball,Softball,Athletes Unlimited Softball League,athlete_photo,carolina_blaze,carolina_blaze,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=1,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=37-39;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=carolina_blaze,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,https://theausl.com/players/ | https://theausl.com/blaze/roster | https://theausl.com/blaze/,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF02,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,softball,Softball,Athletes Unlimited Softball League,athlete_photo,chicago_bandits,chicago_bandits,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=2,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=40-42;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=chicago_bandits,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,https://theausl.com/players/ | https://theausl.com/bandits/roster | https://theausl.com/bandits/,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF03,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,softball,Softball,Athletes Unlimited Softball League,athlete_photo,oklahoma_city_spark,oklahoma_city_spark,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=3,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=43-45;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=oklahoma_city_spark,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,https://theausl.com/players/ | https://theausl.com/spark/roster | https://theausl.com/spark/,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF04,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,softball,Softball,Athletes Unlimited Softball League,athlete_photo,portland_cascade,portland_cascade,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=4,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=46-48;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=portland_cascade,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,https://theausl.com/players/ | https://theausl.com/cascade/roster | https://theausl.com/cascade/,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF05,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,softball,Softball,Athletes Unlimited Softball League,athlete_photo,texas_volts,texas_volts,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=5,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=49-51;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=texas_volts,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,https://theausl.com/players/ | https://theausl.com/volts/roster | https://theausl.com/volts/,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF06,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,softball,Softball,Athletes Unlimited Softball League,athlete_photo,utah_talons,utah_talons,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=6,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=52-54;filter=sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=utah_talons,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,https://theausl.com/players/ | https://theausl.com/talons/roster | https://theausl.com/talons/,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF07,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,boston_fleet,boston_fleet,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=7,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=1-3;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=boston_fleet,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/boston-fleet/roster | https://www.thepwhl.com/en/teams/boston-fleet,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF08,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,detroit,detroit,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=8,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=4-6;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=detroit,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/detroit/roster | https://www.thepwhl.com/en/teams/detroit,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF09,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,hamilton,hamilton,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=9,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=7-9;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=hamilton,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/hamilton/roster | https://www.thepwhl.com/en/teams/hamilton,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF10,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,las_vegas,las_vegas,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=10,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=10-12;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=las_vegas,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/las-vegas/roster | https://www.thepwhl.com/en/teams/las-vegas,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
