post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title,Must Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make and post first,Post ASAP,"What happened, who stood out, and why it matters for Tennis fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
2,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap,Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post second,Post ASAP,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","High-score, timely, verified hard-news story."
3,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post third,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Downgraded from Must Post because the daily Must Post cap was reached.
4,Georgia wins the 2026 DI women's outdoor track and field championship,Maybe Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make if time today,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Track & Field fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
5,"Following Expansion, Veterans In The 2026 PWHL Draft Will See Their Stock Skyrocket",Maybe Post,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Make if time today,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.","Strong candidate, but not mandatory."
6,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?",Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
7,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Maybe Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make if time today,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Tennis fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
8,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
9,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
10,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
