studio_rank,production_bucket,asset_type,asset_shape,content_family,template,sport,league,source_queue,headline,final_score,angle,context_quality,quality_score,manual_review,production_ready,graphics_safety_mode,watermark_rule,slide_count,caption_seed,graphic_prompt,accuracy_lock,source_urls_json,packet_id
1,MAKE FIRST,4-slide carousel,1080x1350,Tonight in the W,Tonight in the W: High-Scoring Result Carousel,basketball,WNBA,MUST POST,Dallas Wings beat Los Angeles Sparks,"Dallas Wings 104, Los Angeles Sparks 96",high-scoring WNBA result,High,100,No,Yes,verified_stats_text_forward,Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.,4,"Dallas Wings beat Los Angeles Sparks. Top performers: Jessica Shepard (Dallas Wings): PTS 22, REB 15, AST 5, STL 2; Arike Ogunbowale (Dallas Wings): PTS 30, REB 6, AST 6; Paige Bueckers (Dallas Wings): PTS 18, REB 3, AST 14, STL 1.","GRAPHIC PACKET 1: Dallas Wings beat Los Angeles Sparks
Asset: 4-slide carousel, 1080x1350
Content family: Tonight in the W
Safety mode: verified_stats_text_forward

Create a Her Sports Daily graphic using the locked brand system. Use dark-night background, neon pink/electric cyan accents, bold condensed headline type, clean sans body type, and the single locked compact stacked HER SPORTS DAILY watermark bug in the top-left. Do not create a new watermark. Do not invent jerseys, jersey numbers, logos, player photos, quotes, injuries, rankings, or milestones.

Slide 1:
Headline: Dallas Wings beat Los Angeles Sparks
Subhead: Verified result: Dallas Wings 104, Los Angeles Sparks 96

Slide 2:
Result card: Dallas Wings 104, Los Angeles Sparks 96
Use oversized scoreboard typography. Keep winner/score pairing exact.

Slide 3:
Context: Jessica Shepard (Dallas Wings): PTS 22, REB 15, AST 5, STL 2; Arike Ogunbowale (Dallas Wings): PTS 30, REB 6, AST 6; Paige Bueckers (Dallas Wings): PTS 18, REB 3, AST 14, STL 1
Use only the stats/context shown here. No added stats.

Slide 4:
CTA / end slide:
Text: Your take? Follow Her Sports Daily for more women’s sports coverage.
This is the required branded carousel end slide.

Score accuracy lock: Dallas Wings 104, Los Angeles Sparks 96. Keep winner, loser, and score paired exactly as written. Before final output, visually check that no team/score/logo side is swapped.

Watermark rule:
Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.

Do not use visible jersey numbers unless the user supplies verified reference images. Use text-first composition, silhouettes, abstract court/arena textures, or supplied approved images only.","LOCKED FACTS: headline='Dallas Wings beat Los Angeles Sparks'; final_score='Dallas Wings 104, Los Angeles Sparks 96'; angle='high-scoring WNBA result'. Do not alter winner, loser, score, player stats, or source-safe context.","[""https://www.wnba.com/"", ""https://wings.wnba.com/"", ""https://sparks.wnba.com/"", ""https://www.espn.com/wnba/scoreboard"", ""https://apnews.com/hub/wnba-basketball""]",8f6dab7bc2d01b34
2,MAKE NEXT,4-slide carousel,1080x1350,Tonight in the W,Tonight in the W: Close Finish Carousel,basketball,WNBA,MUST POST,Las Vegas Aces beat Golden State Valkyries,"Las Vegas Aces 84, Golden State Valkyries 79",close WNBA finish,High,100,No,Yes,verified_stats_text_forward,Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.,4,"Las Vegas Aces beat Golden State Valkyries. Top performers: A'ja Wilson (Las Vegas Aces): PTS 28, REB 14, AST 3; Gabby Williams (Golden State Valkyries): PTS 27, REB 6, AST 1, STL 2; Jackie Young (Las Vegas Aces): PTS 27, REB 5, AST 5.","GRAPHIC PACKET 2: Las Vegas Aces beat Golden State Valkyries
Asset: 4-slide carousel, 1080x1350
Content family: Tonight in the W
Safety mode: verified_stats_text_forward

Create a Her Sports Daily graphic using the locked brand system. Use dark-night background, neon pink/electric cyan accents, bold condensed headline type, clean sans body type, and the single locked compact stacked HER SPORTS DAILY watermark bug in the top-left. Do not create a new watermark. Do not invent jerseys, jersey numbers, logos, player photos, quotes, injuries, rankings, or milestones.

Slide 1:
Headline: Las Vegas Aces beat Golden State Valkyries
Subhead: Verified result: Las Vegas Aces 84, Golden State Valkyries 79

Slide 2:
Result card: Las Vegas Aces 84, Golden State Valkyries 79
Use oversized scoreboard typography. Keep winner/score pairing exact.

Slide 3:
Context: A'ja Wilson (Las Vegas Aces): PTS 28, REB 14, AST 3; Gabby Williams (Golden State Valkyries): PTS 27, REB 6, AST 1, STL 2; Jackie Young (Las Vegas Aces): PTS 27, REB 5, AST 5
Use only the stats/context shown here. No added stats.

Slide 4:
CTA / end slide:
Text: Your take? Follow Her Sports Daily for more women’s sports coverage.
This is the required branded carousel end slide.

Score accuracy lock: Las Vegas Aces 84, Golden State Valkyries 79. Keep winner, loser, and score paired exactly as written. Before final output, visually check that no team/score/logo side is swapped.

Watermark rule:
Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.

Do not use visible jersey numbers unless the user supplies verified reference images. Use text-first composition, silhouettes, abstract court/arena textures, or supplied approved images only.","LOCKED FACTS: headline='Las Vegas Aces beat Golden State Valkyries'; final_score='Las Vegas Aces 84, Golden State Valkyries 79'; angle='close WNBA finish'. Do not alter winner, loser, score, player stats, or source-safe context.","[""https://www.wnba.com/"", ""https://aces.wnba.com/"", ""https://valkyries.wnba.com/"", ""https://www.espn.com/wnba/scoreboard"", ""https://apnews.com/hub/wnba-basketball""]",34825fad349f2655
3,MAKE NEXT,4-slide carousel,1080x1350,Tonight in the W,Tonight in the W: Statement Win Carousel,basketball,WNBA,MUST POST,Minnesota Lynx beat Seattle Storm,"Minnesota Lynx 88, Seattle Storm 68",statement WNBA win,High,100,No,Yes,verified_stats_text_forward,Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.,4,"Minnesota Lynx beat Seattle Storm. Top performers: Natasha Howard (Minnesota Lynx): PTS 27, REB 5, AST 1, STL 3; Olivia Miles (Minnesota Lynx): PTS 19, REB 6, AST 6, STL 1; Natisha Hiedeman (Seattle Storm): PTS 14, REB 4, AST 5, STL 3.","GRAPHIC PACKET 3: Minnesota Lynx beat Seattle Storm
Asset: 4-slide carousel, 1080x1350
Content family: Tonight in the W
Safety mode: verified_stats_text_forward

Create a Her Sports Daily graphic using the locked brand system. Use dark-night background, neon pink/electric cyan accents, bold condensed headline type, clean sans body type, and the single locked compact stacked HER SPORTS DAILY watermark bug in the top-left. Do not create a new watermark. Do not invent jerseys, jersey numbers, logos, player photos, quotes, injuries, rankings, or milestones.

Slide 1:
Headline: Minnesota Lynx beat Seattle Storm
Subhead: Verified result: Minnesota Lynx 88, Seattle Storm 68

Slide 2:
Result card: Minnesota Lynx 88, Seattle Storm 68
Use oversized scoreboard typography. Keep winner/score pairing exact.

Slide 3:
Context: Natasha Howard (Minnesota Lynx): PTS 27, REB 5, AST 1, STL 3; Olivia Miles (Minnesota Lynx): PTS 19, REB 6, AST 6, STL 1; Natisha Hiedeman (Seattle Storm): PTS 14, REB 4, AST 5, STL 3
Use only the stats/context shown here. No added stats.

Slide 4:
CTA / end slide:
Text: Your take? Follow Her Sports Daily for more women’s sports coverage.
This is the required branded carousel end slide.

Score accuracy lock: Minnesota Lynx 88, Seattle Storm 68. Keep winner, loser, and score paired exactly as written. Before final output, visually check that no team/score/logo side is swapped.

Watermark rule:
Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.

Do not use visible jersey numbers unless the user supplies verified reference images. Use text-first composition, silhouettes, abstract court/arena textures, or supplied approved images only.","LOCKED FACTS: headline='Minnesota Lynx beat Seattle Storm'; final_score='Minnesota Lynx 88, Seattle Storm 68'; angle='statement WNBA win'. Do not alter winner, loser, score, player stats, or source-safe context.","[""https://www.wnba.com/"", ""https://lynx.wnba.com/"", ""https://storm.wnba.com/"", ""https://www.espn.com/wnba/scoreboard"", ""https://apnews.com/hub/wnba-basketball""]",d5aded4985e7c751
4,MAKE NEXT,4-slide carousel,1080x1350,Tonight in the W,Tonight in the W: Close Finish Carousel,basketball,WNBA,MUST POST,Phoenix Mercury beat Portland Fire,"Phoenix Mercury 78, Portland Fire 72",close WNBA finish,High,100,No,Yes,verified_stats_text_forward,Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.,4,"Phoenix Mercury beat Portland Fire. Top performers: DeWanna Bonner (Phoenix Mercury): PTS 19, REB 5, AST 5, STL 2; Natasha Mack (Phoenix Mercury): PTS 16, REB 4, AST 2, STL 1; Monique Akoa Makani (Phoenix Mercury): PTS 11, REB 4, AST 2, STL 3.","GRAPHIC PACKET 4: Phoenix Mercury beat Portland Fire
Asset: 4-slide carousel, 1080x1350
Content family: Tonight in the W
Safety mode: verified_stats_text_forward

Create a Her Sports Daily graphic using the locked brand system. Use dark-night background, neon pink/electric cyan accents, bold condensed headline type, clean sans body type, and the single locked compact stacked HER SPORTS DAILY watermark bug in the top-left. Do not create a new watermark. Do not invent jerseys, jersey numbers, logos, player photos, quotes, injuries, rankings, or milestones.

Slide 1:
Headline: Phoenix Mercury beat Portland Fire
Subhead: Verified result: Phoenix Mercury 78, Portland Fire 72

Slide 2:
Result card: Phoenix Mercury 78, Portland Fire 72
Use oversized scoreboard typography. Keep winner/score pairing exact.

Slide 3:
Context: DeWanna Bonner (Phoenix Mercury): PTS 19, REB 5, AST 5, STL 2; Natasha Mack (Phoenix Mercury): PTS 16, REB 4, AST 2, STL 1; Monique Akoa Makani (Phoenix Mercury): PTS 11, REB 4, AST 2, STL 3
Use only the stats/context shown here. No added stats.

Slide 4:
CTA / end slide:
Text: Your take? Follow Her Sports Daily for more women’s sports coverage.
This is the required branded carousel end slide.

Score accuracy lock: Phoenix Mercury 78, Portland Fire 72. Keep winner, loser, and score paired exactly as written. Before final output, visually check that no team/score/logo side is swapped.

Watermark rule:
Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.

Do not use visible jersey numbers unless the user supplies verified reference images. Use text-first composition, silhouettes, abstract court/arena textures, or supplied approved images only.","LOCKED FACTS: headline='Phoenix Mercury beat Portland Fire'; final_score='Phoenix Mercury 78, Portland Fire 72'; angle='close WNBA finish'. Do not alter winner, loser, score, player stats, or source-safe context.","[""https://www.wnba.com/"", ""https://mercury.wnba.com/"", ""https://www.espn.com/wnba/scoreboard"", ""https://apnews.com/hub/wnba-basketball""]",8c900b80e4b79068
5,MAKE NEXT,single result card + story crop,1080x1350 + 1080x1920,Around Women's Sports,Around Women's Sports: Volleyball Roundup Card,volleyball,Nations League Women,MUST POST,USA W beat France W,USA W 3 - France W 2,volleyball results watch,Medium,75,No,Yes,score_safe_volleyball_text_forward,Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.,1,USA W beat France W. Verified final: USA W 3 - France W 2.,"GRAPHIC PACKET 5: USA W beat France W
Asset: single result card + story crop, 1080x1350 + 1080x1920
Content family: Around Women's Sports
Safety mode: score_safe_volleyball_text_forward

Create a Her Sports Daily graphic using the locked brand system. Use dark-night background, neon pink/electric cyan accents, bold condensed headline type, clean sans body type, and the single locked compact stacked HER SPORTS DAILY watermark bug in the top-left. Do not create a new watermark. Do not invent jerseys, jersey numbers, logos, player photos, quotes, injuries, rankings, or milestones.

Main copy:
Headline: USA W beat France W
Verified final: USA W 3 - France W 2
Context line: Official source available: Volleyball World

Layout:
Use one bold scoreboard/result card. Prioritize readability at Instagram feed size. Add small source-safe context ribbon. Add the locked HSD watermark bug top-left.

Score accuracy lock: USA W 3 - France W 2. Keep winner, loser, and score paired exactly as written. Before final output, visually check that no team/score/logo side is swapped.

Do not use visible jersey numbers unless the user supplies verified reference images. Use text-first composition, silhouettes, abstract field/court textures, or supplied approved images only.","LOCKED FACTS: headline='USA W beat France W'; final_score='USA W 3 - France W 2'; angle='volleyball results watch'. Do not alter winner, loser, score, player stats, or source-safe context.","[""https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/"", ""https://www.cev.eu/""]",1ab1cec3ba763840
6,ROUNDUP BANK,roundup card,1080x1350,Around Women's Sports,Around Women's Sports: Volleyball Roundup Card,volleyball,Nations League Women,STRONG MAYBE,Belgium W beat Thailand W,Belgium W 3 - Thailand W 2,volleyball results watch,Medium,65,No,Yes,score_safe_volleyball_text_forward,Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.,1,Belgium W beat Thailand W. Verified final: Belgium W 3 - Thailand W 2.,"GRAPHIC PACKET 6: Belgium W beat Thailand W
Asset: roundup card, 1080x1350
Content family: Around Women's Sports
Safety mode: score_safe_volleyball_text_forward

Create a Her Sports Daily graphic using the locked brand system. Use dark-night background, neon pink/electric cyan accents, bold condensed headline type, clean sans body type, and the single locked compact stacked HER SPORTS DAILY watermark bug in the top-left. Do not create a new watermark. Do not invent jerseys, jersey numbers, logos, player photos, quotes, injuries, rankings, or milestones.

Main copy:
Headline: Belgium W beat Thailand W
Verified final: Belgium W 3 - Thailand W 2
Context line: Official source available: Volleyball World

Layout:
Use one bold scoreboard/result card. Prioritize readability at Instagram feed size. Add small source-safe context ribbon. Add the locked HSD watermark bug top-left.

Score accuracy lock: Belgium W 3 - Thailand W 2. Keep winner, loser, and score paired exactly as written. Before final output, visually check that no team/score/logo side is swapped.

Do not use visible jersey numbers unless the user supplies verified reference images. Use text-first composition, silhouettes, abstract field/court textures, or supplied approved images only.","LOCKED FACTS: headline='Belgium W beat Thailand W'; final_score='Belgium W 3 - Thailand W 2'; angle='volleyball results watch'. Do not alter winner, loser, score, player stats, or source-safe context.","[""https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/"", ""https://www.cev.eu/""]",f2c1c6565e4dbd81
7,ROUNDUP BANK,roundup card,1080x1350,Around Women's Sports,Around Women's Sports: Volleyball Roundup Card,volleyball,Nations League Women,STRONG MAYBE,Brazil W beat Bulgaria W,Brazil W 3 - Bulgaria W 0,volleyball results watch,Medium,65,No,Yes,score_safe_volleyball_text_forward,Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.,1,Brazil W beat Bulgaria W. Verified final: Brazil W 3 - Bulgaria W 0.,"GRAPHIC PACKET 7: Brazil W beat Bulgaria W
Asset: roundup card, 1080x1350
Content family: Around Women's Sports
Safety mode: score_safe_volleyball_text_forward

Create a Her Sports Daily graphic using the locked brand system. Use dark-night background, neon pink/electric cyan accents, bold condensed headline type, clean sans body type, and the single locked compact stacked HER SPORTS DAILY watermark bug in the top-left. Do not create a new watermark. Do not invent jerseys, jersey numbers, logos, player photos, quotes, injuries, rankings, or milestones.

Main copy:
Headline: Brazil W beat Bulgaria W
Verified final: Brazil W 3 - Bulgaria W 0
Context line: Official source available: Volleyball World

Layout:
Use one bold scoreboard/result card. Prioritize readability at Instagram feed size. Add small source-safe context ribbon. Add the locked HSD watermark bug top-left.

Score accuracy lock: Brazil W 3 - Bulgaria W 0. Keep winner, loser, and score paired exactly as written. Before final output, visually check that no team/score/logo side is swapped.

Do not use visible jersey numbers unless the user supplies verified reference images. Use text-first composition, silhouettes, abstract field/court textures, or supplied approved images only.","LOCKED FACTS: headline='Brazil W beat Bulgaria W'; final_score='Brazil W 3 - Bulgaria W 0'; angle='volleyball results watch'. Do not alter winner, loser, score, player stats, or source-safe context.","[""https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/"", ""https://www.cev.eu/""]",d07d6827b2010c71
8,ROUNDUP BANK,roundup card,1080x1350,Around Women's Sports,Around Women's Sports: Volleyball Roundup Card,volleyball,Nations League Women,STRONG MAYBE,Canada W beat France W,Canada W 3 - France W 1,volleyball results watch,Medium,65,No,Yes,score_safe_volleyball_text_forward,Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.,1,Canada W beat France W. Verified final: Canada W 3 - France W 1.,"GRAPHIC PACKET 8: Canada W beat France W
Asset: roundup card, 1080x1350
Content family: Around Women's Sports
Safety mode: score_safe_volleyball_text_forward

Create a Her Sports Daily graphic using the locked brand system. Use dark-night background, neon pink/electric cyan accents, bold condensed headline type, clean sans body type, and the single locked compact stacked HER SPORTS DAILY watermark bug in the top-left. Do not create a new watermark. Do not invent jerseys, jersey numbers, logos, player photos, quotes, injuries, rankings, or milestones.

Main copy:
Headline: Canada W beat France W
Verified final: Canada W 3 - France W 1
Context line: Official source available: Volleyball World

Layout:
Use one bold scoreboard/result card. Prioritize readability at Instagram feed size. Add small source-safe context ribbon. Add the locked HSD watermark bug top-left.

Score accuracy lock: Canada W 3 - France W 1. Keep winner, loser, and score paired exactly as written. Before final output, visually check that no team/score/logo side is swapped.

Do not use visible jersey numbers unless the user supplies verified reference images. Use text-first composition, silhouettes, abstract field/court textures, or supplied approved images only.","LOCKED FACTS: headline='Canada W beat France W'; final_score='Canada W 3 - France W 1'; angle='volleyball results watch'. Do not alter winner, loser, score, player stats, or source-safe context.","[""https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/"", ""https://www.cev.eu/""]",9afe6916a415c63c
9,ROUNDUP BANK,roundup card,1080x1350,Around Women's Sports,Around Women's Sports: Volleyball Roundup Card,volleyball,Nations League Women,STRONG MAYBE,China W beat Serbia W,China W 3 - Serbia W 0,volleyball results watch,Medium,65,No,Yes,score_safe_volleyball_text_forward,Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.,1,China W beat Serbia W. Verified final: China W 3 - Serbia W 0.,"GRAPHIC PACKET 9: China W beat Serbia W
Asset: roundup card, 1080x1350
Content family: Around Women's Sports
Safety mode: score_safe_volleyball_text_forward

Create a Her Sports Daily graphic using the locked brand system. Use dark-night background, neon pink/electric cyan accents, bold condensed headline type, clean sans body type, and the single locked compact stacked HER SPORTS DAILY watermark bug in the top-left. Do not create a new watermark. Do not invent jerseys, jersey numbers, logos, player photos, quotes, injuries, rankings, or milestones.

Main copy:
Headline: China W beat Serbia W
Verified final: China W 3 - Serbia W 0
Context line: Official source available: Volleyball World

Layout:
Use one bold scoreboard/result card. Prioritize readability at Instagram feed size. Add small source-safe context ribbon. Add the locked HSD watermark bug top-left.

Score accuracy lock: China W 3 - Serbia W 0. Keep winner, loser, and score paired exactly as written. Before final output, visually check that no team/score/logo side is swapped.

Do not use visible jersey numbers unless the user supplies verified reference images. Use text-first composition, silhouettes, abstract field/court textures, or supplied approved images only.","LOCKED FACTS: headline='China W beat Serbia W'; final_score='China W 3 - Serbia W 0'; angle='volleyball results watch'. Do not alter winner, loser, score, player stats, or source-safe context.","[""https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/"", ""https://www.cev.eu/""]",22b135f6ef3e8a73
10,ROUNDUP BANK,roundup card,1080x1350,Around Women's Sports,Around Women's Sports: Volleyball Roundup Card,volleyball,Nations League Women,STRONG MAYBE,Italy W beat Turkey W,Italy W 3 - Turkey W 1,volleyball results watch,Medium,65,No,Yes,score_safe_volleyball_text_forward,Use one consistent compact stacked square HER SPORTS DAILY logo bug in the top-left unless a player face or scoreboard safe zone requires a small top-right shift.,1,Italy W beat Turkey W. Verified final: Italy W 3 - Turkey W 1.,"GRAPHIC PACKET 10: Italy W beat Turkey W
Asset: roundup card, 1080x1350
Content family: Around Women's Sports
Safety mode: score_safe_volleyball_text_forward

Create a Her Sports Daily graphic using the locked brand system. Use dark-night background, neon pink/electric cyan accents, bold condensed headline type, clean sans body type, and the single locked compact stacked HER SPORTS DAILY watermark bug in the top-left. Do not create a new watermark. Do not invent jerseys, jersey numbers, logos, player photos, quotes, injuries, rankings, or milestones.

Main copy:
Headline: Italy W beat Turkey W
Verified final: Italy W 3 - Turkey W 1
Context line: Official source available: Volleyball World

Layout:
Use one bold scoreboard/result card. Prioritize readability at Instagram feed size. Add small source-safe context ribbon. Add the locked HSD watermark bug top-left.

Score accuracy lock: Italy W 3 - Turkey W 1. Keep winner, loser, and score paired exactly as written. Before final output, visually check that no team/score/logo side is swapped.

Do not use visible jersey numbers unless the user supplies verified reference images. Use text-first composition, silhouettes, abstract field/court textures, or supplied approved images only.","LOCKED FACTS: headline='Italy W beat Turkey W'; final_score='Italy W 3 - Turkey W 1'; angle='volleyball results watch'. Do not alter winner, loser, score, player stats, or source-safe context.","[""https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/"", ""https://www.cev.eu/""]",fe53dc606d6e30ee
