phrase,status,replacement,reason
What stood out?,banned_for_preview,"Use pregame language: watch, matchup, locked in, tipoff, what to know, what matters tonight.",Previews must not borrow recap/result language.
Final,banned_for_preview,"Use pregame language: watch, matchup, locked in, tipoff, what to know, what matters tonight.",Previews must not borrow recap/result language.
Final Score,banned_for_preview,"Use pregame language: watch, matchup, locked in, tipoff, what to know, what matters tonight.",Previews must not borrow recap/result language.
Last Night,banned_for_preview,"Use pregame language: watch, matchup, locked in, tipoff, what to know, what matters tonight.",Previews must not borrow recap/result language.
gets the win,banned_for_preview,"Use pregame language: watch, matchup, locked in, tipoff, what to know, what matters tonight.",Previews must not borrow recap/result language.
beat,banned_for_preview,"Use pregame language: watch, matchup, locked in, tipoff, what to know, what matters tonight.",Previews must not borrow recap/result language.
winner,banned_for_preview,"Use pregame language: watch, matchup, locked in, tipoff, what to know, what matters tonight.",Previews must not borrow recap/result language.
loser,banned_for_preview,"Use pregame language: watch, matchup, locked in, tipoff, what to know, what matters tonight.",Previews must not borrow recap/result language.
result,banned_for_preview,"Use pregame language: watch, matchup, locked in, tipoff, what to know, what matters tonight.",Previews must not borrow recap/result language.
results,banned_for_preview,"Use pregame language: watch, matchup, locked in, tipoff, what to know, what matters tonight.",Previews must not borrow recap/result language.
