seed_id,entity_id,source_page_url,source_type,source_label,notes,operator_fair_use_asserted,download_approved,rights_class,identity_confidence,intended_review_only_use,quarantine_target_hint
SCOUTX001,wnba_las_vegas_aces_aja_wilson,https://aces.wnba.com/news/gallery-las-vegas-golden-state-5-31-2026,official_team_gallery,Las Vegas Aces official gallery,Official Aces gallery page with in-game action framing and named player context that should produce better face-and-body margin candidates than a single recap hero image.,yes,no,official_team_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/aja_wilson_operator_review.jpg
SCOUTX002,wnba_las_vegas_aces_jackie_young,https://aces.wnba.com/news/gallery-aces-sparks-6-2-2026,official_team_gallery,Las Vegas Aces official gallery,Official Aces gallery page centered on a regular-season game and likely to surface multiple wide action frames with playable negative space.,yes,no,official_team_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/jackie_young_operator_review.jpg
SCOUTX003,wnba_las_vegas_aces_chelsea_gray,https://aces.wnba.com/news/gallery-aces-105-fire-89-6-11-2026,official_team_gallery,Las Vegas Aces official gallery,Official Aces game gallery with a high-scoring box score and named stars that may yield cleaner dribble or shooting frames for 4:5 review.,yes,no,official_team_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/chelsea_gray_operator_review.jpg
SCOUTX004,wnba_las_vegas_aces_jewell_loyd,https://aces.wnba.com/news/gallery-aces-wings-6-15-2026,official_team_gallery,Las Vegas Aces official gallery,Official Aces road-game gallery that may carry full-body transition frames and alternate crops compared with home-game recaps.,yes,no,official_team_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/jewell_loyd_operator_review.jpg
SCOUTX005,wnba_golden_state_valkyries_gabby_williams,https://valkyries.wnba.com/news/gameday-recap-20260508,official_team_recap,Golden State Valkyries official recap,Official Valkyries season-opener recap with named game leaders and likely public action photography in article metadata.,yes,no,official_team_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/gabby_williams_operator_review.jpg
SCOUTX006,wnba_golden_state_valkyries_janelle_salaun,https://valkyries.wnba.com/news/gameday-recap-20260510,official_team_recap,Golden State Valkyries official recap,Official Valkyries home-opener recap with named scoring leaders and likely wider celebratory or on-ball frames than the first seed run.,yes,no,official_team_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/janelle_salaun_operator_review.jpg
SCOUTX007,wnba_golden_state_valkyries_gabby_williams,https://valkyries.wnba.com/news/gameday-recap-20260617,official_team_recap,Golden State Valkyries official recap,Official Valkyries winning-streak recap already mentions Gabby Williams and should be a higher-yield public page for action-photo metadata review.,yes,no,official_team_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/gabby_williams_operator_review_2.jpg
SCOUTX008,nwsl_orlando_pride_barbra_banda,https://www.nwslsoccer.com/news/matchweek-10-recap-san-diego-wave-reclaim-the-top-of-the-table-barbra-banda-bags-third-brace-and-utah-portland-split-points-before-break,official_league_recap,NWSL official matchweek recap,Official NWSL recap with standout-player framing and team image blocks that may surface useful action-photo candidates around Barbra Banda or related match action.,yes,no,official_league_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/barbra_banda_operator_review.jpg
SCOUTX009,nwsl_kansas_city_current_temwa_chawinga,https://www.nwslsoccer.com/news/matchweek-7-racing-upset-thorns-chawinga-hat-trick-and-a-winning-wave-in-la,official_league_recap,NWSL official matchweek recap,Official NWSL recap featuring a named hat-trick performance and likely wider action imagery than profile-focused pages.,yes,no,official_league_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/temwa_chawinga_operator_review.jpg
SCOUTX010,nwsl_portland_thorns_sophia_wilson,https://www.nwslsoccer.com/news/nwsl-matchweek-5-recap-double-espresso-goals-and-12-silky-saves,official_league_recap,NWSL official matchweek recap,Official NWSL recap with named goal and save moments that may expose better body-margin candidates in league-hosted metadata.,yes,no,official_league_site,medium,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/sophia_wilson_operator_review.jpg
SCOUTX011,wesleyan_olivia_quinn,https://athletics.wesleyan.edu/news/2025/11/15/womens-basketball-womens-basketball-pulls-away-late-for-65-57-season-opening-win-over-hunter.aspx,official_college_recap,Wesleyan athletics recap,Official Wesleyan recap with linked photo galleries and named game context that may yield wider college action frames in the page metadata.,yes,no,official_college_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/olivia_quinn_operator_review_hunter.jpg
SCOUTX012,wesleyan_olivia_quinn,https://athletics.wesleyan.edu/news/2025/11/16/womens-basketball-quinn-drops-30-as-cardinals-defeat-emerson-winning-courtyard-by-marriott-classic-title.aspx,official_college_recap,Wesleyan athletics recap,Official Wesleyan title-game recap with named player performance and multiple gallery hooks for manual follow-up if the hero metadata is promising.,yes,no,official_college_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/olivia_quinn_operator_review_emerson.jpg
SCOUTX013,wesleyan_olivia_quinn,https://athletics.wesleyan.edu/news/2026/1/10/womens-basketball-quinn-and-jones-lead-womens-basketball-to-56-40-upset-win-over-middlebury.aspx,official_college_recap,Wesleyan athletics recap,Official Wesleyan upset-win recap with named player context and a known public page from the earlier seed run that is worth keeping in the expanded higher-yield batch for comparison.,yes,no,official_college_site,high,review_only_action_photo_candidate_scout,data/assets/quarantine/review_only_candidates/action_photo_candidates/olivia_quinn_operator_review_middlebury.jpg
