rank,headline,editorial_decision,caption_variant,caption
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Must Post,feed,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path

What happened, who stood out, and why it matters for WNBA fans.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Must Post,carousel,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path

Here is the quick version of what happened and why it matters.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Must Post,story,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path

Quick hit: This is timely WNBA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Must Post,feed,"Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth

What happened, who stood out, and why it matters for WNBA fans.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Must Post,carousel,"Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth

Here is the quick version of what happened and why it matters.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Must Post,story,"Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth

Quick hit: This is timely WNBA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"Kelsey Plum, Kahleah Copper Make WNBA History in Historic Overtime Duel",Maybe Post,feed,"Kelsey Plum, Kahleah Copper Make WNBA History in Historic Overtime Duel

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"Kelsey Plum, Kahleah Copper Make WNBA History in Historic Overtime Duel",Maybe Post,carousel,"Kelsey Plum, Kahleah Copper Make WNBA History in Historic Overtime Duel

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"Kelsey Plum, Kahleah Copper Make WNBA History in Historic Overtime Duel",Maybe Post,story,"Kelsey Plum, Kahleah Copper Make WNBA History in Historic Overtime Duel

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Vekic sweeps by Raducanu at Queen's to secure first career WTA 500 title,Maybe Post,feed,"Vekic sweeps by Raducanu at Queen's to secure first career WTA 500 title

What happened, who stood out, and why it matters for Tennis fans.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
4,Vekic sweeps by Raducanu at Queen's to secure first career WTA 500 title,Maybe Post,carousel,"Vekic sweeps by Raducanu at Queen's to secure first career WTA 500 title

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
4,Vekic sweeps by Raducanu at Queen's to secure first career WTA 500 title,Maybe Post,story,"Vekic sweeps by Raducanu at Queen's to secure first career WTA 500 title

Quick hit: This is timely Tennis coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,feed,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,carousel,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,story,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
6,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Maybe Post,feed,"Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
