research_next_rank,focus_rank,candidate_action_rank,scope_id,league_id,team_id,team_name,player_name,priority_label,focus_bucket,source_tier,source_domain,source_candidate_url,candidate_page_url_needed,evidence_url_needed,identity_anchor_url_needed,official_profile_url_needed,source_priority_row_ref,candidate_action_row_ref,operator_focus_row_ref,action_photo_starter_intake_file,research_return_intake_file,paste_fields_to_fill,candidate_ready_for_later_human_download_decision_review,manual_next_action,do_not_do,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,1,44,nwsl,nwsl,angel_city_fc,Angel City FC,Kennedy Fuller,P0,1_duplicate_transfer_loan_stale_profile_check,official_source_candidate,bayfc.com,https://bayfc.com/press-releases/bay-fc-acquire-midfielder-kennedy-fuller-from-angel-city-fc-20260612/,"human-provided candidate/source page URL only; not a hotlinked image file, screenshot, cached binary, or thumbnail","caption, recap, roster/profile, source page, match report, or team/player page that supports identity and action context","official roster, player profile, team page, league page, or match/event page that confirms player/team/current context",yes,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=44,data/asset_registry/womens_soccer/womens_soccer_athlete_operator_focus.csv#row=1,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,no,"Open the source/focus refs manually, collect candidate page URL, evidence URL, identity anchor, and conservative rights/identity metadata, then paste complete human-reviewed rows into the action-photo research return intake; do not fetch, download, approve, render, move, or publish.","Do not fetch sources, download images, write assets/headshots, approve candidates, create .approved markers, mark render-ready, move files, or publish.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
2,2,45,nwsl,nwsl,angel_city_fc,Angel City FC,Rajanah Reed,P0,1_duplicate_transfer_loan_stale_profile_check,official_source_candidate,angelcity.com,https://angelcity.com/acfc-post/angel-city-signs-forward-rajanah-reed,"human-provided candidate/source page URL only; not a hotlinked image file, screenshot, cached binary, or thumbnail","caption, recap, roster/profile, source page, match report, or team/player page that supports identity and action context","official roster, player profile, team page, league page, or match/event page that confirms player/team/current context",yes,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=45,data/asset_registry/womens_soccer/womens_soccer_athlete_operator_focus.csv#row=2,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,no,"Open the source/focus refs manually, collect candidate page URL, evidence URL, identity anchor, and conservative rights/identity metadata, then paste complete human-reviewed rows into the action-photo research return intake; do not fetch, download, approve, render, move, or publish.","Do not fetch sources, download images, write assets/headshots, approve candidates, create .approved markers, mark render-ready, move files, or publish.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
3,3,46,nwsl,nwsl,boston_legacy_fc_chicago_stars_fc,Boston Legacy FC / Chicago Stars FC,Sam Cary Angel,P0,1_duplicate_transfer_loan_stale_profile_check,official_source_candidate,bostonlegacyfc.com,https://bostonlegacyfc.com/blogs/press/boston-legacy-fc-samantha-angel-loan-chicago-stars,"human-provided candidate/source page URL only; not a hotlinked image file, screenshot, cached binary, or thumbnail","caption, recap, roster/profile, source page, match report, or team/player page that supports identity and action context","official roster, player profile, team page, league page, or match/event page that confirms player/team/current context",yes,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=46,data/asset_registry/womens_soccer/womens_soccer_athlete_operator_focus.csv#row=3,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,no,"Open the source/focus refs manually, collect candidate page URL, evidence URL, identity anchor, and conservative rights/identity metadata, then paste complete human-reviewed rows into the action-photo research return intake; do not fetch, download, approve, render, move, or publish.","Do not fetch sources, download images, write assets/headshots, approve candidates, create .approved markers, mark render-ready, move files, or publish.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
4,4,47,nwsl,nwsl,denver_summit_fc,Denver Summit FC,Lindsey Heaps; Jordan Baggett,P0,1_duplicate_transfer_loan_stale_profile_check,official_source_candidate,www.denversummitfc.com,https://www.denversummitfc.com/roster/,"human-provided candidate/source page URL only; not a hotlinked image file, screenshot, cached binary, or thumbnail","caption, recap, roster/profile, source page, match report, or team/player page that supports identity and action context","official roster, player profile, team page, league page, or match/event page that confirms player/team/current context",yes,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=47,data/asset_registry/womens_soccer/womens_soccer_athlete_operator_focus.csv#row=4,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,no,"Open the source/focus refs manually, collect candidate page URL, evidence URL, identity anchor, and conservative rights/identity metadata, then paste complete human-reviewed rows into the action-photo research return intake; do not fetch, download, approve, render, move, or publish.","Do not fetch sources, download images, write assets/headshots, approve candidates, create .approved markers, mark render-ready, move files, or publish.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
5,5,48,nwsl,nwsl,gotham_fc,Gotham FC,Lilly Reale,P0,1_duplicate_transfer_loan_stale_profile_check,official_source_candidate,www.gothamfc.com,https://www.gothamfc.com/news/gotham-fc-trades-defender-lilly-reale-to-boston-legacy-fc,"human-provided candidate/source page URL only; not a hotlinked image file, screenshot, cached binary, or thumbnail","caption, recap, roster/profile, source page, match report, or team/player page that supports identity and action context","official roster, player profile, team page, league page, or match/event page that confirms player/team/current context",yes,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=6,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=48,data/asset_registry/womens_soccer/womens_soccer_athlete_operator_focus.csv#row=5,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,no,"Open the source/focus refs manually, collect candidate page URL, evidence URL, identity anchor, and conservative rights/identity metadata, then paste complete human-reviewed rows into the action-photo research return intake; do not fetch, download, approve, render, move, or publish.","Do not fetch sources, download images, write assets/headshots, approve candidates, create .approved markers, mark render-ready, move files, or publish.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
6,6,49,nwsl,nwsl,houston_dash,Houston Dash,Christen Westphal,P0,1_duplicate_transfer_loan_stale_profile_check,official_source_candidate,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/news/houston-dash-host-north-carolina-courage-for-kids-night,"human-provided candidate/source page URL only; not a hotlinked image file, screenshot, cached binary, or thumbnail","caption, recap, roster/profile, source page, match report, or team/player page that supports identity and action context","official roster, player profile, team page, league page, or match/event page that confirms player/team/current context",yes,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=49,data/asset_registry/womens_soccer/womens_soccer_athlete_operator_focus.csv#row=6,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,no,"Open the source/focus refs manually, collect candidate page URL, evidence URL, identity anchor, and conservative rights/identity metadata, then paste complete human-reviewed rows into the action-photo research return intake; do not fetch, download, approve, render, move, or publish.","Do not fetch sources, download images, write assets/headshots, approve candidates, create .approved markers, mark render-ready, move files, or publish.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
7,7,50,nwsl,nwsl,houston_dash,Houston Dash,Natalie Bain; Liz Beardsley; Zoe Matthews; Amanda West; Rebeca Costa da Silva; Jyllissa Harris,P1; P0,1_duplicate_transfer_loan_stale_profile_check,official_source_candidate,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,"human-provided candidate/source page URL only; not a hotlinked image file, screenshot, cached binary, or thumbnail","caption, recap, roster/profile, source page, match report, or team/player page that supports identity and action context","official roster, player profile, team page, league page, or match/event page that confirms player/team/current context",yes,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=8,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=50,data/asset_registry/womens_soccer/womens_soccer_athlete_operator_focus.csv#row=7,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,no,"Open the source/focus refs manually, collect candidate page URL, evidence URL, identity anchor, and conservative rights/identity metadata, then paste complete human-reviewed rows into the action-photo research return intake; do not fetch, download, approve, render, move, or publish.","Do not fetch sources, download images, write assets/headshots, approve candidates, create .approved markers, mark render-ready, move files, or publish.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
8,8,51,nwsl,nwsl,houston_dash,Houston Dash,Yazmeen Ryan; Delanie Sheehan,P0,1_duplicate_transfer_loan_stale_profile_check,official_source_candidate,www.denversummitfc.com,https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,"human-provided candidate/source page URL only; not a hotlinked image file, screenshot, cached binary, or thumbnail","caption, recap, roster/profile, source page, match report, or team/player page that supports identity and action context","official roster, player profile, team page, league page, or match/event page that confirms player/team/current context",yes,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=9,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=51,data/asset_registry/womens_soccer/womens_soccer_athlete_operator_focus.csv#row=8,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,no,"Open the source/focus refs manually, collect candidate page URL, evidence URL, identity anchor, and conservative rights/identity metadata, then paste complete human-reviewed rows into the action-photo research return intake; do not fetch, download, approve, render, move, or publish.","Do not fetch sources, download images, write assets/headshots, approve candidates, create .approved markers, mark render-ready, move files, or publish.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
9,9,52,nwsl,nwsl,kansas_city_current,Kansas City Current,Ally Sentnor,P0,1_duplicate_transfer_loan_stale_profile_check,official_source_candidate,angelcity.com,https://angelcity.com/acfc-post/acfc-signs-uswnt-midfielder-ally-sentnor-trade-with-kansas-city-current,"human-provided candidate/source page URL only; not a hotlinked image file, screenshot, cached binary, or thumbnail","caption, recap, roster/profile, source page, match report, or team/player page that supports identity and action context","official roster, player profile, team page, league page, or match/event page that confirms player/team/current context",yes,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=52,data/asset_registry/womens_soccer/womens_soccer_athlete_operator_focus.csv#row=9,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,no,"Open the source/focus refs manually, collect candidate page URL, evidence URL, identity anchor, and conservative rights/identity metadata, then paste complete human-reviewed rows into the action-photo research return intake; do not fetch, download, approve, render, move, or publish.","Do not fetch sources, download images, write assets/headshots, approve candidates, create .approved markers, mark render-ready, move files, or publish.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
10,10,53,nwsl,nwsl,kansas_city_current,Kansas City Current,Katie Cappelletti; Kyra Carusa; Kelsey Branson; Flora Marta Lacho,P1,1_duplicate_transfer_loan_stale_profile_check,official_source_candidate,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team; https://www.kansascitycurrent.com/news/kansas-city-current-announces-roster-ahead-of-2026-regular-s,"human-provided candidate/source page URL only; not a hotlinked image file, screenshot, cached binary, or thumbnail","caption, recap, roster/profile, source page, match report, or team/player page that supports identity and action context","official roster, player profile, team page, league page, or match/event page that confirms player/team/current context",yes,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=25,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=53,data/asset_registry/womens_soccer/womens_soccer_athlete_operator_focus.csv#row=10,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,candidate_photo_url|evidence_url|evidence_summary|identity_anchor_url|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|operator_verify_required,no,"Open the source/focus refs manually, collect candidate page URL, evidence URL, identity anchor, and conservative rights/identity metadata, then paste complete human-reviewed rows into the action-photo research return intake; do not fetch, download, approve, render, move, or publish.","Do not fetch sources, download images, write assets/headshots, approve candidates, create .approved markers, mark render-ready, move files, or publish.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
