source_priority_rank,source_review_bucket,source_candidate_level,sport_family,sport_label,league_name,asset_domain,candidate_entity_id,display_name,candidate_id,operator_action,source_priority,official_status,confidence,operator_verify_required,source_domain,source_candidate_url,linked_first_action_bucket,linked_missing_local_candidate_asset,linked_review_state,render_readiness,safe_next_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,1_official_league_or_team_manual_verify,athlete_league_player_index_source_candidate,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,boston_fleet,operator_add_player_from_league_player_index,boston_fleet_league_player_index_candidate_03,manual_source_review_only,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,official_league_or_team_candidate,operator_verify_required,yes,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats,1_source_verification,yes,source_candidate_only_local_asset_missing,not_render_ready_source_candidate_only,"Open source_candidate_url manually; if it is the expected official league/team page, record source review only and keep download-law fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
2,1_official_league_or_team_manual_verify,athlete_roster_source_candidate,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,boston_fleet,operator_add_player_from_team_roster,boston_fleet_roster_source_candidate_01,manual_source_review_only,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,official_league_or_team_candidate,operator_verify_required,yes,www.thepwhl.com,https://www.thepwhl.com/en/teams/boston-fleet/roster,1_source_verification,yes,source_candidate_only_local_asset_missing,not_render_ready_source_candidate_only,"Open source_candidate_url manually; if it is the expected official league/team page, record source review only and keep download-law fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
3,1_official_league_or_team_manual_verify,athlete_team_profile_source_candidate,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,boston_fleet,operator_add_player_from_team_profile_source,boston_fleet_team_profile_source_candidate_02,manual_source_review_only,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,official_league_or_team_candidate,operator_verify_required,yes,www.thepwhl.com,https://www.thepwhl.com/en/teams/boston-fleet,1_source_verification,yes,source_candidate_only_local_asset_missing,not_render_ready_source_candidate_only,"Open source_candidate_url manually; if it is the expected official league/team page, record source review only and keep download-law fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
4,1_official_league_or_team_manual_verify,athlete_league_player_index_source_candidate,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,detroit,operator_add_player_from_league_player_index,detroit_league_player_index_candidate_03,manual_source_review_only,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,official_league_or_team_candidate,operator_verify_required,yes,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats,1_source_verification,yes,source_candidate_only_local_asset_missing,not_render_ready_source_candidate_only,"Open source_candidate_url manually; if it is the expected official league/team page, record source review only and keep download-law fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
5,1_official_league_or_team_manual_verify,athlete_roster_source_candidate,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,detroit,operator_add_player_from_team_roster,detroit_roster_source_candidate_01,manual_source_review_only,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,official_league_or_team_candidate,operator_verify_required,yes,www.thepwhl.com,https://www.thepwhl.com/en/teams/detroit/roster,1_source_verification,yes,source_candidate_only_local_asset_missing,not_render_ready_source_candidate_only,"Open source_candidate_url manually; if it is the expected official league/team page, record source review only and keep download-law fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
6,1_official_league_or_team_manual_verify,athlete_team_profile_source_candidate,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,detroit,operator_add_player_from_team_profile_source,detroit_team_profile_source_candidate_02,manual_source_review_only,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,official_league_or_team_candidate,operator_verify_required,yes,www.thepwhl.com,https://www.thepwhl.com/en/teams/detroit,1_source_verification,yes,source_candidate_only_local_asset_missing,not_render_ready_source_candidate_only,"Open source_candidate_url manually; if it is the expected official league/team page, record source review only and keep download-law fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
7,1_official_league_or_team_manual_verify,athlete_league_player_index_source_candidate,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,hamilton,operator_add_player_from_league_player_index,hamilton_league_player_index_candidate_03,manual_source_review_only,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,official_league_or_team_candidate,operator_verify_required,yes,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats,1_source_verification,yes,source_candidate_only_local_asset_missing,not_render_ready_source_candidate_only,"Open source_candidate_url manually; if it is the expected official league/team page, record source review only and keep download-law fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
8,1_official_league_or_team_manual_verify,athlete_roster_source_candidate,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,hamilton,operator_add_player_from_team_roster,hamilton_roster_source_candidate_01,manual_source_review_only,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,official_league_or_team_candidate,operator_verify_required,yes,www.thepwhl.com,https://www.thepwhl.com/en/teams/hamilton/roster,1_source_verification,yes,source_candidate_only_local_asset_missing,not_render_ready_source_candidate_only,"Open source_candidate_url manually; if it is the expected official league/team page, record source review only and keep download-law fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
9,1_official_league_or_team_manual_verify,athlete_team_profile_source_candidate,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,hamilton,operator_add_player_from_team_profile_source,hamilton_team_profile_source_candidate_02,manual_source_review_only,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,official_league_or_team_candidate,operator_verify_required,yes,www.thepwhl.com,https://www.thepwhl.com/en/teams/hamilton,1_source_verification,yes,source_candidate_only_local_asset_missing,not_render_ready_source_candidate_only,"Open source_candidate_url manually; if it is the expected official league/team page, record source review only and keep download-law fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
10,1_official_league_or_team_manual_verify,athlete_league_player_index_source_candidate,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,las_vegas,operator_add_player_from_league_player_index,las_vegas_league_player_index_candidate_03,manual_source_review_only,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,official_league_or_team_candidate,operator_verify_required,yes,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats,1_source_verification,yes,source_candidate_only_local_asset_missing,not_render_ready_source_candidate_only,"Open source_candidate_url manually; if it is the expected official league/team page, record source review only and keep download-law fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
