candidate_queue_id,candidate_photo_url,evidence_url,evidence_summary,identity_anchor_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,notes,operator_verify_required,manual_reviewer,manual_review_status,manual_next_action,download_approved,quarantine_target_hint,review_only,publish_ready
APQ001,https://fever.wnba.com/news/fevers-poise-clarks-gravity-earn-fever-commissioners-cup-win-to-advance-to-finals,https://fever.wnba.com/news/fevers-poise-clarks-gravity-earn-fever-commissioners-cup-win-to-advance-to-finals,Official Indiana Fever source page verified by Mike as Caitlin Clark game/action context with a visible action-photo lead.,https://www.wnba.com/player/1642286/caitlin-clark,https://fever.wnba.com/news/fevers-poise-clarks-gravity-earn-fever-commissioners-cup-win-to-advance-to-finals,wnba:caitlin-clark,official_review_needed,confirmed_official,review_only_action_photo_candidate_quarantine_decision_prep,Official Fever team article verified by Mike; action/photo lead visible on page; rights still manual review only before any downstream quarantine-only download decision.,yes,Mike,ready_for_human_download_decision,"Mike recorded the download flag as yes for quarantine-only review; stop before any file download until a separate local quarantine-download tool/run is explicitly requested; not asset approval, not render approval, and not publish-ready.",yes,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq001/operator_fill_required.jpg,true,false
APCS114,https://www.nwslsoccer.com/_next/image?url=https%3A%2F%2Fimages.nwslsoccer.com%2Fimage%2Fprivate%2Ft_ratio16_9-size60%2Fv1777294471%2Fprd%2Fpbosial4i7unbarkydkp&w=3840&q=75,https://www.nwslsoccer.com/news/nwsl-matchweek-5-recap-double-espresso-goals-and-12-silky-saves,"Official NWSL recap candidate for Sophia Wilson first-goal context; Mike approved APCS114 as the only carry-forward row while noting it is a group image.",https://www.nwslsoccer.com/news/nwsl-matchweek-5-recap-double-espresso-goals-and-12-silky-saves,https://www.nwslsoccer.com/news/nwsl-matchweek-5-recap-double-espresso-goals-and-12-silky-saves,nwsl_portland_thorns_sophia_wilson,official_league_site,strong_context,review_only_action_photo_candidate_quarantine_visual_validation,"APCS114 came from the review-only scout seed-expansion packet. Mike approved this candidate for quarantine-only proof/download despite group-image caveat. Download approval is not asset approval.",yes,Mike,ready_for_human_download_decision,"Run the guarded quarantine downloader for APCS114 only; land bytes under review-only quarantine; do not approve, move to renderer, create .approved markers, publish, or mark publish-ready.",yes,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/sophia_wilson/apcs114_operator_review.jpg,true,false
APQ002,,,,,,,,,,,yes,,not_reviewed,Paste returned URL/evidence fields here; keep download_approved=no until a human fills all local-download-law fields and any later file goes to quarantine.,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq002/operator_fill_required.jpg,true,false
APQ003,,,,,,,,,,,yes,,not_reviewed,Paste returned URL/evidence fields here; keep download_approved=no until a human fills all local-download-law fields and any later file goes to quarantine.,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/apq003/operator_fill_required.jpg,true,false
DRM002,https://cdn.wnba.com/sites/1611661330/2026/06/6.9-story.png,https://dream.wnba.com/news/dream-scores-a-win-in-reeses-return-to-chicago-howard-makes-history,Official Atlanta Dream recap hero candidate manually carried forward by Mike as a WNBA game action-photo source candidate; no local proof image exists yet and the referenced image URL must not be downloaded until a human approves formal quarantine review.,https://www.wnba.com/teams/atlanta-dream,https://dream.wnba.com/news/dream-scores-a-win-in-reeses-return-to-chicago-howard-makes-history,wnba_atlanta_dream_chicago_road_win_recap_hero,official_review_needed,strong_context,review_only_renderer_social_visual_testing,DRM002 was carried forward from the manual review deck by Mike at 2026-07-06T14:24:03.310Z as a game action-photo candidate; separate formal quarantine download approval is still required before any file download.,yes,Mike,pending_more_info,"Mike carried DRM002 forward for formal intake prep. If he wants quarantine-only bytes next, human-edit the download approval field only after confirming the source URL, entity ID, rights class, identity confidence, intended review-only use, and quarantine target; do not approve, move, publish, or mark publish-ready.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/atlanta_dream/chicago_road_win_recap/dream_official_recap_source_scout_v1/drm002_operator_review.jpg,true,false
APQ004,,,,,,,,,,,yes,,not_reviewed,Paste returned URL/evidence fields here; keep download_approved=no until a human fills all local-download-law fields and any later file goes to quarantine.,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/uswnt_u_s_soccer/apq004/operator_fill_required.jpg,true,false
APQ005,,,,,,,,,,,yes,,not_reviewed,Paste returned URL/evidence fields here; keep download_approved=no until a human fills all local-download-law fields and any later file goes to quarantine.,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_basketball/apq005/operator_fill_required.jpg,true,false
APQ006,,,,,,,,,,,yes,,not_reviewed,Paste returned URL/evidence fields here; keep download_approved=no until a human fills all local-download-law fields and any later file goes to quarantine.,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_softball/apq006/operator_fill_required.jpg,true,false
APQ007,,,,,,,,,,,yes,,not_reviewed,Paste returned URL/evidence fields here; keep download_approved=no until a human fills all local-download-law fields and any later file goes to quarantine.,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/pwhl/apq007/operator_fill_required.jpg,true,false
APQ008,,,,,,,,,,,yes,,not_reviewed,Paste returned URL/evidence fields here; keep download_approved=no until a human fills all local-download-law fields and any later file goes to quarantine.,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ausl_pro_softball/apq008/operator_fill_required.jpg,true,false
