discovery_id,sport,league_entity,source_lane,source_family_priority,source_family_name,source_category,source_url_or_search_macro,evidence_to_collect,identity_anchor_required,rights_posture_recommendation,allowed_researcher_lane,blocked_or_deprioritized_sources,blocked_reason,downstream_queue_id_hint,paste_back_target,manual_next_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,review_only,publish_ready,approval_state_change,publish_action
APSD001,basketball,WNBA,official,1,WNBA official league/team galleries,official_league_gallery,{player_name} {team} site:wnba.com OR site:{team}.wnba.com photos OR gallery OR recap,"candidate page URL, recap/gallery URL, caption/event context, player/team identity anchor",official WNBA player page or team roster profile,official_review_needed,chatgpt_pro,broadcast screenshots|Pinterest reposts|uncredited social reposts,"Screenshots and reposts do not establish provenance, event context, or usable rights metadata.",APQ002,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"Use this row to choose a research lane before filling the candidate queue; collect URL/evidence leads only, do not fetch or download files, and paste findings into the research return intake for human review.",no,,,,,,true,false,none,none_artifact_only
APSD002,basketball,WNBA,reputable,2,Getty Images Editorial Sports,editorial_wire,{player_name} WNBA match action site:gettyimages.com,"editorial candidate page URL, image identifier if visible, caption/event context, separate roster anchor",official WNBA player page plus event recap when available,editorial_wire_rights_sensitive,manual_research,preview downloads|watermarked image saves|AI upscaled copies,Wire/editorial surfaces are high-signal leads but require manual rights review and no preview file capture.,APQ001,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"Use this row to choose a research lane before filling the candidate queue; collect URL/evidence leads only, do not fetch or download files, and paste findings into the research return intake for human review.",no,,,,,,true,false,none,none_artifact_only
APSD003,soccer,NWSL,official,1,NWSL official league/team galleries,official_league_gallery,{player_name} {club} site:nwslsoccer.com photos OR gallery OR recap,"official page URL, caption/event context, player/team identity anchor","NWSL player profile, team roster, or official match report",official_review_needed,chatgpt_pro,fan threads|screen captures|uncaptioned image search thumbnails,Low-provenance public posts are discovery clues only and must not become download candidates.,APQ003,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"Use this row to choose a research lane before filling the candidate queue; collect URL/evidence leads only, do not fetch or download files, and paste findings into the research return intake for human review.",no,,,,,,true,false,none,none_artifact_only
APSD004,soccer,NWSL,reputable,2,ISI Photos Archive,reputable_newsroom_gallery,{player_name} {club} NWSL isiphotos photoshelter action,"candidate page URL, collection/gallery URL, event date, caption, identity anchor","official NWSL player profile, club roster, or FBref profile",newsroom_photo_rights_sensitive,manual_research,cropped social reposts|wire preview saves|uncredited blog embeds,"Specialist photo archives are candidate leads only; verify credit, event, identity, and rights posture.",APQ003,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"Use this row to choose a research lane before filling the candidate queue; collect URL/evidence leads only, do not fetch or download files, and paste findings into the research return intake for human review.",no,,,,,,true,false,none,none_artifact_only
APSD005,soccer,USWNT / U.S. Soccer,official,1,U.S. Soccer media and match surfaces,official_federation_or_tournament,{player_name} USWNT match action site:ussoccer.com,"official match page/gallery URL, caption/event context, national team identity anchor",U.S. Soccer player page or official roster announcement,official_review_needed,chatgpt_pro,match broadcast stills|social quote-post images|uncaptioned archive images,National-team context needs event and roster verification; broadcast stills are blocked as asset leads.,APQ004,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"Use this row to choose a research lane before filling the candidate queue; collect URL/evidence leads only, do not fetch or download files, and paste findings into the research return intake for human review.",no,,,,,,true,false,none,none_artifact_only
APSD006,college basketball,NCAA Women Basketball,official,1,NCAA Photos / Clarkson Creative,official_federation_or_tournament,{player_name} NCAA March Madness basketball ncaaphotos photoshelter,"championship gallery URL, image/caption metadata if visible, school roster anchor",school roster or NCAA box score/player context,official_partner_licensed_manual_review,manual_research,school fan boards|AI-generated edits|social repost compilations,Championship photo archives are rights-sensitive leads; school/fan reposts do not carry approval.,APQ005,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"Use this row to choose a research lane before filling the candidate queue; collect URL/evidence leads only, do not fetch or download files, and paste findings into the research return intake for human review.",no,,,,,,true,false,none,none_artifact_only
APSD007,softball,NCAA Women Softball,official,1,NCAA Photos / Clarkson Creative,official_federation_or_tournament,{player_name} Women College World Series softball ncaaphotos photoshelter,"championship gallery URL, action cue, event context, school identity anchor","school roster, NCAA stat page, or official box score",official_partner_licensed_manual_review,manual_research,team media-day portraits|dugout candids without captions|thumbnail cache URLs,"This lane is for action-photo source discovery, not roster portraits or cached image files.",APQ006,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"Use this row to choose a research lane before filling the candidate queue; collect URL/evidence leads only, do not fetch or download files, and paste findings into the research return intake for human review.",no,,,,,,true,false,none,none_artifact_only
APSD008,softball,AUSL / Pro Softball,official,1,Athletes Unlimited / AUSL Media Hub,official_league_gallery,{player_name} AUSL softball action site:theausl.com OR site:auprosports.com,"official story/gallery URL, caption/event context, player profile anchor",AUSL/Athletes Unlimited roster or official game story,official_review_needed,chatgpt_pro,creator reposts without credit|screen captures|image CDN URLs without source page,Keep source-page provenance visible; CDN URLs alone are not review evidence.,APQ008,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"Use this row to choose a research lane before filling the candidate queue; collect URL/evidence leads only, do not fetch or download files, and paste findings into the research return intake for human review.",no,,,,,,true,false,none,none_artifact_only
APSD009,hockey,PWHL,reputable,1,Getty / credentialed hockey galleries,editorial_wire,{player_name} PWHL game action Getty OR Ice Garden OR Inside the Rink gallery,"candidate page URL, game/gallery URL, caption/event context, identity anchor","official PWHL roster, team game sheet, or Elite Prospects profile",editorial_wire_rights_sensitive,manual_research,screenshots|low-resolution reposts|uncleared creator downloads,Hockey creator/editorial leads need manual credit and rights review; no file capture from previews.,APQ007,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"Use this row to choose a research lane before filling the candidate queue; collect URL/evidence leads only, do not fetch or download files, and paste findings into the research return intake for human review.",no,,,,,,true,false,none,none_artifact_only
APSD010,tennis,WTA Tennis,official,1,WTA tournament and match-note surfaces,official_league_gallery,{player_name} WTA match action site:wtatennis.com OR site:gettyimages.com,"tournament/story URL, match context, candidate photo page URL if available, player anchor",WTA player profile or tournament draw/match report,official_review_needed,chatgpt_pro,random wallpaper sites|cropped social images|uncredited image-search results,Tennis action leads must preserve tournament and player identity context.,APQ009,data/asset_registry/action_photo_candidates/review_only_action_photo_research_return_intake_v1.csv,"Use this row to choose a research lane before filling the candidate queue; collect URL/evidence leads only, do not fetch or download files, and paste findings into the research return intake for human review.",no,,,,,,true,false,none,none_artifact_only
