quality_fit_id,candidate_queue_id,sport,league_entity,source_family,source_category,source_url_present,rights_class_present,identity_confidence,identity_confidence_status,action_moment_fit,crop_use_suitability,candidate_photo_url_present,evidence_url_present,identity_anchor_url_present,missing_required_fields,research_return_data_present,ready_for_human_download_decision,download_eligibility_status,download_approved,quarantine_target_hint,manual_next_action,review_only,publish_ready,approval_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_action
APQF001,APQ001,basketball,WNBA,Getty Images Editorial Sports,editorial_wire,no,no,,identity_missing,missing_candidate_photo_url,needs_research_return,no,no,no,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,no,no,not_eligible_without_complete_return_and_human_decision,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq001/operator_fill_required.jpg,Run/paste URL-evidence research return first; keep download_approved=no and do not download files.,true,false,none,false,false,false,none_artifact_only
APQF002,APQ002,basketball,WNBA,WNBA official league/team galleries,official_league_gallery,no,no,,identity_missing,missing_candidate_photo_url,needs_research_return,no,no,no,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,no,no,not_eligible_without_complete_return_and_human_decision,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq002/operator_fill_required.jpg,Run/paste URL-evidence research return first; keep download_approved=no and do not download files.,true,false,none,false,false,false,none_artifact_only
APQF003,APQ003,soccer,NWSL,ISI Photos Archive,reputable_newsroom_gallery,no,no,,identity_missing,missing_candidate_photo_url,needs_research_return,no,no,no,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,no,no,not_eligible_without_complete_return_and_human_decision,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/apq003/operator_fill_required.jpg,Run/paste URL-evidence research return first; keep download_approved=no and do not download files.,true,false,none,false,false,false,none_artifact_only
APQF004,APQ004,soccer,USWNT / U.S. Soccer,ISI Photos / U.S. Soccer,official_federation_or_tournament,no,no,,identity_missing,missing_candidate_photo_url,needs_research_return,no,no,no,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,no,no,not_eligible_without_complete_return_and_human_decision,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/uswnt_u_s_soccer/apq004/operator_fill_required.jpg,Run/paste URL-evidence research return first; keep download_approved=no and do not download files.,true,false,none,false,false,false,none_artifact_only
APQF005,APQ005,basketball,NCAA Women Basketball,NCAA Photos / Clarkson Creative,official_federation_or_tournament,no,no,,identity_missing,missing_candidate_photo_url,needs_research_return,no,no,no,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,no,no,not_eligible_without_complete_return_and_human_decision,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_basketball/apq005/operator_fill_required.jpg,Run/paste URL-evidence research return first; keep download_approved=no and do not download files.,true,false,none,false,false,false,none_artifact_only
APQF006,APQ006,softball,NCAA Women Softball,NCAA Photos / Clarkson Creative,official_federation_or_tournament,no,no,,identity_missing,missing_candidate_photo_url,needs_research_return,no,no,no,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,no,no,not_eligible_without_complete_return_and_human_decision,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_softball/apq006/operator_fill_required.jpg,Run/paste URL-evidence research return first; keep download_approved=no and do not download files.,true,false,none,false,false,false,none_artifact_only
APQF007,APQ007,hockey,PWHL,Getty / Ice Garden / Inside the Rink,editorial_wire,no,no,,identity_missing,missing_candidate_photo_url,needs_research_return,no,no,no,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,no,no,not_eligible_without_complete_return_and_human_decision,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/pwhl/apq007/operator_fill_required.jpg,Run/paste URL-evidence research return first; keep download_approved=no and do not download files.,true,false,none,false,false,false,none_artifact_only
APQF008,APQ008,softball,AUSL / Pro Softball,Athletes Unlimited / AUSL Media Hub,official_league_gallery,no,no,,identity_missing,missing_candidate_photo_url,needs_research_return,no,no,no,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,no,no,not_eligible_without_complete_return_and_human_decision,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ausl_pro_softball/apq008/operator_fill_required.jpg,Run/paste URL-evidence research return first; keep download_approved=no and do not download files.,true,false,none,false,false,false,none_artifact_only
APQF009,APQ009,tennis,WTA Tennis,WTA / Getty,official_league_gallery,no,no,,identity_missing,missing_candidate_photo_url,needs_research_return,no,no,no,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,no,no,not_eligible_without_complete_return_and_human_decision,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wta_tennis/apq009/operator_fill_required.jpg,Run/paste URL-evidence research return first; keep download_approved=no and do not download files.,true,false,none,false,false,false,none_artifact_only
APQF010,APQ010,golf,LPGA Golf,LPGA / Getty,official_league_gallery,no,no,,identity_missing,missing_candidate_photo_url,needs_research_return,no,no,no,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,no,no,not_eligible_without_complete_return_and_human_decision,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/lpga_golf/apq010/operator_fill_required.jpg,Run/paste URL-evidence research return first; keep download_approved=no and do not download files.,true,false,none,false,false,false,none_artifact_only
