story_id,story_type,sport,league,headline,event_date,priority,verification_state,source_state,platform_fit,asset_state,source_ref,notes,quality_score,quality_status,quality_reason,assignment_type,assignment_status,assignment_reason
story_b43261c4005f93,official_news_article,golf,LPGA,"Twice as Nice: Iwai Twins Fire 7-Under 63, Climb the Leaderboard at Dow Championship June 12, 2026",,P3,official_source,lpga_news,Threads; IG Stories; IG Feed if strong,needs_assets,https://www.lpga.com/news/2026/twice-as-nice-iwai-twins-fire-7-under-63-climb-the-leaderboard-at-dow-championship,Quality Brain v2.2 classified scout candidate.,83,use,"league:LPGA; trusted; official_article; headline_length; signals:wins,championship",official_news_article,usable,assignment desk approved
story_cbe47ec910d17e,preview_event,basketball,WNBA,Washington Mystics at New York Liberty,,P1,official_source,espn_wnba_scoreboard,Threads; IG Stories; IG Feed if strong,logos_needed,https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard,Quality Brain v2.2 classified scout candidate.,82,use,league:WNBA; trusted; preview_event; headline_length,preview_event,usable,assignment desk approved
story_16defca1e356b7,preview_event,basketball,WNBA,Atlanta Dream vs Toronto Tempo,2026-06-14,P1,verified_score_contract,top_womens_results,IG Feed; IG Stories; Threads,score_assets_needed,https://www.espn.com/wnba/game/_/gameId/401856991,fresh_upcoming_or_today_preview,78,use,core story graph,preview_event,usable,assignment desk approved
story_ad4abfa1ef4da1,preview_event,basketball,WNBA,Las Vegas Aces vs Dallas Wings,2026-06-15,P1,verified_score_contract,top_womens_results,IG Feed; IG Stories; Threads,score_assets_needed,https://www.espn.com/wnba/game/_/gameId/401856992,fresh_upcoming_or_today_preview,78,use,core story graph,preview_event,usable,assignment desk approved
story_aaf82414d4dbab,result_or_recap,basketball,WNBA,Last Night in the W,,P1,verified_final_scores,final_score_stories,IG Stories; Threads,ready_with_review,,Final-score story pack item.,78,use,core story graph,result_or_recap,usable,assignment desk approved
story_9fcc774214d7a1,result_or_recap,basketball,WNBA,Last Night in the W,2026-06-13,P1,ready_with_review,final_score_story_reference,IG Stories; Threads,manual_workflow_pack,ig_story_results_upload_pack_zips/last-night-in-the-w_ig_story_results_upload_pack.zip,Las Vegas Aces 100 · Minnesota Lynx 97 | Los Angeles Sparks 111 · Phoenix Mercury 102 | Indiana Fever 85 · Connecticut Sun 75 | Portland Fire 84 · Dallas Wings 83,78,use,core story graph,result_or_recap,usable,assignment desk approved
story_edc71c850d2110,preview_event,basketball,WNBA,Los Angeles Sparks vs Golden State Valkyries,2026-06-15,P1,verified_score_contract,top_womens_results,IG Feed; IG Stories; Threads,score_assets_needed,https://www.espn.com/wnba/game/_/gameId/401856994,fresh_upcoming_or_today_preview,78,use,core story graph,preview_event,usable,assignment desk approved
story_86a113a5d7c2d3,preview_event,basketball,WNBA,Portland Fire vs Minnesota Lynx,2026-06-15,P1,verified_score_contract,top_womens_results,IG Feed; IG Stories; Threads,score_assets_needed,https://www.espn.com/wnba/game/_/gameId/401856993,fresh_upcoming_or_today_preview,78,use,core story graph,preview_event,usable,assignment desk approved
story_0c19fce4c6cccc,preview_event,basketball,WNBA,Washington Mystics vs New York Liberty,2026-06-14,P1,verified_score_contract,top_womens_results,IG Feed; IG Stories; Threads,score_assets_needed,https://www.espn.com/wnba/game/_/gameId/401856990,fresh_upcoming_or_today_preview,78,use,core story graph,preview_event,usable,assignment desk approved
story_11b88f1e117e21,preview_event,,,Atlanta Dream vs Toronto Tempo,2026-06-14,P4,slate_selected,results_contract,IG Feed; Threads,review,https://www.espn.com/wnba/game/_/gameId/401856991,fresh_upcoming_or_today_preview,78,use,core story graph,preview_event,usable,assignment desk approved
story_0ce52f1f3f42f0,official_news_article,golf,LPGA,"Grant, Stark Post Blistering 63 to Keep Campus Runaways in Dow Championship Hunt June 12, 2026",,P3,official_source,lpga_news,Threads; IG Stories; IG Feed if strong,needs_assets,https://www.lpga.com/news/2026/grant-stark-post-blistering-63-to-keep-campus-runaways-in-dow-championship-hunt,Quality Brain v2.2 classified scout candidate.,77,use,league:LPGA; trusted; official_article; headline_length; signals:championship,official_news_article,usable,assignment desk approved
story_f5d70e634d5e24,official_news_article,golf,LPGA,"Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship June 13, 2026",,P3,official_source,lpga_news,Threads; IG Stories; IG Feed if strong,needs_assets,https://www.lpga.com/news/2026/juli-inkster-becomes-oldest-player-to-make-a-cut-on-the-lpga-tour-at-2026-dow-championship,Quality Brain v2.2 classified scout candidate.,77,use,league:LPGA; trusted; official_article; headline_length; signals:championship,official_news_article,usable,assignment desk approved
story_6437c62c5e41f0,official_news_article,golf,LPGA,"Korda and Cowan 2 back in LPGA team event. Inkster advances to weekend at record age of 66 June 12, 2026",,P3,official_source,lpga_news,Threads; IG Stories; IG Feed if strong,needs_assets,https://www.lpga.com/news/2026/korda-and-cowan-2-back-in-lpga-team-event-inkster-advances-to-weekend-at-record-age-of-66,Quality Brain v2.2 classified scout candidate.,77,use,league:LPGA; trusted; official_article; headline_length; signals:record,official_news_article,usable,assignment desk approved
story_2eb9a030cced21,preview_event,basketball,WNBA,Atlanta Dream at Toronto Tempo,,P1,official_source,espn_wnba_scoreboard,Threads; IG Stories; IG Feed if strong,logos_needed,https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard,Quality Brain v2.2 classified scout candidate.,74,use,league:WNBA; trusted; preview_event,preview_event,usable,assignment desk approved
story_ccbd69fcd2e9e1,official_story_review,soccer,USWNT,FIFA World Cup 2026,,P2,official_source,us_soccer_wnt,Threads; IG Stories; IG Feed if strong,needs_assets,https://www.ussoccer.com/fifa-world-cup-2026,Quality Brain v2.2 classified scout candidate.,50,use,league:USWNT; trusted; schedule_reference; signals:cup,official_story_review,usable,assignment desk approved
